Information ,Genus,Species,Cardenolides/Steroids?,Description,Ref.,Notes,,,,,,,,,,,,,,,,,,,,Native range:,,,,,,History of antimalarial use?
,Strophanthus,preussii Engl. & Pax,Yes,Cardenolide glycosides (seeds),202,,,,,,,,,,,,,,,,,,,,,W. Tropical Africa to Tanzania and Angola,,,,,,
,Strophanthus,sarmentosus DC.,Yes,Cardenolides (seeds),195,,,,,,,,,,,,,,,,,,,,,W. Tropical Africa to Uganda and NW. Angola,,,,,,
,Strophanthus,thollonii Franch.,Yes,Cardenolide glycosides (seeds),196,,,,,,,,,,,,,,,,,,,,,Ivory Coast to Gabon,,,,,,
,Strophanthus,vanderijstii Staner,Yes,Cardenolide glycosides (seeds),259,,,,,,,,,,,,,,,,,,,,,"SW. DR Congo to NE. Angola, NW. Zambia",,,,,,
NRIF (1 sp.),Suberogerens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (123 spp.),Tabernaemontana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Tabernanthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Tacazzea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (31 spp.),Tassadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Tavaresia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Telectadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (2/9),Telosma,pallida (Roxb.) Craib,Yes,Steroid glycosides (twigs),163," Alkaloids (roots) co-occur, 257,  species listed as Pergularia pallida (synonym), 163",,,,,,,,,,,,,,,,,,,,Pakistan to Taiwan,,,,,,
,Telosma,procumbens (Blanco) Merr.,Yes,"Steroids, steroid glycosides (stems)",204,,,,,,,,,,,,,,,,,,,,,"S. China to Vietnam, Philippines",,,,,,
NRIF (3 spp.),Temnadenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Thenardia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/3),Thevetia,ahouai (L.) Vahl,Yes,"Cardenolide glycosides (leaves, twigs, wood)",207,,,,,,,,,,,,,,,,,,,,,"Mexico to Venezuela, Cuba",,,,,,
NRIF (3 spp.),Thoreauea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Thyrsanthella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Tintinnabularia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Topea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (33 spp.),Toxocarpus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/9),Trachelospermum,asiaticum (Siebold & Zucc.) Nakai,Yes,Steroid glycosides (whole plant?),"212, 213, 214","Species also listed as Trachelospermum liukiuense (synonym), 214",,,,,,,,,,,,,,,,,,,,N. India to Central & S. Japan and Borneo,,,,,,
NRIF (1 sp.),Tressensia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Treutlera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Trichosandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (8 spp.),Tridentea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (11 spp.),Tromotriche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (6 spp.),Tweedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (4 spp.),Tylodontia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (21 spp.),Urceola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Vahadenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Vailia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (2/3),Vallaris,glabra (L.) Kuntze,Yes,Cardenolide glycosides (leaves),216,"One alkaloid (flowers) co-occurs in this species, 258",,,,,,,,,,,,,,,,,,,,Sumatera to Lesser Sunda Islands (Flores),,,,,,
,Vallaris,solanacea (Roth) Kuntze,Yes,Cardenolide glycosides,215,,,,,,,,,,,,,,,,,,,,,"Indian Subcontinent to Indo-China, Hainan",,,,,,
NRIF (11 spp.),Vallesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (7 spp.),Vinca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (13/250),Vincetoxicum,amplexicaule Siebold & Zucc.,Yes,Steroid glycoside derivatives (roots),58,"Species listed as Cynanchum amplexicaule (synonym), 58",,,,,,,,,,,,,,,,,,,,China to Russian Far East and S. Japan,,,,,,
,Vincetoxicum,ascyrifolium Franch. & Sav.,Yes,Steroid glycoside derivatives (roots),65,"Species listed as Cynanchum ascyrifolium (synonym), 65",,,,,,,,,,,,,,,,,,,,N. & E. China to Russian Far East and Japan,,,,,,
,Vincetoxicum,atratum (Bunge) C.Morren & Decne.,Yes,Steroid glycoside derivatives (roots),"60, 61","Species listed as Cynanchum atratum (synonym), 60, 61",,,,,,,,,,,,,,,,,,,,China to Russian Far East and Japan,,,,,,Yes
,Vincetoxicum,chekiangense (M.Cheng) C.Y.Wu & D.Z.Li,Yes,Steroid glycoside derivatives (roots),66,"Species listed as Cynanchum chekiangense (synonym), 66",,,,,,,,,,,,,,,,,,,,SE. China (to Hubei),,,,,,
,Vincetoxicum,chinense S.Moore,Yes,Steroid glycoside derivatives (roots),63,"Species listed as Cynanchum mooreanum, 63",,,,,,,,,,,,,,,,,,,,"SE. China (to Hubei), NW. Taiwan",,,,,,
,Vincetoxicum,forrestii (Schltr.) C. Y. Wu & D. Z. Li,Yes,Steroid glycoside derivatives (roots),"59, 64","Species listed as Cynanchum limprichtii (synonym), 59, and Cynanchum forrestii (synonym), 64",,,,,,,,,,,,,,,,,,,,Tibet to Central China,,,,,,
,Vincetoxicum,glaucescens (Decne.) C.Y.Wu & D.Z.Li,Yes,Steroid derivatives (roots),70,"Speices listed as Cynanchum glaucescens (synonym), 70",,,,,,,,,,,,,,,,,,,,SE. China (to Sichuan),,,,,,
,Vincetoxicum,hirundinaria Medik.,Yes,Steroid glycoside derivatives (roots),"217, 218, 219","Many alkaloids co-occur in this species, also listed as Cynanchum vincetoxicum (synonym)",,,,,,,,,,,,,,,,,,,,"Europe to W. Siberia and N. Turkey, NW. Africa, Himalaya",,,,,,
,Vincetoxicum,mukdenense Kitag.,Yes,Steroid glycoside derivatives (roots),67,"Species listed as Cynanchum paniculatum (synonym), 67",,,,,,,,,,,,,,,,,,,,S. Siberia to Temp. E. Asia and China,,,,,,Yes
,Vincetoxicum,spirale (Forssk.) D. Z. Li,Yes,One steroid (whole plant?),256,"Species listed as Pentatropis spiralis (synonym), 256",,,,,,,,,,,,,,,,,,,,"Eritrea, Yemen",,,,,,
,Vincetoxicum,stauntonii (Decne.) C.Y.Wu & D.Z.Li,Yes,Steroid glycoside derivatives (roots),57,"Species listed as Cynanchum stauntonii (synonym), 57",,,,,,,,,,,,,,,,,,,,Central & S. China to Vietnam,,,,,,
,Vincetoxicum,sublanceolatum (Miq.) Maxim.,Yes,Steroid glycoside derivatives (roots),62,"Species listed as Cynanchum sublanceolatum (synonym), 62",,,,,,,,,,,,,,,,,,,,"China (Jiangsu), Central Japan",,,,,,
,Vincetoxicum,taihangense (Tsiang & H.D.Zhang) C.Y.Wu & D.Z.Li,Yes,Steroid glycoside derivatives (whole plant),71,"Species listed as Cynanchum taihangense (synonym), 71",,,,,,,,,,,,,,,,,,,,"China (Shanxi, Anhui)",,,,,,
NRIF (13 spp.),Voacanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Vulcanoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (2/2),Wattakaka,lanceolata (T.Cooke) Kerr,Yes,Steroid glycosides (roots),77,Species listed as Dregea lanceolata (synonym),,,,,,,,,,,,,,,,,,,,"India (Maharashtra), N. Bangladesh, Thailand",,,,,,
,Wattakaka,volubilis (L.f.) Stapf,Yes,Steroid glycosides (flowers),76,Species listed as Dregea volubilis (synonym),,,,,,,,,,,,,,,,,,,,NE. Pakistan to S. China and W. Malesia,,,,,,
NRIF (1 sp.),White-sloanea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (16 spp.),Willughbeia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Woodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/33),Wrightia,tinctoria (Roxb.) R. Br.,Yes,"Steroids (immature seed pods, seeds)","220, 221",,,,,,,,,,,,,,,,,,,,,India to Myanmar,,,,,,
spp. listed (1/42),Xysmalobium,undulatum (L.) W. T. Aiton.,Yes,"Cardenolides, cardenolide glycosides and derivatives (roots)","83, 222, 223","Species also listed as 'Uzara', 222, or Xysmalobium undulatum R. Br 'neben Uzara' (synonym?), 83, 223",,,,,,,,,,,,,,,,,,,,Ethiopia to S. Africa,,,,,,
NRIF (1 sp.),Zygostelma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
