,Latin or scientific name,Common name,Rating,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
203,Caryota mitis,"Palm, fishtail","1,2a",Caryota mitis,Caryota mitis,665616-1,665616-1,Species,CPCS
204,Caryota urens,Jaggery palm,"1,2a",Caryota urens,Caryota urens,665636-1,665636-1,Species,CPCS
205,Cassia siamea,Iron wood,4,Senna siamea,Senna siamea,911410-1,911410-1,Species,CPCS
206,Cassia spp,Golden rain,3,Cassia,,,331467-2,Genus,CPCS
207,Caulophyllum thalictroides,Blue cohosh,14,Caulophyllum thalictroides,Caulophyllum thalictroides,1056122-2,1056122-2,Species,CPCS
208,Ceanothus americanus,Red root,3,Ceanothus americanus,Ceanothus americanus,319138-2,319138-2,Species,CPCS
209,Ceanothus americanus,Wild snowball,3,Ceanothus americanus,Ceanothus americanus,319138-2,319138-2,Species,CPCS
210,Centaurea americana,Basket flower,13,Centaurea melitensis,Centaurea melitensis,190991-1,190991-1,Species,CPCS
211,Centaurea solstitialis,"Thistle, yellow star",13,Centaurea solstitialis,Centaurea solstitialis,191626-1,191626-1,Species,CPCS
212,Cestrum diurnum,"Cestrum, day blooming",4,Cestrum diurnum,Cestrum diurnum,316380-2,316380-2,Species,CPCS
213,Cestrum diurnum,Day blooming cestrum,4,Cestrum diurnum,Cestrum diurnum,316380-2,316380-2,Species,CPCS
214,Cestrum diurnum,Day blooming jessamine,4,Cestrum diurnum,Cestrum diurnum,316380-2,316380-2,Species,CPCS
215,Cestrum diurnum,"Jessamine, day",4,Cestrum diurnum,Cestrum diurnum,316380-2,316380-2,Species,CPCS
216,Cestrum diurnum,"Jessamine, day blooming",4,Cestrum diurnum,Cestrum diurnum,316380-2,316380-2,Species,CPCS
217,Cestrum nocturnum,Fragrance of the night,4,Cestrum nocturnum,Cestrum nocturnum,316386-2,316386-2,Species,CPCS
218,Cestrum nocturnum,"Jasmine, night blooming",4,Cestrum nocturnum,Cestrum nocturnum,316386-2,316386-2,Species,CPCS
219,Cestrum nocturnum,"Jessamine, night blooming",4,Cestrum nocturnum,Cestrum nocturnum,316386-2,316386-2,Species,CPCS
220,Cestrum nocturnum,Night blooming jasmine,4,Cestrum nocturnum,Cestrum nocturnum,316386-2,316386-2,Species,CPCS
221,Cestrum nocturnum,Night blooming jessamine,4,Cestrum nocturnum,Cestrum nocturnum,316386-2,316386-2,Species,CPCS
222,Chamaelirium luteum,Devilâs bit,3,Chamaelirium luteum,Chamaelirium luteum,532651-1,532651-1,Species,CPCS
223,Chamaesyce drummondii,Milk weed,1,Euphorbia drummondii,Euphorbia drummondii,346324-1,346324-1,Species,CPCS
224,Chamaesyce hirta,Asthma plant or weed,1,Euphorbia hirta,Euphorbia hirta,101651-2,101651-2,Species,CPCS
225,Chamaesyce maculata,Milk purslane,1,Euphorbia maculata,Euphorbia maculata,347236-1,347236-1,Species,CPCS
226,Chelidonium majus,Rock poppy,14,Chelidonium majus,Chelidonium majus,303589-2,303589-2,Species,CPCS
227,Chenopodium album,Lamb's quarters,1,Chenopodium album,Chenopodium album,55993-2,55993-2,Species,CPCS
228,Chenopodium ambrosioides,Mexican tea,3,Dysphania ambrosioides,Dysphania ambrosioides,1198060-2,1198060-2,Species,CPCS
229,Chenopodium ambrosioides,Wormseed,3,Dysphania ambrosioides,Dysphania ambrosioides,1198060-2,1198060-2,Species,CPCS
230,Chenopodium capitatum,Indian paint,1,Blitum capitatum,Blitum capitatum,302085-2,302085-2,Species,CPCS
231,Chrysanthemum frutescens,Marguerite,13,Argyranthemum frutescens subsp. frutescens,Argyranthemum frutescens,178745-1,77179681-1,Subspecies,CPCS
232,Chrysanthemum spp,Bridesmaid,13,,,,,,CPCS
233,Chrysanthemum spp,Chrysanthemum,13,,,,,,CPCS
234,Chrysanthemum spp,Daisy,13,,,,,,CPCS
235,Chrysanthemum spp,Mum,13,,,,,,CPCS
236,Chrysanthemum spp,Shasta daisy,13,,,,,,CPCS
237,Chrysanthemum spp,Spider mum,13,,,,,,CPCS
238,Chrysanthemum spp,Tansy,13,,,,,,CPCS
239,Cicuta douglasii,Poison water hemlock,4,Cicuta douglasii,Cicuta douglasii,58598-2,58598-2,Species,CPCS
240,Cicuta maculata,Cowbane,4,Cicuta maculata,Cicuta maculata,58605-2,58605-2,Species,CPCS
241,Cicuta maculata,False parsley,4,Cicuta maculata,Cicuta maculata,58605-2,58605-2,Species,CPCS
242,Cicuta maculata,"Hemlock, spotted",4,Cicuta maculata,Cicuta maculata,58605-2,58605-2,Species,CPCS
243,Cicuta maculata,"Hemlock, water",4,Cicuta maculata,Cicuta maculata,58605-2,58605-2,Species,CPCS
244,Cicuta maculata,"Parsley, spotted",4,Cicuta maculata,Cicuta maculata,58605-2,58605-2,Species,CPCS
245,Cicuta maculata,"Parsnip, poison",4,Cicuta maculata,Cicuta maculata,58605-2,58605-2,Species,CPCS
246,Cicuta maculata,"Parsnip, wild",4,Cicuta maculata,Cicuta maculata,58605-2,58605-2,Species,CPCS
247,Cicuta maculata,Poison parsnip,4,Cicuta maculata,Cicuta maculata,58605-2,58605-2,Species,CPCS
248,Cicuta maculata,Snakeroot,4,Cicuta maculata,Cicuta maculata,58605-2,58605-2,Species,CPCS
249,Cicuta maculata,Wild carrot,4,Cicuta maculata,Cicuta maculata,58605-2,58605-2,Species,CPCS
250,Cicuta maculata,Wild parsnip,4,Cicuta maculata,Cicuta maculata,58605-2,58605-2,Species,CPCS
251,Cimicifuga racemosa,Black cohosh,4,Actaea racemosa,Actaea racemosa,316204-2,316204-2,Species,CPCS
252,Cimicifuga racemosa,"Snakeroot,black",4,Actaea racemosa,Actaea racemosa,316204-2,316204-2,Species,CPCS
253,Cinnamomum camphora,Camphor tree,4,Cinnamomum camphora,Cinnamomum camphora,463336-1,463336-1,Species,CPCS
254,Citrus aurantiifolia,Lime (peels and thorns),1,Citrus × aurantiifolia,Citrus × aurantiifolia,59599-2,59599-2,Species,CPCS
255,Citrus aurantium,Bitter orange,1,Citrus × aurantium,Citrus × aurantium,59600-2,59600-2,Species,CPCS
256,Citrus limon,Lemon (peels and thorns),1,Citrus × limon,Citrus × limon,60454758-2,60454758-2,Species,CPCS
257,Citrus meyeri,Meyer lemon (peels and thorns),1,Citrus × limon,Citrus × limon,60454758-2,60454758-2,Species,CPCS
258,Citrus nobilis,Mandarin orange (peels and thorns),1,Citrus × aurantium,Citrus × aurantium,59600-2,59600-2,Species,CPCS
259,Citrus sinensis,Orange (peels and thorns),1,Citrus × aurantium,Citrus × aurantium,59600-2,59600-2,Species,CPCS
260,Citrus trifoliata,Mock orange,3,Citrus trifoliata,Citrus trifoliata,772087-1,772087-1,Species,CPCS
261,Clematis spp,Clematis,13,Clematis,,,329401-2,Genus,CPCS
