,Accepted_Name,acc_name,AnimalFood,EnvironmentalUses,Fuels,HumanFood,InvertebrateFood,Materials,Medicines,Poisons,SocialUses,Totals,speciesname,ipniid,wcsid,azid,match_name,tax_status,Accepted_ID,acc_wcsid,acc_azid,Accepted_Rank,Accepted_Species,Accepted_Species_ID,Source
10666,Crotalaria sagittalis,Crotalaria sagittalis L.,0,0,0,0,0,0,1,1,0,2,Crotalaria sagittalis,318914-2,,744502.0,Crotalaria sagittalis L.,Accepted,318914-2,,744502.0,Species,Crotalaria sagittalis,318914-2,Useful Plants Data
10669,Crotalaria senegalensis,Crotalaria senegalensis (Pers.) Bacle ex DC.,1,1,0,1,0,1,0,1,0,5,Crotalaria senegalensis,488844-1,,744541.0,Crotalaria senegalensis (Pers.) Bacle ex DC.,Accepted,488844-1,,744541.0,Species,Crotalaria senegalensis,488844-1,Useful Plants Data
10671,Crotalaria spartioides,Crotalaria spartioides DC.,0,0,0,0,0,0,0,1,0,1,Crotalaria spartioides,488883-1,,744586.0,Crotalaria spartioides DC.,Accepted,488883-1,,744586.0,Species,Crotalaria spartioides,488883-1,Useful Plants Data
10672,Crotalaria spectabilis,Crotalaria spectabilis Roth,0,1,0,0,0,1,1,1,0,4,Crotalaria spectabilis,322612-2,,744591.0,Crotalaria spectabilis Roth,Accepted,322612-2,,744591.0,Species,Crotalaria spectabilis,322612-2,Useful Plants Data
10674,Crotalaria spinosa,Crotalaria spinosa Hochst. ex Benth.,0,0,0,0,0,0,1,1,0,2,Crotalaria spinosa,488890-1,,744597.0,Crotalaria spinosa Hochst. ex Benth.,Accepted,488890-1,,744597.0,Species,Crotalaria spinosa,488890-1,Useful Plants Data
10675,Crotalaria steudneri,Crotalaria steudneri Schweinf.,0,0,0,0,0,0,0,1,0,1,Crotalaria steudneri,488905-1,,744614.0,Crotalaria steudneri Schweinf.,Accepted,488905-1,,744614.0,Species,Crotalaria steudneri,488905-1,Useful Plants Data
10679,Crotalaria trichotoma,Crotalaria trichotoma Bojer,1,1,0,1,0,1,1,1,0,6,Crotalaria trichotoma,488985-1,,744709.0,Crotalaria trichotoma Bojer,Accepted,488985-1,,744709.0,Species,Crotalaria trichotoma,488985-1,Useful Plants Data
10683,Crotalaria verrucosa,Crotalaria verrucosa L.,0,1,0,0,0,0,1,1,0,3,Crotalaria verrucosa,489042-1,,744772.0,Crotalaria verrucosa L.,Accepted,489042-1,,744772.0,Species,Crotalaria verrucosa,489042-1,Useful Plants Data
10687,Crotalaria vitellina,Crotalaria vitellina Ker Gawl.,1,0,0,1,0,0,0,1,0,3,Crotalaria vitellina,322616-2,,744795.0,Crotalaria vitellina Ker Gawl.,Accepted,322616-2,,744795.0,Species,Crotalaria vitellina,322616-2,Useful Plants Data
10715,Croton capitatus,Croton capitatus Michx.,0,0,0,0,0,0,0,1,0,1,Croton capitatus,342226-1,49532.0,,Croton capitatus Michx.,Accepted,342226-1,49532.0,,Species,Croton capitatus,342226-1,Useful Plants Data
10719,Croton ciliatoglandulifer,Croton ciliatoglandulifer Ortega,1,0,0,0,1,1,1,1,0,5,Croton ciliatoglandulifer,70044-2,49622.0,,Croton ciliatoglandulifer Ortega,Accepted,70044-2,49622.0,,Species,Croton ciliatoglandulifer,70044-2,Useful Plants Data
10735,Croton flavens,Croton flavens L.,0,0,0,0,0,0,1,1,0,2,Croton flavens,342537-1,49908.0,,Croton flavens L.,Accepted,342537-1,49908.0,,Species,Croton flavens,342537-1,Useful Plants Data
10742,Croton gratissimus,Croton gratissimus Burch.,1,1,0,1,0,1,1,1,1,7,Croton gratissimus,342614-1,50054.0,,Croton gratissimus Burch.,Accepted,342614-1,50054.0,,Species,Croton gratissimus,342614-1,Useful Plants Data
10777,Croton macrostachyus,Croton macrostachyus Hochst. ex Delile,1,1,1,1,1,1,1,1,0,8,Croton macrostachyus,342917-1,50457.0,,Croton macrostachyus Hochst. ex Delile,Accepted,342917-1,50457.0,,Species,Croton macrostachyus,342917-1,Useful Plants Data
10783,Croton megalobotrys,Croton megalobotrys Müll.Arg.,1,1,1,1,0,1,1,1,1,8,Croton megalobotrys,342967-1,50523.0,,Croton megalobotrys Müll.Arg.,Accepted,342967-1,50523.0,,Species,Croton megalobotrys,342967-1,Useful Plants Data
10784,Croton megalocarpus,Croton megalocarpus Hutch.,1,1,1,1,0,1,1,1,0,7,Croton megalocarpus,342969-1,50526.0,,Croton megalocarpus Hutch.,Accepted,342969-1,50526.0,,Species,Croton megalocarpus,342969-1,Useful Plants Data
10828,Croton setiger,Croton setiger Hook.,0,0,0,0,0,0,1,1,0,2,Croton setiger,343476-1,51174.0,,Croton setigerus Hook.,Accepted,343476-1,51174.0,,Species,Croton setiger,343476-1,Useful Plants Data
10844,Croton texensis,Croton texensis (Klotzsch) Müll.Arg.,0,0,0,0,0,0,1,1,0,2,Croton texensis,1197425-2,51344.0,,Croton texensis (Klotzsch) Müll.Arg.,Accepted,1197425-2,51344.0,,Species,Croton texensis,1197425-2,Useful Plants Data
10845,Croton tiglium,Croton tiglium L.,1,0,1,1,0,1,1,1,0,6,Croton tiglium,343631-1,51357.0,,Croton tiglium L.,Accepted,343631-1,51357.0,,Species,Croton tiglium,343631-1,Useful Plants Data
10861,Crotonogyne poggei,Crotonogyne poggei Pax,0,0,0,0,0,0,0,1,0,1,Crotonogyne strigosa,343808-1,51577.0,,Crotonogyne strigosa Prain,Synonym,343803-1,51577.0,,Species,Crotonogyne poggei,343803-1,Useful Plants Data
10908,Cryptocarya ferrea,Cryptocarya ferrea Blume,0,0,0,0,0,1,1,1,0,3,Cryptocarya ferrea,463891-1,,745951.0,Cryptocarya ferrea Blume,Accepted,463891-1,,745951.0,Species,Cryptocarya ferrea,463891-1,Useful Plants Data
10913,Cryptocarya griffithiana,Cryptocarya griffithiana Wight,0,0,0,0,0,1,1,1,0,3,Cryptocarya griffithiana,463924-1,,745998.0,Cryptocarya griffithiana Wight,Accepted,463924-1,,745998.0,Species,Cryptocarya griffithiana,463924-1,Useful Plants Data
10919,Cryptocarya laevigata,Cryptocarya laevigata Blume,1,0,1,0,1,1,1,1,0,6,Cryptocarya laevigata,463957-1,,746034.0,Cryptocarya laevigata Blume,Accepted,463957-1,,746034.0,Species,Cryptocarya laevigata,463957-1,Useful Plants Data
10939,Cryptocarya pleurosperma,Cryptocarya pleurosperma C.T.White & W.D.Francis,0,0,0,0,0,0,1,1,0,2,Cryptocarya pleurosperma,464090-1,,746189.0,Cryptocarya pleurosperma C.T.White & W.D.Francis,Accepted,464090-1,,746189.0,Species,Cryptocarya pleurosperma,464090-1,Useful Plants Data
10968,Cryptolepis decidua,Cryptolepis decidua (Planch. ex Benth.) N.E.Br.,1,0,0,1,0,1,1,1,0,5,Cryptolepis decidua,95920-1,503208.0,,Cryptolepis decidua (Planch. ex Benth.) N.E.Br.,Accepted,95920-1,503208.0,,Species,Cryptolepis decidua,95920-1,Useful Plants Data
10971,Cryptolepis nigrescens,Cryptolepis nigrescens (Wennberg) L.Joubert & Bruyns,0,1,0,0,0,1,1,1,0,4,Cryptolepis nigrescens,77158572-1,520226.0,,Cryptolepis nigrescens (Wennberg) L.Joubert & Bruyns,Accepted,77158572-1,520226.0,,Species,Cryptolepis nigrescens,77158572-1,Useful Plants Data
10974,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta (Lindl.) Schltr.,0,0,0,1,0,1,1,1,0,5,Cryptolepis sanguinolenta,95951-1,503255.0,,Cryptolepis sanguinolenta (Lindl.) Schltr.,Accepted,95951-1,503255.0,,Species,Cryptolepis sanguinolenta,95951-1,Useful Plants Data
10981,Cryptostegia grandiflora,Cryptostegia grandiflora Roxb. ex R.Br.,0,1,0,0,0,1,1,1,0,4,Cryptostegia grandiflora,95962-1,503275.0,,Cryptostegia grandiflora R.Br.,Accepted,95962-1,503275.0,,Species,Cryptostegia grandiflora,95962-1,Useful Plants Data
10982,Cryptostegia madagascariensis,Cryptostegia madagascariensis Bojer ex Decne.,0,1,0,0,0,1,1,1,0,4,Cryptostegia madagascariensis,95963-1,503277.0,,Cryptostegia madagascariensis Bojer,Accepted,95963-1,503277.0,,Species,Cryptostegia madagascariensis,95963-1,Useful Plants Data
10993,Melothria sphaerocarpa,Melothria sphaerocarpa (Cogn.) H.Schaef. & S.S.Renner,1,0,1,1,0,1,1,1,1,8,Cucumeropsis mannii,292118-1,,746872.0,Cucumeropsis mannii Naudin,Synonym,77110571-1,,904683.0,Species,Melothria sphaerocarpa,77110571-1,Useful Plants Data
10996,Cucumis africanus,Cucumis africanus L.f.,0,1,0,1,0,0,1,1,0,5,Cucumis africanus,292126-1,,746878.0,Cucumis africanus L.f.,Accepted,292126-1,,746878.0,Species,Cucumis africanus,292126-1,Useful Plants Data
10997,Cucumis anguria,Cucumis anguria L.,1,0,0,1,0,0,1,1,0,5,Cucumis anguria,292141-1,,746888.0,Cucumis anguria L.,Accepted,292141-1,,746888.0,Species,Cucumis anguria,292141-1,Useful Plants Data
11005,Cucumis dipsaceus,Cucumis dipsaceus Ehrenb. ex Spach,1,1,0,1,0,1,1,1,0,7,Cucumis dipsaceus,292180-1,,746934.0,Cucumis dipsaceus Ehrenb. ex Spach,Accepted,292180-1,,746934.0,Species,Cucumis dipsaceus,292180-1,Useful Plants Data
11022,Cucumis maderaspatanus,Cucumis maderaspatanus L.,1,0,0,1,0,0,1,1,1,6,Cucumis maderaspatanus,292230-1,,746987.0,Cucumis maderaspatanus L.,Accepted,292230-1,,746987.0,Species,Cucumis maderaspatanus,292230-1,Useful Plants Data
11024,Cucumis melo,Cucumis melo L.,1,1,1,1,1,1,1,1,1,10,Cucumis melo,292238-1,,746992.0,Cucumis melo L.,Accepted,292238-1,,746992.0,Species,Cucumis melo,292238-1,Useful Plants Data
11026,Cucumis metulifer,Cucumis metulifer E.Mey. ex Naudin,1,1,0,1,0,0,1,1,1,7,Cucumis metulifer,116468-3,,747009.0,Cucumis metulifer E.Mey. ex Naudin,Accepted,116468-3,,747009.0,Species,Cucumis metulifer,116468-3,Useful Plants Data
11027,Cucumis myriocarpus,Cucumis myriocarpus Naudin,0,0,0,1,0,0,1,1,0,4,Cucumis myriocarpus,292252-1,,747017.0,Cucumis myriocarpus Naudin,Accepted,292252-1,,747017.0,Species,Cucumis myriocarpus,292252-1,Useful Plants Data
11029,Cucumis prophetarum,Cucumis prophetarum L.,1,0,0,1,0,1,1,1,0,6,Cucumis prophetarum,292278-1,,747043.0,Cucumis prophetarum L.,Accepted,292278-1,,747043.0,Species,Cucumis prophetarum,292278-1,Useful Plants Data
11040,Cucumis sativus,Cucumis sativus L.,1,0,0,1,0,1,1,1,0,6,Cucumis sativus,292296-1,,747062.0,Cucumis sativus L.,Accepted,292296-1,,747062.0,Species,Cucumis sativus,292296-1,Useful Plants Data
11047,Cucurbita cordata,Cucurbita cordata S.Watson,0,0,0,1,1,0,0,1,0,4,Cucurbita cordata,72086-2,,747121.0,Cucurbita cordata S.Watson,Accepted,72086-2,,747121.0,Species,Cucurbita cordata,72086-2,Useful Plants Data
11048,Cucurbita cylindrata,Cucurbita cylindrata L.H.Bailey,0,0,0,1,1,0,0,1,0,3,Cucurbita cylindrata,72088-2,,747125.0,Cucurbita cylindrata L.H.Bailey,Accepted,72088-2,,747125.0,Species,Cucurbita cylindrata,72088-2,Useful Plants Data
11049,Cucurbita digitata,Cucurbita digitata A.Gray,1,0,0,1,1,1,1,1,0,7,Cucurbita digitata,292359-1,,747126.0,Cucurbita digitata A.Gray,Accepted,292359-1,,747126.0,Species,Cucurbita digitata,292359-1,Useful Plants Data
11058,Cucurbita palmata,Cucurbita palmata S.Watson,1,0,0,1,1,1,1,1,0,7,Cucurbita palmata,292412-1,,747183.0,Cucurbita palmata S.Watson,Accepted,292412-1,,747183.0,Species,Cucurbita palmata,292412-1,Useful Plants Data
11060,Cucurbita pepo,Cucurbita pepo L.,1,1,1,1,1,1,1,1,0,9,Cucurbita pepo,292416-1,,747186.0,Cucurbita pepo L.,Accepted,292416-1,,747186.0,Species,Cucurbita pepo,292416-1,Useful Plants Data
11068,Culcasia parviflora,Culcasia parviflora N.E.Br.,0,0,0,0,0,1,1,1,0,3,Culcasia parviflora,86779-1,52266.0,,Culcasia parviflora N.E.Br.,Accepted,86779-1,52266.0,,Species,Culcasia parviflora,86779-1,Useful Plants Data
11069,Culcasia scandens,Culcasia scandens P.Beauv.,0,0,0,1,0,1,1,1,0,4,Culcasia scandens,86788-1,52274.0,,Culcasia scandens P.Beauv.,Accepted,86788-1,52274.0,,Species,Culcasia scandens,86788-1,Useful Plants Data
11138,Hesperocyparis macrocarpa,Hesperocyparis macrocarpa (Hartw.) Bartel,0,1,1,0,0,1,1,1,0,5,Cupressus macrocarpa,30188753-2,383187.0,,Cupressus macrocarpa Hartw.,Synonym,60451558-2,383187.0,,Species,Hesperocyparis macrocarpa,60451558-2,Useful Plants Data
11139,Cupressus sempervirens,Cupressus sempervirens L.,0,1,1,0,0,1,1,1,0,5,Cupressus sempervirens,261974-1,383232.0,,Cupressus sempervirens L.,Accepted,261974-1,383232.0,,Species,Cupressus sempervirens,261974-1,Useful Plants Data
11172,Curcuma longa,Curcuma longa L.,1,0,0,1,0,1,1,1,1,7,Curcuma longa,796451-1,235249.0,,Curcuma longa L.,Accepted,796451-1,235249.0,,Species,Curcuma longa,796451-1,Useful Plants Data
11203,Cuscuta europaea,Cuscuta europaea L.,0,0,0,0,0,0,1,1,0,2,Cuscuta europaea,267425-1,485542.0,,Cuscuta europaea L.,Accepted,267425-1,485542.0,,Species,Cuscuta europaea,267425-1,Useful Plants Data
11229,Cussonia spicata,Cussonia spicata Thunb.,1,1,0,1,1,1,1,1,1,9,Cussonia spicata,90185-1,52473.0,,Cussonia spicata Thunb.,Accepted,90185-1,52473.0,,Species,Cussonia spicata,90185-1,Useful Plants Data
11258,Cyanthillium stelluliferum,Cyanthillium stelluliferum (Benth.) H.Rob.,0,0,0,0,0,1,1,1,0,3,Cyanthillium stelluliferum,962415-1,,1054546.0,Cyanthillium stelluliferum (Benth.) H.Rob.,Accepted,962415-1,,1054546.0,Species,Cyanthillium stelluliferum,962415-1,Useful Plants Data
11284,Cyathula cylindrica,Cyathula cylindrica Moq.,1,0,0,1,0,1,1,1,1,6,Cyathula cylindrica,60153-1,,749200.0,Cyathula cylindrica Moq.,Accepted,60153-1,,749200.0,Species,Cyathula cylindrica,60153-1,Useful Plants Data
11297,Cycas circinalis,Cycas circinalis L.,0,0,0,1,0,0,1,1,1,4,Cycas circinalis,328822-2,383307.0,,Cycas circinalis L.,Accepted,328822-2,383307.0,,Species,Cycas circinalis,328822-2,Useful Plants Data
11303,Cycas rumphii,Cycas rumphii Miq.,0,1,0,1,1,1,1,1,1,8,Cycas rumphii,326820-2,383425.0,,Cycas rumphii Miq.,Accepted,326820-2,383425.0,,Species,Cycas rumphii,326820-2,Useful Plants Data
11311,Cyclamen persicum,Cyclamen persicum Mill.,0,1,0,0,0,0,1,1,0,3,Cyclamen persicum,700765-1,,749807.0,Cyclamen persicum Mill.,Accepted,700765-1,,749807.0,Species,Cyclamen persicum,700765-1,Useful Plants Data
11321,Cyclea laxiflora,Cyclea laxiflora Miers,0,0,0,0,0,0,1,1,0,2,Cyclea laxiflora,580700-1,,750028.0,Cyclea laxiflora Miers,Accepted,580700-1,,750028.0,Species,Cyclea laxiflora,580700-1,Useful Plants Data
11392,Cymbopogon caesius,Cymbopogon caesius (Hook. & Arn.) Stapf,1,1,0,0,0,1,1,1,0,5,Cymbopogon caesius,396888-1,406124.0,,Cymbopogon caesius (Hook. & Arn.) Stapf,Accepted,396888-1,406124.0,,Species,Cymbopogon caesius,396888-1,Useful Plants Data
11393,Cymbopogon citratus,Cymbopogon citratus (DC.) Stapf,1,1,0,1,0,1,1,1,1,8,Cymbopogon citratus,396896-1,406132.0,,Cymbopogon citratus Stapf,Accepted,396896-1,406132.0,,Species,Cymbopogon citratus,396896-1,Useful Plants Data
11422,Cynanchum africanum,Cynanchum africanum (L.) Hoffmanns.,0,0,0,0,0,0,1,1,0,2,Cynanchum africanum,95995-1,503342.0,,Cynanchum africanum (L.) Hoffmanns.,Accepted,95995-1,503342.0,,Species,Cynanchum africanum,95995-1,Useful Plants Data
11434,Cynanchum ellipticum,Cynanchum ellipticum (Harv.) R.A.Dyer,0,0,0,0,0,0,1,1,0,2,Cynanchum ellipticum,96174-1,503603.0,,Cynanchum ellipticum (Harv.) R.A.Dyer,Accepted,96174-1,503603.0,,Species,Cynanchum ellipticum,96174-1,Useful Plants Data
11446,Cynanchum obtusifolium,Cynanchum obtusifolium L.f.,0,0,0,0,0,0,1,1,0,2,Cynanchum obtusifolium,96449-1,503978.0,,Cynanchum obtusifolium L.f.,Accepted,96449-1,503978.0,,Species,Cynanchum obtusifolium,96449-1,Useful Plants Data
11458,Cynanchum viminale,Cynanchum viminale (L.) L.,0,0,0,1,1,1,1,1,0,6,Cynanchum viminale,77120427-1,504285.0,,Cynanchum viminale (L.) L.,Accepted,77120427-1,504285.0,,Species,Cynanchum viminale,77120427-1,Useful Plants Data
11471,Cynodon aethiopicus,Cynodon aethiopicus Clayton & J.R.Harlan,1,1,0,0,0,0,1,1,0,4,Cynodon aethiopicus,397043-1,406317.0,,Cynodon aethiopicus Clayton & J.R.Harlan,Accepted,397043-1,406317.0,,Species,Cynodon aethiopicus,397043-1,Useful Plants Data
11472,Cynodon dactylon,Cynodon dactylon (L.) Pers.,1,1,0,1,0,1,1,1,1,7,Cynodon dactylon,397065-1,406339.0,,Cynodon dactylon (L.) Pers.,Accepted,397065-1,406339.0,,Species,Cynodon dactylon,397065-1,Useful Plants Data
11473,Cynodon incompletus,Cynodon incompletus Nees,1,1,0,0,0,0,1,1,0,4,Cynodon incompletus,397087-1,406383.0,,Cynodon incompletus Nees,Accepted,397087-1,406383.0,,Species,Cynodon incompletus,397087-1,Useful Plants Data
11474,Cynodon nlemfuensis,Cynodon nlemfuensis Vanderyst,1,1,0,0,0,1,1,1,0,5,Cynodon nlemfuensis,126195-3,406403.0,,Cynodon nlemfuensis Vanderyst,Accepted,126195-3,406403.0,,Species,Cynodon nlemfuensis,126195-3,Useful Plants Data
11475,Cynodon plectostachyus,Cynodon plectostachyus (K.Schum.) Pilg.,1,1,0,0,0,0,1,1,0,4,Cynodon plectostachyus,397115-1,406415.0,,Cynodon plectostachyus (K.Schum.) Pilg.,Accepted,397115-1,406415.0,,Species,Cynodon plectostachyus,397115-1,Useful Plants Data
11480,Cynoglossum coeruleum,Cynoglossum coeruleum Hochst. ex A.DC.,1,0,0,0,0,0,1,1,0,3,Cynoglossum coeruleum,115083-1,,751915.0,Cynoglossum coeruleum Hochst. ex A.DC.,Accepted,115083-1,,751915.0,Species,Cynoglossum coeruleum,115083-1,Useful Plants Data
11489,Cynoglossum officinale,Cynoglossum officinale L.,0,0,0,0,0,0,1,1,0,2,Cynoglossum officinale,115233-1,,752089.0,Cynoglossum officinale L.,Accepted,115233-1,,752089.0,Species,Cynoglossum officinale,115233-1,Useful Plants Data
11532,Cyperus articulatus,Cyperus articulatus L.,0,1,0,1,0,1,1,1,1,6,Cyperus articulatus,303822-1,235716.0,,Cyperus articulatus L.,Accepted,303822-1,235716.0,,Species,Cyperus articulatus,303822-1,Useful Plants Data
11537,Cyperus bulbosus,Cyperus bulbosus Vahl,1,1,0,1,0,0,1,1,0,5,Cyperus bulbosus,304007-1,235931.0,,Cyperus bulbosus Vahl,Accepted,304007-1,235931.0,,Species,Cyperus bulbosus,304007-1,Useful Plants Data
11587,Cyperus longus,Cyperus longus L.,1,1,0,1,0,1,1,1,0,7,Cyperus longus,330932-2,237327.0,,Cyperus longus L.,Accepted,330932-2,237327.0,,Species,Cyperus longus,330932-2,Useful Plants Data
11601,Cyperus nitidus,Cyperus nitidus Lam.,0,0,0,0,0,1,1,1,0,3,Cyperus nitidus,305312-1,237708.0,,Cyperus nitidus Lam.,Accepted,305312-1,237708.0,,Species,Cyperus nitidus,305312-1,Useful Plants Data
11622,Cyperus rotundus,Cyperus rotundus L.,1,1,0,1,0,1,1,1,0,7,Cyperus rotundus,305797-1,238342.0,,Cyperus rotundus L.,Accepted,305797-1,238342.0,,Species,Cyperus rotundus,305797-1,Useful Plants Data
11667,Cyphostemma cymosum,Cyphostemma cymosum (Schumach. & Thonn.) Desc.,0,0,0,0,0,0,1,1,0,2,Cyphostemma cymosum,68099-1,,752701.0,Cyphostemma cymosum (Schumach. & Thonn.) Desc.,Accepted,68099-1,,752701.0,Species,Cyphostemma cymosum,68099-1,Useful Plants Data
11719,Cyrtandra kaniensis,Cyrtandra kaniensis Schltr.,0,0,0,0,0,0,0,1,0,1,Cyrtandra kaniensis,379654-1,,753577.0,Cyrtandra kaniensis Schltr.,Accepted,379654-1,,753577.0,Species,Cyrtandra kaniensis,379654-1,Useful Plants Data
11751,Cyrtogonone argentea,Cyrtogonone argentea (Pax) Prain,0,0,0,1,0,1,1,1,0,5,Cyrtogonone argentea,343960-1,54669.0,,Cyrtogonone argentea Prain,Accepted,343960-1,54669.0,,Species,Cyrtogonone argentea,343960-1,Useful Plants Data
11764,Cyrtosperma merkusii,Cyrtosperma merkusii (Hassk.) Schott,0,1,0,1,0,0,1,1,0,4,Cyrtosperma chamissonis,86811-1,54874.0,,Cyrtosperma chamissonis Merr.,Synonym,86826-1,54874.0,,Species,Cyrtosperma merkusii,86826-1,Useful Plants Data
11785,Cytisus scoparius,Cytisus scoparius (L.) Link,0,1,0,1,0,1,1,1,0,5,Cytisus scoparius,489963-1,,754907.0,Cytisus scoparius (L.) Link,Accepted,489963-1,,754907.0,Species,Cytisus scoparius,489963-1,Useful Plants Data
11830,Dactylis glomerata,Dactylis glomerata L.,1,1,0,0,0,0,1,1,0,4,Dactylis glomerata,397309-1,406640.0,,Dactylis glomerata L.,Accepted,397309-1,406640.0,,Species,Dactylis glomerata,397309-1,Useful Plants Data
11832,Dactyloctenium aegyptium,Dactyloctenium aegyptium (L.) Willd.,1,1,0,1,0,1,1,1,0,7,Dactyloctenium aegyptium,397387-1,406842.0,,Dactyloctenium aegyptium (L.) Willd.,Accepted,397387-1,406842.0,,Species,Dactyloctenium aegyptium,397387-1,Useful Plants Data
11836,Dactyloctenium radulans,Dactyloctenium radulans (R.Br.) P.Beauv.,0,0,0,0,0,0,1,1,0,2,Dactyloctenium radulans,397416-1,406879.0,,Dactyloctenium radulans P.Beauv.,Accepted,397416-1,406879.0,,Species,Dactyloctenium radulans,397416-1,Useful Plants Data
11838,Dactyloctenium scindicum,Dactyloctenium scindicum Boiss.,1,1,0,1,0,0,0,1,0,4,Dactyloctenium scindicum,397418-1,406882.0,,Dactyloctenium scindicum Boiss.,Accepted,397418-1,406882.0,,Species,Dactyloctenium scindicum,397418-1,Useful Plants Data
11859,Calamus geniculatus,Calamus geniculatus Griff.,0,0,0,0,0,1,0,1,0,2,Daemonorops geniculata,666460-1,55729.0,,Daemonorops geniculata Mart.,Synonym,665103-1,55729.0,,Species,Calamus geniculatus,665103-1,Useful Plants Data
11944,Dalbergia rostrata,Dalbergia rostrata Hassk.,0,0,0,0,0,0,1,1,1,3,Dalbergia rostrata,490440-1,,755861.0,Dalbergia rostrata Hassk.,Accepted,490440-1,,755861.0,Species,Dalbergia rostrata,490440-1,Useful Plants Data
11948,Dalbergia sissoo,Dalbergia sissoo Roxb. ex DC.,1,1,1,1,0,1,1,1,0,7,Dalbergia sissoo,490469-1,,755890.0,Dalbergia sissoo Roxb. ex DC.,Accepted,490469-1,,755890.0,Species,Dalbergia sissoo,490469-1,Useful Plants Data
11951,Dalbergia stipulacea,Dalbergia stipulacea Roxb.,0,0,1,0,0,1,1,1,0,4,Dalbergia stipulacea,490477-1,,755899.0,Dalbergia stipulacea Roxb.,Accepted,490477-1,,755899.0,Species,Dalbergia stipulacea,490477-1,Useful Plants Data
11987,Dalechampia scandens,Dalechampia scandens L.,1,0,0,0,0,1,1,1,0,4,Dalechampia scandens,319177-2,56067.0,,Dalechampia scandens L.,Accepted,319177-2,56067.0,,Species,Dalechampia scandens,319177-2,Useful Plants Data
12009,Daniellia oliveri,Daniellia oliveri (Rolfe) Hutch. & Dalziel,1,1,1,1,1,1,1,1,0,9,Daniellia oliveri,490996-1,,756762.0,Daniellia oliveri (Rolfe) Hutch. & Dalziel,Accepted,490996-1,,756762.0,Species,Daniellia oliveri,490996-1,Useful Plants Data
12021,Daphnandra micrantha,Daphnandra micrantha (Tul.) Benth.,0,0,0,0,0,1,1,1,0,3,Daphnandra micrantha,581858-1,,756798.0,Daphnandra micrantha (Tul.) Benth.,Accepted,581858-1,,756798.0,Species,Daphnandra micrantha,581858-1,Useful Plants Data
12025,Daphne altaica,Daphne altaica Pall.,0,1,0,0,0,0,0,1,0,2,Daphne altaica,831137-1,,756817.0,Daphne altaica Pall.,Accepted,831137-1,,756817.0,Species,Daphne altaica,831137-1,Useful Plants Data
12030,Daphne cneorum,Daphne cneorum L.,0,1,0,0,0,0,1,1,0,3,Daphne cneorum,831193-1,,756911.0,Daphne cneorum L.,Accepted,831193-1,,756911.0,Species,Daphne cneorum,831193-1,Useful Plants Data
12032,Daphne genkwa,Daphne genkwa Siebold & Zucc.,0,1,0,1,0,0,1,1,0,4,Daphne genkwa,831227-1,,756974.0,Daphne genkwa Siebold & Zucc.,Accepted,831227-1,,756974.0,Species,Daphne genkwa,831227-1,Useful Plants Data
12034,Daphne glomerata,Daphne glomerata Lam.,0,0,0,0,0,0,0,1,0,1,Daphne glomerata,831230-1,,756981.0,Daphne glomerata Lam.,Accepted,831230-1,,756981.0,Species,Daphne glomerata,831230-1,Useful Plants Data
12035,Daphne gnidium,Daphne gnidium L.,0,0,0,0,0,1,1,1,0,3,Daphne gnidium,831233-1,,756985.0,Daphne gnidium L.,Accepted,831233-1,,756985.0,Species,Daphne gnidium,831233-1,Useful Plants Data
12037,Daphne laureola,Daphne laureola L.,0,1,0,0,0,1,1,1,0,4,Daphne laureola,831270-1,,757056.0,Daphne laureola L.,Accepted,831270-1,,757056.0,Species,Daphne laureola,831270-1,Useful Plants Data
12039,Daphne mezereum,Daphne mezereum L.,0,1,0,0,0,0,1,1,0,3,Daphne mezereum,831294-1,,757105.0,Daphne mezereum L.,Accepted,831294-1,,757105.0,Species,Daphne mezereum,831294-1,Useful Plants Data
12050,Daphniphyllum griffithianum,Daphniphyllum griffithianum (Wight) Noltie,0,0,0,0,0,1,1,1,0,3,Daphniphyllum griffithianum,60440839-2,343943.0,,Daphniphyllum griffithianum (Wight) Noltie,Accepted,60440839-2,343943.0,,Species,Daphniphyllum griffithianum,60440839-2,Useful Plants Data
12051,Daphniphyllum himalense,Daphniphyllum himalense (Benth.) Müll.Arg.,0,0,0,0,0,0,1,1,0,2,Daphniphyllum himalaense,60461871-2,56400.0,,Daphniphyllum himalense (Benth.) Müll.Arg.,Accepted,60461871-2,56400.0,,Species,Daphniphyllum himalense,60461871-2,Useful Plants Data
12076,Dasymaschalon dasymaschalum,Dasymaschalon dasymaschalum (Blume) I.M.Turner,0,0,0,0,0,0,0,1,0,1,Dasymaschalon blumei,72727-1,,757617.0,Dasymaschalon blumei Finet & Gagnep.,Illegitimate,77085883-1,,604143.0,Species,Dasymaschalon dasymaschalum,77085883-1,Useful Plants Data
12083,Datisca glomerata,Datisca glomerata (C.Presl) Baill.,0,0,0,0,0,0,1,1,0,2,Datisca glomerata,316095-1,,757746.0,Datisca glomerata (C.Presl) Baill.,Accepted,316095-1,,757746.0,Species,Datisca glomerata,316095-1,Useful Plants Data
12086,Datura ferox,Datura ferox L.,0,0,0,0,0,0,1,1,1,3,Datura ferox,815555-1,,757788.0,Datura ferox L.,Accepted,815555-1,,757788.0,Species,Datura ferox,815555-1,Useful Plants Data
