,Safe plants: Scientific name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
240,Lytocaryum weddelianum (H. Wendl.) Toledo ,Syagrus weddelliana,Syagrus weddelliana,246979-2,246979-2,Species,CliniTox
241,Majorana cretica Mill. ,,,,,,CliniTox
242,Majorana onites (L.) Bentham ,Origanum onites,Origanum onites,453331-1,453331-1,Species,CliniTox
243,Malva alcea L. ,Malva alcea,Malva alcea,561521-1,561521-1,Species,CliniTox
244,Malva mauritiana L. (= Malva sylvestris supsp. mauritiana (L.) Boiss. ex Court) ,Malva sylvestris var. sylvestris,Malva sylvestris,561932-1,77226650-1,Variety,CliniTox
245,Malva moschata L. ,Malva moschata,Malva moschata,561790-1,561790-1,Species,CliniTox
246,Malva neglecta Wallr. ,Malva neglecta,Malva neglecta,561795-1,561795-1,Species,CliniTox
247,Malva sylvestris L. ,Malva sylvestris,Malva sylvestris,561932-1,561932-1,Species,CliniTox
248,Maranta leuconeura E. Morren ,Maranta leuconeura,Maranta leuconeura,797361-1,797361-1,Species,CliniTox
249,Matricaria chamomilla L. ,Matricaria chamomilla,Matricaria chamomilla,154715-2,154715-2,Species,CliniTox
250,Matricaria courrantiana DC. ,Matricaria chamomilla,Matricaria chamomilla,154715-2,154715-2,Species,CliniTox
251,Matricaria recutita L. ,Matricaria chamomilla,Matricaria chamomilla,154715-2,154715-2,Species,CliniTox
252,Medinilla magnifica Lindl. ,Medinilla magnifica,Medinilla magnifica,570289-1,570289-1,Species,CliniTox
253,Melissa officinalis L. ,Melissa officinalis,Melissa officinalis,450084-1,450084-1,Species,CliniTox
254,Mentha aquatica L. ,Mentha aquatica,Mentha aquatica,450192-1,450192-1,Species,CliniTox
255,Mentha arvensis L. ,Mentha arvensis,Mentha arvensis,30026217-2,30026217-2,Species,CliniTox
256,Mentha longifolia (L.) Huds. ,Mentha longifolia,Mentha longifolia,450735-1,450735-1,Species,CliniTox
257,Mentha spicata L. ,Mentha spicata,Mentha spicata,451162-1,451162-1,Species,CliniTox
258,Mentha sylvestris L. ,Mentha longifolia subsp. longifolia,Mentha longifolia,450735-1,77169971-1,Subspecies,CliniTox
259,Mentha viridis L. ,Mentha spicata subsp. spicata,Mentha spicata,451162-1,77171344-1,Subspecies,CliniTox
260,Mentha x piperita L. ,Mentha × piperita,Mentha × piperita,450969-1,450969-1,Species,CliniTox
261,Microcoelum weddellianum (H. Wendl.) H. E. Moore ,Syagrus weddelliana,Syagrus weddelliana,246979-2,246979-2,Species,CliniTox
262,Nematanthus gregarius D.L. Denham ,Nematanthus gregarius,Nematanthus gregarius,290876-2,290876-2,Species,CliniTox
263,Neoregelia carolinae (Beer) L.B. Smith ,Neoregelia carolinae,Neoregelia carolinae,169003-2,169003-2,Species,CliniTox
264,Nephrolepis exaltata (L.) Schott ,Nephrolepis exaltata,Nephrolepis exaltata,17160830-1,17160830-1,Species,CliniTox
265,Nertera depressa Banks & Sol. ex Gaertn. ,Nertera granadensis var. granadensis,Nertera granadensis,757486-1,77167975-1,Variety,CliniTox
266,Nertera granadensis (Mutis ex L.f.) Druce ,Nertera granadensis,Nertera granadensis,757486-1,757486-1,Species,CliniTox
267,Odontoglossum flexuosum (Kunth) ,,,,,,CliniTox
268,Oncidium flexuosum (Kunth) Lindl. ,Cyrtochilum flexuosum,Cyrtochilum flexuosum,316853-2,316853-2,Species,CliniTox
269,Origanum onites L. ,Origanum onites,Origanum onites,453331-1,453331-1,Species,CliniTox
270,Origanum smyrnaeum L. ,Origanum onites,Origanum onites,453331-1,453331-1,Species,CliniTox
271,Origanum vulgare L. ,Origanum vulgare,Origanum vulgare,453395-1,453395-1,Species,CliniTox
272,Panax ginseng C.A. Meyer ,Panax ginseng,Panax ginseng,91472-1,91472-1,Species,CliniTox
273,Panax quinquefolius L. ,Panax quinquefolius,Panax quinquefolius,300467-2,300467-2,Species,CliniTox
274,Panax quinquefolius L. var. americanus Raf. ,Panax quinquefolius,Panax quinquefolius,300467-2,300467-2,Species,CliniTox
275,Paphiopedilum callosum (Rchb. f.) Stein ,Paphiopedilum callosum,Paphiopedilum callosum,649729-1,649729-1,Species,CliniTox
276,Passiflora caerulea ,Passiflora caerulea,Passiflora caerulea,321949-2,321949-2,Species,CliniTox
277,Passiflora incarnata L. ,Passiflora incarnata,Passiflora incarnata,675096-1,675096-1,Species,CliniTox
278,Passiflora kerii Spreng. ,Passiflora incarnata,Passiflora incarnata,675096-1,675096-1,Species,CliniTox
279,Pelargonium grandiflorum (Andrews) Willd. ,Pelargonium grandiflorum,Pelargonium grandiflorum,376255-1,376255-1,Species,CliniTox
280,Pelargonium lateripes auct. ,,,,,,CliniTox
281,Pelargonium peltatum (L.) L'Her. ,Pelargonium peltatum,Pelargonium peltatum,376728-1,376728-1,Species,CliniTox
282,Pelargonium sidaefolium (Thunb.) R.Knuth ,,,,,,CliniTox
283,Pelargonium sidoides DC. ,Pelargonium sidoides,Pelargonium sidoides,377008-1,377008-1,Species,CliniTox
284,Pelargonium zonale (L.) L'Her. ,Pelargonium zonale,Pelargonium zonale,377229-1,377229-1,Species,CliniTox
285,Pellaea rotundifolia (G. Forst.) Hook. ,Hemionitis rotundifolia,Hemionitis rotundifolia,77182722-1,77182722-1,Species,CliniTox
286,Peperomia argyreia (Miq.) E. Morren ,Peperomia argyreia,Peperomia argyreia,678021-1,678021-1,Species,CliniTox
287,Peperomia arifolia var. argyreia Miq. ,Peperomia arifolia,Peperomia arifolia,678023-1,678023-1,Species,CliniTox
288,Peperomia caperata Yunck. ,Peperomia caperata,Peperomia caperata,678190-1,678190-1,Species,CliniTox
289,Peperomia obtusifolia (L.) A. Dietr. ,Peperomia obtusifolia,Peperomia obtusifolia,679269-1,679269-1,Species,CliniTox
290,Peperomia sandersii ,Peperomia argyreia,Peperomia argyreia,678021-1,678021-1,Species,CliniTox
291,Phacelia tanacetifolia Benth. ,Phacelia tanacetifolia,Phacelia tanacetifolia,432789-1,432789-1,Species,CliniTox
292,Phalaenopsis amabilis (L.) Blume ,Phalaenopsis amabilis,Phalaenopsis amabilis,650501-1,650501-1,Species,CliniTox
293,Phlebodium aureum (L.) J.Sm. ,Phlebodium aureum,Phlebodium aureum,17175390-1,17175390-1,Species,CliniTox
294,Phoenix canariensis H. Wildpret ,Phoenix canariensis,Phoenix canariensis,668909-1,668909-1,Species,CliniTox
295,Pilea peperomioides ,Pilea peperomioides,Pilea peperomioides,855664-1,855664-1,Species,CliniTox
296,Pimpinella anisum L. ,Pimpinella anisum,Pimpinella anisum,846658-1,846658-1,Species,CliniTox
297,Platyaechmea fasciata (Lindl.) L. B. Sm. & W. J. Kress ,Aechmea fasciata,Aechmea fasciata,121640-1,121640-1,Species,CliniTox
298,Platycerium bifurcatum (Cav.) C. Chr. ,Platycerium bifurcatum,Platycerium bifurcatum,17177460-1,17177460-1,Species,CliniTox
299,Plectranthus fruticosus L'Her. ,Plectranthus fruticosus,Plectranthus fruticosus,454404-1,454404-1,Species,CliniTox
300,Plectranthus scutellarioides (L.) R.Br. ,Coleus scutellarioides,Coleus scutellarioides,446165-1,446165-1,Species,CliniTox
301,Plerandra elegantissima (Veitch ex Masters ) Lowry G.M.Plunkett & Frodin ,Plerandra elegantissima,Plerandra elegantissima,77131172-1,77131172-1,Species,CliniTox
302,Plumbago auriculata Lam. ,Plumbago auriculata,Plumbago auriculata,687056-1,687056-1,Species,CliniTox
303,Plumbago capensis Thunb. ,Plumbago auriculata,Plumbago auriculata,687056-1,687056-1,Species,CliniTox
304,Plumbago europaea L. ,Plumbago europaea,Plumbago europaea,687068-1,687068-1,Species,CliniTox
305,Polypodium aureum L. ,Phlebodium aureum,Phlebodium aureum,17175390-1,17175390-1,Species,CliniTox
306,Polystichum falcatum (L.f.) Diels ,Cyrtomium falcatum,Cyrtomium falcatum,17268360-1,17268360-1,Species,CliniTox
307,Potentilla erecta (L.) Räuschel ,Potentilla recta subsp. recta,Potentilla recta,209483-2,77231719-1,Subspecies,CliniTox
308,Potentilla tormentilla Necker ,Potentilla erecta,Potentilla erecta,60457410-2,60457410-2,Species,CliniTox
309,Primula eliator (L.) L.s.str. ,,,,,,CliniTox
310,Primula veris L.s.l. ,Primula veris,Primula veris,702751-1,702751-1,Species,CliniTox
311,Protasparagus densiflorus (Kunth) Oberm. ,Asparagus densiflorus,Asparagus densiflorus,531072-1,531072-1,Species,CliniTox
312,Pteris cretica L. ,Pteris cretica,Pteris cretica,17211870-1,17211870-1,Species,CliniTox
313,Pteris nervosa Thunb. ,Pteris cretica subsp. cretica,Pteris cretica,17211870-1,77186168-1,Subspecies,CliniTox
314,Pteris oligophylla Viv. ,Pteris cretica subsp. cretica,Pteris cretica,17211870-1,77186168-1,Subspecies,CliniTox
315,Racinaea dyeriana (André) Barfuss & W.Till ,Racinaea dyeriana,Racinaea dyeriana,77158954-1,77158954-1,Species,CliniTox
316,Rechsteineria cardinalis (Lehmann) Kuntze ,Sinningia cardinalis,Sinningia cardinalis,236686-2,236686-2,Species,CliniTox
317,Rhipsalidopsis x graeseri (Barthlott ex D.R. Hunt) P.V. Heath ,,,,,,CliniTox
318,Rhipsalis campos-portoana Loefgr. ,Rhipsalis campos-portoana,Rhipsalis campos-portoana,219256-2,219256-2,Species,CliniTox
319,Rhododendron ferrugineum L. ,Rhododendron ferrugineum,Rhododendron ferrugineum,332420-1,332420-1,Species,CliniTox
320,Rhododendron hirsutum L. ,Rhododendron hirsutum,Rhododendron hirsutum,326360-2,326360-2,Species,CliniTox
321,Rhododendron x intermedium Tausch ,Rhododendron × intermedium,Rhododendron × intermedium,332634-1,332634-1,Species,CliniTox
322,Rosmarinus officinalis L. ,Salvia rosmarinus,Salvia rosmarinus,457138-1,457138-1,Species,CliniTox
323,Rubus fruticosus aggr. ,Rubus fruticosus,Rubus fruticosus,736933-1,736933-1,Species,CliniTox
324,Rudbeckia fulgida Aiton ,Rudbeckia fulgida,Rudbeckia fulgida,223725-2,223725-2,Species,CliniTox
325,Rudbeckia hirta L. ,Rudbeckia hirta,Rudbeckia hirta,223740-2,223740-2,Species,CliniTox
326,Rudbeckia purpurea L. ,Echinacea purpurea,Echinacea purpurea,1174497-2,1174497-2,Species,CliniTox
327,Ruellia strepens L. ,Ruellia strepens,Ruellia strepens,54614-1,54614-1,Species,CliniTox
328,Saintpaulia ionantha H. Wendl. ,Streptocarpus ionanthus,Streptocarpus ionanthus,77117375-1,77117375-1,Species,CliniTox
329,Salix caprea L. ,Salix caprea,Salix caprea,303599-2,303599-2,Species,CliniTox
330,Salix cinerea L. ,Salix cinerea,Salix cinerea,301107-2,301107-2,Species,CliniTox
331,Salix daphnoides Vill. ,Salix daphnoides,Salix daphnoides,777425-1,777425-1,Species,CliniTox
332,Salix elaeagnos Scop. ,,,,,,CliniTox
333,Salix fragilis L. ,Salix × fragilis,Salix × fragilis,777611-1,777611-1,Species,CliniTox
334,Salix purpurea L. ,Salix purpurea,Salix purpurea,301321-2,301321-2,Species,CliniTox
335,Salix viminalis L. ,Salix viminalis,Salix viminalis,779152-1,779152-1,Species,CliniTox
336,Sanchezia nobilis hort. ,Sanchezia oblonga,Sanchezia oblonga,54890-1,54890-1,Species,CliniTox
337,Sanchezia speciosa Leonard ,Sanchezia speciosa,Sanchezia speciosa,227328-2,227328-2,Species,CliniTox
338,Saxifraga androsacea L. ,Saxifraga androsacea,Saxifraga androsacea,793205-1,793205-1,Species,CliniTox
339,Schefflera elegantissima (hort. Veitch ex Mast.) Lowry & Frodin ,Plerandra elegantissima,Plerandra elegantissima,77131172-1,77131172-1,Species,CliniTox
340,Schlumbergera truncata (Haw.) Moran ,Schlumbergera truncata,Schlumbergera truncata,229597-2,229597-2,Species,CliniTox
341,Schlumbergera x buckleyi (T. Moore) Tjaden ,,,,,,CliniTox
342,Sedum album L. ,Sedum album,Sedum album,275022-1,275022-1,Species,CliniTox
343,Sedum boloniense auct. ,Sedum sexangulare,Sedum sexangulare,276056-1,276056-1,Species,CliniTox
344,Sedum dasyphyllum L. ,Sedum dasyphyllum,Sedum dasyphyllum,275301-1,275301-1,Species,CliniTox
345,Sedum glaucum Lam. ,Sedum dasyphyllum subsp. dasyphyllum,Sedum dasyphyllum,275301-1,77224999-1,Subspecies,CliniTox
346,Sedum mite Gilib. ,Sedum sexangulare,Sedum sexangulare,276056-1,276056-1,Species,CliniTox
347,Sedum morganianum E. Walther ,Sedum morganianum,Sedum morganianum,231789-2,231789-2,Species,CliniTox
348,Sedum sexangulare L. ,Sedum sexangulare,Sedum sexangulare,276056-1,276056-1,Species,CliniTox
349,Selaginella helvetica (L.) Spring ,Selaginella helvetica,Selaginella helvetica,60454892-2,60454892-2,Species,CliniTox
350,Selaginella lepidophylla (Hook. & Grev.) Spring ,Selaginella lepidophylla,Selaginella lepidophylla,60452854-2,60452854-2,Species,CliniTox
351,Sempervivum arboreum L. ,Aeonium arboreum,Aeonium arboreum,272194-1,272194-1,Species,CliniTox
352,Sida picta Gillies ex Hook. & Arn. ,Callianthe picta,Callianthe picta,77130215-1,77130215-1,Species,CliniTox
353,Sinningia cardinalis (Lehm.) H.E. Moore ,Sinningia cardinalis,Sinningia cardinalis,236686-2,236686-2,Species,CliniTox
354,Sinningia speciosa (hort. Lodd. ex Ker Gawl.) Hiern ,Sinningia speciosa,Sinningia speciosa,382786-1,382786-1,Species,CliniTox
355,Sinningia x hybrida Voss ,Sinningia × ornata,Sinningia × ornata,382771-1,382771-1,Species,CliniTox
356,Soleirolia soleirolii (Req.) Dandy ,Soleirolia soleirolii,Soleirolia soleirolii,856545-1,856545-1,Species,CliniTox
357,Solenostemon scutellarioides (L.) Codd ,Coleus scutellarioides,Coleus scutellarioides,446165-1,446165-1,Species,CliniTox
358,Sonerila maculata Roxb. ,Sonerila maculata,Sonerila maculata,575815-1,575815-1,Species,CliniTox
359,Sparrmannia africana L.f. ,Sparrmannia africana,Sparrmannia africana,835200-1,835200-1,Species,CliniTox
360,Spiraea ulmaria L. ,Filipendula ulmaria,Filipendula ulmaria,724943-1,724943-1,Species,CliniTox
361,Stephanotis floribunda Brongn. ,Stephanotis floribunda,Stephanotis floribunda,77204413-1,77204413-1,Species,CliniTox
362,Stevia rebaudiana (Bertoni) Bertoni ,Stevia rebaudiana,Stevia rebaudiana,245468-2,245468-2,Species,CliniTox
363,Stevia rebaudiana (Bertoni) Hemsl. ,Stevia rebaudiana,Stevia rebaudiana,245468-2,245468-2,Species,CliniTox
364,Symphyotrichum novi-belgii (L.) G.L.Nesom ,Symphyotrichum novi-belgii,Symphyotrichum novi-belgii,981864-1,981864-1,Species,CliniTox
365,Taraxacum officinale aggr. ,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum,254151-1,254151-1,Species,CliniTox
366,Thea sinensis L. ,Camellia sinensis,Camellia sinensis,828548-1,828548-1,Species,CliniTox
367,Thunbergia alata Bojer ex Sims ,Thunbergia alata,Thunbergia alata,56177-1,56177-1,Species,CliniTox
368,Thymus serpyllum aggr. ,Thymus serpyllum,Thymus serpyllum,30066276-2,30066276-2,Species,CliniTox
369,Thymus vulgaris L. ,Thymus vulgaris,Thymus vulgaris,461765-1,461765-1,Species,CliniTox
370,Thymus zygis L. ,Thymus zygis,Thymus zygis,461798-1,461798-1,Species,CliniTox
371,Tiarella menziesii Pursh ,,,,,,CliniTox
372,Tilia argentea Desf. ex DC. ,Tilia tomentosa,Tilia tomentosa,835608-1,835608-1,Species,CliniTox
373,Tilia cordata Mill. ,Tilia cordata,Tilia cordata,835277-1,835277-1,Species,CliniTox
374,Tilia grandifolia Ehrh. ,Tilia platyphyllos subsp. corinthiaca,Tilia platyphyllos,332109-2,20006402-1,Subspecies,CliniTox
375,Tilia parvifolia Ehrh. ,,,,,,CliniTox
376,Tilia petiolaris DC. ,Tilia tomentosa,Tilia tomentosa,835608-1,835608-1,Species,CliniTox
377,Tilia platyphyllos Scop. ,Tilia platyphyllos,Tilia platyphyllos,332109-2,332109-2,Species,CliniTox
378,Tilia tomentosa Moench ,Tilia tomentosa,Tilia tomentosa,835608-1,835608-1,Species,CliniTox
379,Tilia ulmifolia Scop. ,Tilia cordata,Tilia cordata,835277-1,835277-1,Species,CliniTox
380,Tilia x europaea L. ,Tilia × europaea,Tilia × europaea,835306-1,835306-1,Species,CliniTox
381,Tilia x europaea var. pallida Rehder ,,,,,,CliniTox
382,Tilia x vulgaris Hayne ,Tilia × europaea,Tilia × europaea,835306-1,835306-1,Species,CliniTox
383,Tillandsia cyanea Linden ex K. Koch ,Wallisia cyanea,Wallisia cyanea,77158962-1,77158962-1,Species,CliniTox
384,Tillandsia dyeriana André ,Racinaea dyeriana,Racinaea dyeriana,77158954-1,77158954-1,Species,CliniTox
385,Tillandsia lindenii K.Koch ,Wallisia cyanea,Wallisia cyanea,77158962-1,77158962-1,Species,CliniTox
386,Tolmiea menziesii (Pursh) Torr. ,Tolmiea menziesii,Tolmiea menziesii,794907-1,794907-1,Species,CliniTox
387,Tradescantia pendula (Schnizl.) D.R. Hunt ,Tradescantia zebrina var. zebrina,Tradescantia zebrina,30049896-2,77170928-1,Variety,CliniTox
388,Tradescantia zebrina hort. ex Bosse ,Tradescantia zebrina,Tradescantia zebrina,30049896-2,30049896-2,Species,CliniTox
389,Ulmaria pentapetala Gilib. ,Filipendula ulmaria subsp. ulmaria,Filipendula ulmaria,724943-1,77231422-1,Subspecies,CliniTox
390,Urtica dioica L. ,Urtica dioica,Urtica dioica,260630-2,260630-2,Species,CliniTox
391,Urtica urens L. ,Urtica urens,Urtica urens,857987-1,857987-1,Species,CliniTox
392,Vaccinium myrtillus L. ,Vaccinium myrtillus,Vaccinium myrtillus,30006039-2,30006039-2,Species,CliniTox
393,Valeriana officinalis aggr. ,Valeriana officinalis,Valeriana officinalis,860012-1,860012-1,Species,CliniTox
394,Verbena triphylla L'Hér. ,Aloysia citrodora,Aloysia citrodora,1015994-1,1015994-1,Species,CliniTox
395,Veronica x andersonii Lindl. & Paxton ,Veronica × andersonii,Veronica × andersonii,811614-1,811614-1,Species,CliniTox
396,Vitex agnus-castus L. ,Vitex agnus-castus,Vitex agnus-castus,865568-1,865568-1,Species,CliniTox
397,Vriesea carinata Wawra ,Vriesea carinata,Vriesea carinata,126130-1,126130-1,Species,CliniTox
398,Wallisia cyanea Barfuss & W.Till ,Wallisia cyanea,Wallisia cyanea,77158962-1,77158962-1,Species,CliniTox
399,"Yucca elephantipes Regel, nom. inval. ",Yucca gigantea,Yucca gigantea,543700-1,543700-1,Species,CliniTox
400,Yucca gloriosa L. ,Yucca gloriosa,Yucca gloriosa,325010-2,325010-2,Species,CliniTox
401,Yucca guatemalensis Baker ,Yucca gigantea,Yucca gigantea,543700-1,543700-1,Species,CliniTox
402,Zebrina pendula Schnizl. ,Tradescantia zebrina var. zebrina,Tradescantia zebrina,30049896-2,77170928-1,Variety,CliniTox
403,Zingiber officinale Roscoe ,Zingiber officinale,Zingiber officinale,798372-1,798372-1,Species,CliniTox
404,Zygocactus truncatus (Haw.) K. Schum. ,Schlumbergera truncata,Schlumbergera truncata,229597-2,229597-2,Species,CliniTox
