,Plant_number,TPPT_Snippet,German_plant_name,English_plant_name,Plant_genus,Plant_family,Global_spatial_distribution,Swiss_frequency,Swiss_appearance,Vegetation_type,Blooming_period,Toxic_plant_part,Human_toxicity,Animal_toxicity,Invasive_foreign,Garden_plant,Agricultural_plant,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
444,P445,Andromeda polifolia L.,Rosmarinheide,Marsh Andromede,Andromeda,Ericaceae,"Europe, Asia and North America",17,domestic,Shore- and marsh plant,May-Jun.,"Flower, fruit, leaf",strong toxic,,,,,Andromeda polifolia,Andromeda polifolia,30021967-2,30021967-2,Species,TPPT
446,P447,Vaccinium uliginosum aggr. (V. uliginosum L. and V. gaultherioides Bigelow),Rauschbeere,Bog bilberry,Vaccinium,Ericaceae,global,70,domestic,Mountain plant,May-Jun.,Fruit,weak toxic,,,,,Vaccinium uliginosum,Vaccinium uliginosum,30184367-2,30184367-2,Species,TPPT
447,P448,Pieris floribunda (Pursh) Benth. & Hook. f.,Vielbluetige Lavendelheide,Fetter-bush,Pieris,Ericaceae,North America,0,alien,Ornamental garden plant,Apr.-May,Whole plant,toxic,strong toxic,,yes,,Pieris floribunda,Pieris floribunda,331653-1,331653-1,Species,TPPT
448,P449,Pieris japonica (Thunb.) D. Don ex G. Don,Japanische Lavendelheide,Japanese pieris,Pieris,Ericaceae,Asia,0,alien,Ornamental garden plant,Mar.-Apr.,Whole plant,toxic,strong toxic,,yes,,Pieris japonica,Pieris japonica,331662-1,331662-1,Species,TPPT
449,P450,Kalmia angustifolia L.,Schmalblaettrige Lorbeerrose,Sheep laurel,Kalmia,Ericaceae,North America,0,alien,Ornamental garden plant,Jun.-Jul.,Leaf,toxic,strong toxic,,yes,,Kalmia angustifolia,Kalmia angustifolia,133210-2,133210-2,Species,TPPT
450,P451,Kalmia latifolia L.,Berglorbeer,Mountain laurel,Kalmia,Ericaceae,North America,0,alien,Ornamental garden plant,May-Jun.,Leaf,toxic,strong toxic,,yes,,Kalmia latifolia,Kalmia latifolia,279164-2,279164-2,Species,TPPT
451,P452,Leucothoe fontanesiana (Steud.) Sleumer,Traubenheide,Highland dog-hobble,Leucothoe,Ericaceae,North America,0,alien,Ornamental garden plant,Apr.-May,,toxic,strong toxic,,yes,,Leucothoe fontanesiana,Leucothoe fontanesiana,139255-2,139255-2,Species,TPPT
463,P464,Cyclamen hederifolium Aiton,Efeublaettriges Alpenveilchen,Ivy-leaved cyclamen,Cyclamen,Primulaceae,Southern Europe,2,domestic,Forest plant,Sep.,Tuber,toxic,,,,,Cyclamen hederifolium,Cyclamen hederifolium,700730-1,700730-1,Species,TPPT
464,P465,Cyclamen purpurascens Mill.,Europaeisches Alpenveilchen,Purple cyclamen,Cyclamen,Primulaceae,Southern and Central Europe,12,domestic,Forest plant,Jun.-Oct.,Tuber,toxic,,,,,Cyclamen purpurascens,Cyclamen purpurascens,700772-1,700772-1,Species,TPPT
465,P466,Anagallis arvensis L.,Acker-Gauchheil,Scarlet pimpernel,Anagallis,Primulaceae,Mediterranean,42,domestic,Weed and ruderal plant,Jun.-Sep.,"Herb, root, seed (or whole plant)",toxic,toxic,,,,Lysimachia arvensis,Lysimachia arvensis,77100386-1,77100386-1,Species,TPPT
466,P467,Impatiens glandulifera Royle,Druesiges Springkraut,,Impatiens,Balsaminaceae,Asia,37,alien,Weed and ruderal plant,Jul.-Sep.,Whole plant,weak toxic,,yes (forbidden CH),,,Impatiens glandulifera,Impatiens glandulifera,30221088-2,30221088-2,Species,TPPT
467,P468,Impatiens balfourii Hook. f.,Balfours Springkraut,,Impatiens,Balsaminaceae,Asia,9,alien,Weed and ruderal plant,Jul.-Oct.,Whole plant,weak toxic,,yes,,,Impatiens balfourii,Impatiens balfourii,373976-1,373976-1,Species,TPPT
468,P469,Asclepias syriaca L.,Syrische Seidenpflanze,Common milkweed,Asclepias,Apocynaceae,North America,2,alien,Weed and ruderal plant,Jun.-Aug.,"Latex, rhizome (or whole plant)",toxic,toxic,yes,,,Asclepias syriaca,Asclepias syriaca,319076-2,319076-2,Species,TPPT
469,P470,Asclepias curassavica L.,Indianer Seidenpflanze,Scarlet milkweed,Asclepias,Apocynaceae,South America,0,alien,Ornamental garden plant,Jun.-Aug.,"Latex, rhizome (or whole plant)",toxic,toxic,,yes,,Asclepias curassavica,Asclepias curassavica,94213-1,94213-1,Species,TPPT
470,P471,Vincetoxicum hirundinaria Medik.,Schwalbenwurz,White swallow-wort,Vincetoxicum,Apocynaceae,Europe and Asia,49,domestic,Xerophyte,Jun.-Aug.,"Whole plant, highest concentrations in aerial part",toxic,,,,,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,102810-1,102810-1,Species,TPPT
471,P472,Vinca minor L.,Kleines Immergruen,Lesser periwinkle,Vinca,Apocynaceae,Europe and Western Asia,48,domestic,Forest plant,Apr.-May,"Herb, root (or whole plant)",toxic,,,,,Vinca minor,Vinca minor,82701-1,82701-1,Species,TPPT
472,P473,Vinca major L.,Groses Immergruen,Greater periwinkle,Vinca,Apocynaceae,Southern Europe and Western Asia,occasionally introduced ,alien,Mountain plant,Apr.-May,"Herb, root (or whole plant)",toxic,,,yes,,Vinca major,Vinca major,82697-1,82697-1,Species,TPPT
473,P474,Nerium oleander L.,Oleander,Oleander,Nerium,Apocynaceae,Mediterranean,0,alien,Ornamental garden plant,,Whole plant,very strong toxic,very strong toxic,,yes,,Nerium oleander,Nerium oleander,80460-1,80460-1,Species,TPPT
474,P475,Thevetia peruviana (Pers.) K. Schum.,Schellenbaum,Yellow oleander,Thevetia,Apocynaceae,South America,0,alien,Ornamental garden plant,May-Oct.,"Whole plant, highest concentrations in bark, latex",very strong toxic,very strong toxic,,yes,,Cascabela thevetia,Cascabela thevetia,47927-2,47927-2,Species,TPPT
475,P476,Catharanthus roseus (L.) G. Don,Madagaskar-Immergruen,Madagascar periwinkle,Catharanthus,Apocynaceae,global,0,alien,Ornamental garden plant,Mar.-Oct.,"Whole plant, highest concentration in root",strong toxic,,,yes,,Catharanthus roseus,Catharanthus roseus,77880-1,77880-1,Species,TPPT
476,P477,Galium odoratum (L.) Scop.,Echter Waldmeister,Woodruff-asperule,Galium,Rubiaceae,Europe and Siberia,55,alien,Forest plant,Apr.-Jun.,Aerial part (or whole plant),weak toxic,,,,,Galium odoratum,Galium odoratum,750339-1,750339-1,Species,TPPT
477,P478,Rubia tinctorum L.,Faerber-Roete,Madder root,Rubia,Rubiaceae,Mediterranean and Western Asia,2,alien,Weed and ruderal plant,Jun.-Jul.,Root,weak toxic,,,,,Rubia tinctorum,Rubia tinctorum,765369-1,765369-1,Species,TPPT
478,P479,Echium vulgare L.,Gemeiner Natterkopf,Blueweed,Echium,Boraginaceae,Mediterranean and Western Asia,56,domestic,Xerophyte,May-Oct.,Whole plant,toxic,toxic,,,,Echium vulgare,Echium vulgare,115950-1,115950-1,Species,TPPT
479,P480,Symphytum officinale L.,Echte Wallwurz,Common comfrey,Symphytum,Boraginaceae,Europe and Asia,44,domestic,Shore- and marsh plant,May-Aug.,Whole plant,weak toxic,weak toxic,,,,Symphytum officinale,Symphytum officinale,120815-1,120815-1,Species,TPPT
480,P481,Symphytum asperum Lepech.,RaueWallwurz,Prickly comfrey,Symphytum,Boraginaceae,Asia,occasionally introduced ,alien,Weed and ruderal plant,May-Aug.,Whole plant,weak toxic,weak toxic,,,,Symphytum asperum,Symphytum asperum,120743-1,120743-1,Species,TPPT
481,P482,Symphytum bulbosum K. F. Schimp.,Knollige Wallwurz,Bulbous comfey,Symphytum,Boraginaceae,Southern Europe,1.5,domestic,Forest plant,Apr.,Whole plant,weak toxic,weak toxic,,,,Symphytum bulbosum,Symphytum bulbosum,120754-1,120754-1,Species,TPPT
482,P483,Symphytum tuberosum L.,Knotige Wallwurz,Tuberous comfrey,Symphytum,Boraginaceae,Southern Europe,1.5,domestic,Forest plant,Apr.-May,Whole plant,weak toxic,weak toxic,,,,Symphytum tuberosum,Symphytum tuberosum,120840-1,120840-1,Species,TPPT
483,P484,Anchusa officinalis L.,Echte Ochsenzunge,Common buglloss,Anchusa,Boraginaceae,Europe,11,domestic,Weed and ruderal plant,May-Sep.,"Flower, leaf, herb",toxic,,,,,Anchusa officinalis,Anchusa officinalis,113312-1,113312-1,Species,TPPT
484,P485,Anchusa arvensis (L.) Bieb.,Ackerkrummhals,,Anchusa,Boraginaceae,Asia,14,domestic,Weed and ruderal plant,Jun.-Sep.,"Flower, leaf, herb",toxic,,,,,Anchusa arvensis,Anchusa arvensis,113196-1,113196-1,Species,TPPT
485,P486,Heliotropium europaeum L.,Europaeische Sonnenwende,European heliotrope,Heliotropium,Boraginaceae,Mediterranean and Western Asia,4,domestic,Weed and ruderal plant,Jul.-Sep.,Whole plant,toxic,strong toxic,,,,Heliotropium europaeum,Heliotropium europaeum,116833-1,116833-1,Species,TPPT
486,P487,Heliotropium arborescens L.,Vanilleblume,Garden heliotrope,Heliotropium,Boraginaceae,South America,0,alien,Ornamental garden plant,May-Sep.,Whole plant,toxic,strong toxic,,yes,,Heliotropium arborescens,Heliotropium arborescens,116670-1,116670-1,Species,TPPT
487,P488,Borago officinalis L.,Borretsch,Borage,Borago,Boraginaceae,Mediterranean,rarely introduced,alien,Weed and ruderal plant,May-Aug.,Aerial part (or whole plant),weak toxic,,,yes,,Borago officinalis,Borago officinalis,113618-1,113618-1,Species,TPPT
488,P489,Cynoglossum officinale L.,Echte Hundszunge,Hound's tongue,Cynoglossum,Boraginaceae,Europe and Asia,21,domestic,Weed and ruderal plant,May-Jul.,Whole plant,strong toxic,strong toxic,,,,Cynoglossum officinale,Cynoglossum officinale,115233-1,115233-1,Species,TPPT
489,P490,Cynoglossum germanicum Jacq.,Deutsche Hundszunge,,Cynoglossum,Boraginaceae,Europe,4,domestic,Forest plant,Jun.-Jul.,Whole plant,strong toxic,strong toxic,,,,Cynoglossum germanicum,Cynoglossum germanicum,115128-1,115128-1,Species,TPPT
490,P491,Lithospermum officinale L. ,Echter Steinsame,,Lithospermum,Boraginaceae,Europe and Asia,28,domestic,Forest plant,May-Jul.,Whole plant,toxic (unknown strength),,,,,Lithospermum officinale,Lithospermum officinale,118163-1,118163-1,Species,TPPT
491,P492,Myosotis sylvatica Hoffm.,Wald-Vergissmeinnicht,,Myosotis,Boraginaceae,Europe,40,domestic,Forest plant,May-Jul.,Aerial part (or whole plant),toxic (unknown strength),,,,,Myosotis sylvatica,Myosotis sylvatica,119282-1,119282-1,Species,TPPT
492,P493,Myosotis scorpioides L.,Sumpf-Vergissmeinnicht,,Myosotis,Boraginaceae,Europe and Siberia,55,domestic,Shore- and marsh plant,May-Jul.,Aerial part (or whole plant),toxic (unknown strength),,,,,Myosotis scorpioides,Myosotis scorpioides,119235-1,119235-1,Species,TPPT
493,P494,Myosotis stricta Roem. & Schult.,Sand-Vergissmeinnicht,,Myosotis,Boraginaceae,Europe and Asia,8,domestic,Xerophyte,Mar.-May,Aerial part (or whole plant),toxic (unknown strength),,,,,Myosotis stricta,Myosotis stricta,119269-1,119269-1,Species,TPPT
494,P495,Myosotis ramosissima Rochel,Huegel-Vergissmeinnicht,,Myosotis,Boraginaceae,Europe and Western Asia,17,domestic,Weed and ruderal plant,Apr.-Jun.,Aerial part (or whole plant),toxic (unknown strength),,,,,Myosotis ramosissima,Myosotis ramosissima,119209-1,119209-1,Species,TPPT
495,P496,Myosotis rehsteineri Wartm.,Bodensee-Vergissmeinnicht,,Myosotis,Boraginaceae,Alps,1.5,domestic,Shore- and marsh plant,Apr.-May,Aerial part (or whole plant),toxic (unknown strength),,,,,Myosotis rehsteineri,Myosotis rehsteineri,119212-1,119212-1,Species,TPPT
496,P497,Myosotis nemorosa Besser,Hain-Vergissmeinnicht,,Myosotis,Boraginaceae,Central and Eastern Europe,37,domestic,Shore- and marsh plant,May-Jul.,Aerial part (or whole plant),toxic (unknown strength),,,,,Myosotis nemorosa,Myosotis nemorosa,119148-1,119148-1,Species,TPPT
497,P498,Myosotis discolor Pers.,Buntes Vergissmeinnicht,,Myosotis,Boraginaceae,Europe,3,domestic,Weed and ruderal plant,Apr.-Jun.,Aerial part (or whole plant),toxic (unknown strength),,,,,Myosotis discolor,Myosotis discolor,118996-1,118996-1,Species,TPPT
498,P499,Myosotis decumbens Host,Niederliegendes Vergissmeinnicht,,Myosotis,Boraginaceae,Europe,10,domestic,Mountain plant,Jun.-Aug.,Aerial part (or whole plant),toxic (unknown strength),,,,,Myosotis decumbens,Myosotis decumbens,118988-1,118988-1,Species,TPPT
499,P500,Myosotis cespitosa Schultz,Rasiges Vergissmeinnicht,,Myosotis,Boraginaceae,Europe and Siberia,11,domestic,Shore- and marsh plant,May-Jul.,Aerial part (or whole plant),toxic (unknown strength),,,,,Myosotis,,,30010296-2,Genus,TPPT
500,P501,Myosotis arvensis Hill,Acker-Vergissmeinnicht,,Myosotis,Boraginaceae,Europe,62,domestic,Weed and ruderal plant,Apr.-Oct.,Aerial part (or whole plant),toxic (unknown strength),,,,,Myosotis arvensis,Myosotis arvensis,118914-1,118914-1,Species,TPPT
501,P502,Myosotis alpestris F. W. Schmidt,Alpen-Vergissmeinnicht,,Myosotis,Boraginaceae,Southern and Central Europe,61,domestic,Mountain plant,Jun.-Jul.,Aerial part (or whole plant),toxic (unknown strength),,,,,Myosotis alpestris,Myosotis alpestris,118892-1,118892-1,Species,TPPT
502,P503,Nicandra physalodes (L.) Gaertn.,Giftbeere,Apple of Peru,Nicandra,Solanaceae,South America,4,alien,Ornamental garden plant,Jul.-Oct.,"Whole plant, highest concentrations in root",toxic,toxic,,yes,,Nicandra physalodes,Nicandra physalodes,816832-1,816832-1,Species,TPPT
503,P504,Lycium barbarum L.,Bocksdorn,Goji,Lycium,Solanaceae,Mediterranean,0,alien,Ornamental garden plant,Jun.-Aug.,Whole plant,weak toxic,,,yes,,Lycium barbarum,Lycium barbarum,816356-1,816356-1,Species,TPPT
504,P505,Atropa bella-donna L.,Tollkirsche,Deadly night shade,Atropa,Solanaceae,Europe and Asia,39,domestic,Forest plant,Jun.-Aug.,Whole plant,very strong toxic,very strong toxic,,,,Atropa bella-donna,Atropa bella-donna,814358-1,814358-1,Species,TPPT
505,P506,Scopolia carniolica Jacq.,Krainer Tollkraut,Henbane bell,Scopolia,Solanaceae,Southern and Central Europe,0,domestic,Forest plant,Apr.-Jun.,"Whole plant, highest concentrations in root",very strong toxic,very strong toxic,,,,Scopolia carniolica,Scopolia carniolica,817996-1,817996-1,Species,TPPT
506,P507,Hyoscyamus niger L.,Schwarzes Bilsenkraut,Belene,Hyoscyamus,Solanaceae,Europe and Asia,8,domestic,Weed and ruderal plant,Jun.-Sep.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,,Hyoscyamus niger,Hyoscyamus niger,815932-1,815932-1,Species,TPPT
507,P508,Physalis alkekengi L.,Gewoehnliche Blasenkirsche,Bladder cherry,Physalis,Solanaceae,Europe and Asia,14,alien,Weed and ruderal plant,May-Aug.,"Fuit, root (or whole plant without)",toxic,,,yes,,Alkekengi officinarum,Alkekengi officinarum,814247-1,814247-1,Species,TPPT
508,P509,Solanum nigrum L.,Schwarzer Nachtschatten,Black nightshade,Solanum,Solanaceae,Europe and Asia,44,domestic,Weed and ruderal plant,Jun.-Oct.,Whole plant,strong toxic,strong toxic,,,,Solanum nigrum,Solanum nigrum,30048260-2,30048260-2,Species,TPPT
509,P510,Solanum chenopodioides Lam.,Zierlicher Nachtschatten,Goosefoot nightshade,Solanum,Solanaceae,South America,2,alien,Weed and ruderal plant,Jun.-Sep.,Whole plant,strong toxic,strong toxic,,,,Solanum chenopodioides,Solanum chenopodioides,818670-1,818670-1,Species,TPPT
510,P511,Solanum villosum Mill. s.l.,Gelber Nachtschatten,Yellow nightshade,Solanum,Solanaceae,Europe and Asia,1.5,domestic,Weed and ruderal plant,Jul.-Oct.,Whole plant,strong toxic,strong toxic,,,,Solanum villosum,Solanum villosum,285344-2,285344-2,Species,TPPT
511,P512,Solanum dulcamara L.,Bittersuesser Nachtschatten,Bittersweet,Solanum,Solanaceae,Europe and Siberia,52,domestic,Forest plant,Jun.-Aug.,Whole plant,strong toxic,strong toxic,,,,Solanum dulcamara,Solanum dulcamara,285213-2,285213-2,Species,TPPT
512,P513,Solanum tuberosum L.,Kartoffel,Potato,Solanum,Solanaceae,South America,agriculture,domestic,Agricultural plant,Jun.-Aug.,Whole plant,strong toxic,strong toxic,,,yes,Solanum tuberosum,Solanum tuberosum,821337-1,821337-1,Species,TPPT
513,P514,Solanum melongena L.,Aubergine,Eggplant,Solanum,Solanaceae,Asia,agriculture,alien,Agricultural plant,Jun.-Aug.,Whole plant,strong toxic,strong toxic,,,yes,Solanum melongena,Solanum melongena,820053-1,820053-1,Species,TPPT
514,P515,Solanum carolinense L.,Karolina-Nachtschatten,Carolina horsenettle,Solanum,Solanaceae,North America,rarely introduced,alien,Ornamental garden plant,,Whole plant,strong toxic,,yes,yes,,Solanum carolinense,Solanum carolinense,285195-2,285195-2,Species,TPPT
515,P516,Lycopersicon esculentum Mill.,Tomate,Tomato,Lycopersicon,Solanaceae,South America,agriculture,domestic,Agricultural plant,Jul.-Oct.,Whole plant,toxic,toxic,yes,,yes,Solanum lycopersicum,Solanum lycopersicum,316947-2,316947-2,Species,TPPT
516,P517,Datura stramonium L.,Stechapfel,Jimson weed,Datura,Solanaceae,Central America,16,alien,Weed and ruderal plant,Jun.-Oct.,"Whole plant, highest concentrations in root, seed",very strong toxic,very strong toxic,,,,Datura stramonium,Datura stramonium,314738-2,314738-2,Species,TPPT
517,P518,Nicotiana tabacum L.,Virginischer Tabak,American tobacco,Nicotiana,Solanaceae,South America,agriculture,alien,Agricultural plant,Jul.-Oct.,Whole plant,very strong toxic,very strong toxic,,,yes,Nicotiana tabacum,Nicotiana tabacum,817077-1,817077-1,Species,TPPT
519,P520,Brugmansia suaveolens (Willd.) Humb. & Bonpl.,Engelstrompete,Angel's trumpet,Brugmansia,Solanaceae,South America,0,alien,Ornamental garden plant,Aug.-Oct.,Aerial part,very strong toxic,very strong toxic,,yes,,Brugmansia suaveolens,Brugmansia suaveolens,77109576-1,77109576-1,Species,TPPT
520,P521,Brugmansia versicolor Lagerh.,Bunte Engelstrompete,Angel's tear,Brugmansia,Solanaceae,South America,0,alien,Ornamental garden plant,Jul.-Sep.,Aerial part,toxic (unknown strength),very strong toxic,,yes,,Brugmansia versicolor,Brugmansia versicolor,37444-2,37444-2,Species,TPPT
521,P522,Brunfelsia grandiflora D. Don,Brunfelisa,Royal purple brunfelisa,Brunfelisa,Solanaceae,South America,0,alien,Ornamental garden plant,,"Whole plant, highest concentrations in root",toxic,strong toxic,,yes,,Brunfelsia grandiflora,Brunfelsia grandiflora,37537-2,37537-2,Species,TPPT
522,P523,Brunfelsia latiflora (Pohl) Benth.,Brunfelisa,Brunfelisa,Brunfelisa,Solanaceae,South America,0,alien,Ornamental garden plant,,"Whole plant, highest concentrations in root",toxic,strong toxic,,yes,,Brunfelsia,,,328954-2,Genus,TPPT
523,P524,Brunfelsia pauciflora (Cham. & Schltdl.) Benth.,Grosskelchige Brunfelsie,Yesterday-today-and-tomorrow,Brunfelisa,Solanaceae,South America,0,alien,Ornamental garden plant,,"Whole plant, highest concentrations in root",toxic,strong toxic,,yes,,Brunfelsia pauciflora,Brunfelsia pauciflora,814676-1,814676-1,Species,TPPT
524,P525,Brunfelsia uniflora (Pohl) D. Don,Manac-Brunfelsie,Manaca,Brunfelsia,Solanaceae,South America,0,alien,Ornamental garden plant,,"Whole plant, highest concentrations in root",toxic,strong toxic,,yes,,Brunfelsia uniflora,Brunfelsia uniflora,814696-1,814696-1,Species,TPPT
525,P526,Mandragora officinarum L.,Alraune,Mandrake,Mandragora,Solanaceae,Mediterranean,0,alien,Ornamental garden plant,,Whole plant,strong toxic,,,yes,,Mandragora officinarum,Mandragora officinarum,816733-1,816733-1,Species,TPPT
526,P527,Calystegia sepium (L.) R.Br.,Echte Zaunwinde,Hedge-bindweed,Calystegia,Convolvulaceae,Europe and Asia,51,domestic,Weed and ruderal plant,Jun.-Sep.,Whole plant,weak toxic,,,,,Calystegia sepium,Calystegia sepium,30033025-2,30033025-2,Species,TPPT
527,P528,Ipomoea tricolor Cav.,Trichterwinde,Morning glory,Ipomoea,Convolvulaceae,Central America,0,alien,Ornamental garden plant,Jul.-Sep.,Whole plant,strong toxic,,,yes,,Ipomoea tricolor,Ipomoea tricolor,269966-1,269966-1,Species,TPPT
528,P529,Convolvulus arvensis L.,Acker-Winde,Field bindweed,Convolvulus,Convolvulaceae,South Europe and Western Asia,56,domestic,Weed and ruderal plant,Jun.-Sep.,Whole plant,weak toxic,,,,,Convolvulus arvensis,Convolvulus arvensis,265849-1,265849-1,Species,TPPT
529,P530,Duranta erecta L.,Taubenbeere,Golden dewdrop,Duranta,Verbenaceae,South America,0,alien,Ornamental garden plant,Jul.-Sep.,,toxic (unknown strength),strong toxic,,yes,,Duranta erecta,Duranta erecta,330606-2,330606-2,Species,TPPT
530,P531,Lantana camara L.,Wandelroeschen,Wild sage,Lantana,Verbenaceae,America,0,alien,Ornamental garden plant,Jun.-Sep.,Whole plant,toxic,toxic,,yes,,Lantana camara,Lantana camara,325686-2,325686-2,Species,TPPT
531,P532,Marrubium vulgare L.,Gemeiner Andorn,White hoarhound,Marrubium,Lamiaceae,Mediterranean,3,domestic,Weed and ruderal plant,Jun.-Sep.,Whole plant,weak toxic,,,,,Marrubium vulgare,Marrubium vulgare,449990-1,449990-1,Species,TPPT
532,P533,Glechoma hederacea L. s.str.,Gewoehnliche Gundelrebe,Ground ivy,Glechoma,Lamiaceae,Europe and Siberia,56,domestic,Meadow plant,Apr.-May,Whole plant,weak toxic,strong toxic,,,,Glechoma hederacea,Glechoma hederacea,447338-1,447338-1,Species,TPPT
533,P534,Mentha pulegium L.,Polei-Minze,Pennyroyal,Mentha,Lamiaceae,Mediterranean,1.5,domestic,Shore- and marsh plant,Jul.-Sep.,Aerial part,toxic,toxic,,,,Mentha pulegium,Mentha pulegium,451022-1,451022-1,Species,TPPT
534,P535,Mentha aquatica L.,Wasser-Minze,Water mint,Mentha,Lamiaceae,"Europe, Asia and Africa",47,domestic,Shore- and marsh plant,Jul.-Oct.,Aerial part,weak toxic,,,,,Mentha aquatica,Mentha aquatica,450192-1,450192-1,Species,TPPT
535,P536,Mentha arvensis L.,Acker-Minze,Corn mint,Mentha,Lamiaceae,"Europe, Siberia and North America",47,domestic,Weed and ruderal plant,Jul.-Sep.,Aerial part,weak toxic,,,,,Mentha arvensis,Mentha arvensis,30026217-2,30026217-2,Species,TPPT
536,P537,Mentha longifolia (L.) Huds.,Ross-Minze,Horse mint,Mentha,Lamiaceae,Europe and Asia,57,domestic,Shore- and marsh plant,Jul.-Sep.,Aerial part,weak toxic,,,,,Mentha longifolia,Mentha longifolia,450735-1,450735-1,Species,TPPT
537,P538,Mentha spicata L.,aehrige Minze,Spearmint,Mentha,Lamiaceae,Southern Europe,9,domestic,Weed and ruderal plant,Jul.-Sep.,Aerial part,weak toxic,,,,,Mentha spicata,Mentha spicata,451162-1,451162-1,Species,TPPT
538,P539,Mentha suaveolens Ehrh.,Rundblaettrige Minze,Apple mint,Mentha,Lamiaceae,Mediterranen,10,domestic,Shore- and marsh plant,Jul.-Sep.,Aerial part,weak toxic,,,,,Mentha suaveolens,Mentha suaveolens,451188-1,451188-1,Species,TPPT
539,P540,Salvia officinalis L.,Echter Salbei,Common sage,Salvia,Lamiaceae,Southern Europe,7,domestic,Ornamental garden plant,May-Jul.,Aerial part,weak toxic,weak toxic,,yes,,Salvia officinalis,Salvia officinalis,456833-1,456833-1,Species,TPPT
540,P541,Salvia sclarea L.,Muskateller-Salbei,Clary sage,Salvia,Lamiaceae,Mediterranean,1.5,domestic,Weed and ruderal plant,Jun.-Jul.,Aerial part,weak toxic,weak toxic,,,,Salvia sclarea,Salvia sclarea,457210-1,457210-1,Species,TPPT
541,P542,Salvia glutinosa L.,Klebrige Salbei,Glutinous sage,Salvia,Lamiaceae,Europe and Asia,48,domestic,Forest plant,Jul.-Sep.,Aerial part,weak toxic,weak toxic,,,,Salvia glutinosa,Salvia glutinosa,456289-1,456289-1,Species,TPPT
542,P543,Salvia pratensis L.,Wiesen-Salbei,Meadow sage,Salvia,Lamiaceae,Mediterranean,59,domestic,Xerophyte,May-Aug.,Aerial part,weak toxic,weak toxic,,,,Salvia pratensis,Salvia pratensis,457007-1,457007-1,Species,TPPT
543,P544,Salvia sylvestris L.,Hain-Salbei,Woodland sage,Salvia,Lamiaceae,Eastern Europe and Western Asia,1.5,alien,Weed and ruderal plant,Jun.-Jul.,Aerial part,weak toxic,weak toxic,,,,Salvia × sylvestris,Salvia × sylvestris,457344-1,457344-1,Species,TPPT
544,P545,Salvia verbenaca L.,Eisenkraut-Salbei,Wild sage,Salvia,Lamiaceae,Mediterranean,0.7,domestic,Xerophyte,May-Aug.,Aerial part,weak toxic,weak toxic,,,,Salvia verbenaca,Salvia verbenaca,457495-1,457495-1,Species,TPPT
545,P546,Salvia verticillata L.,Quirlige Salbei,Lilac sage,Salvia,Lamiaceae,Eastern Europe,13,alien,Weed and ruderal plant,Jun.-Sep.,Aerial part,weak toxic,weak toxic,,,,Salvia verticillata,Salvia verticillata,457502-1,457502-1,Species,TPPT
546,P547,Salvia triloba L.,Dreilappiger Salbei,Greek sage,Salvia,Lamiaceae,Southern Europe,0,alien,Ornamental garden plant,Jun.-Jul.,Aerial part,weak toxic,weak toxic,,yes,,Salvia fruticosa,Salvia fruticosa,456249-1,456249-1,Species,TPPT
547,P548,Ocimum basilicum L.,Basilikum,Basil,Ocimum,Lamiaceae,Southern Asia,0,domestic,Ornamental garden plant,Jun.-Sep.,Aerial part,weak toxic,,,yes,,Ocimum basilicum,Ocimum basilicum,452874-1,452874-1,Species,TPPT
548,P549,Hyssopus officinalis L.,Echter Ysop,Hyssop,Hyssopus,Lamiaceae,Mediterranean and Western Asia,3,domestic,Xerophyte,Jul.-Sep.,Aerial part,weak toxic,,,,,Hyssopus officinalis,Hyssopus officinalis,127231-2,127231-2,Species,TPPT
549,P550,Satureja montana L.,Winter-Bohnenkraut,Winter savory,Satureja,Lamiaceae,Mediterranean,occasionally introduced,domestic,Xerophyte,Aug.-Oct.,Aerial part,weak toxic,,,,,Satureja montana,Satureja montana,457736-1,457736-1,Species,TPPT
550,P551,Rosmarinus officinalis L.,Rosmarin,Rosemary,Rosmarinus,Lamiaceae,Mediterranean,0,alien,Ornamental garden plant,Mar.-Oct.,Aerial part (or whole plant),weak toxic,,,,,Salvia rosmarinus,Salvia rosmarinus,457138-1,457138-1,Species,TPPT
551,P552,Thymus vulgaris L.,Gartenthymian,Garden thyme,Thymus,Lamiaceae,Mediterranean,0,domestic,Ornamental garden plant,May-Oct.,Aerial part,weak toxic,,,,,Thymus vulgaris,Thymus vulgaris,461765-1,461765-1,Species,TPPT
552,P553,Lavandula angustifolia Mill.,Echter Lavendel,True lavender,Lavandula,Lamiaceae,Mediterranean,occasionally introduced,domestic,Ornamental garden plant,Jul.-Aug.,Aerial part,weak toxic,,,yes,,Lavandula angustifolia,Lavandula angustifolia,449008-1,449008-1,Species,TPPT
553,P554,Melittis melissophyllum L.,Immenblatt,Bastard balm,Melittis,Lamiaceae,Europe,22,domestic,Forest plant,May-Jun.,Aerial part,weak toxic,,,,,Melittis melissophyllum,Melittis melissophyllum,450128-1,450128-1,Species,TPPT
