,Latin name provided,latinNameNoAuthor,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
10137,Duchesnea indica,Duchesnea indica,LITTOX,Potentilla indica,Potentilla indica,728289-1,728289-1,Species
10138,Duckera,Duckera,LITTOX,Rhus,,,30005665-2,Genus
10139,Dugaldia,Dugaldia,LITTOX,Hymenoxys,,,330066-2,Genus
10140,Dugaldia hoopesii,Dugaldia hoopesii,LITTOX,,,,,
10141,Duguetia,Duguetia,LITTOX,Duguetia,,,331577-2,Genus
10142,Duguetia asterotricha,Duguetia asterotricha,LITTOX,Duguetia asterotricha,Duguetia asterotricha,85684-2,85684-2,Species
10143,Duguetia panamensis,Duguetia panamensis,LITTOX,Duguetia panamensis,Duguetia panamensis,72892-1,72892-1,Species
10144,Duguettia,Duguettia,LITTOX,Duguetia,,,331577-2,Genus
10145,Dumoria,Dumoria,LITTOX,Tieghemella,,,36899-1,Genus
10146,Dumoria heckelii,Dumoria heckelii,LITTOX,Tieghemella heckelii,Tieghemella heckelii,789943-1,789943-1,Species
10147,Dunalia,Dunalia,LITTOX,Dunalia,,,331578-2,Genus
10148,Dunalia tubulosa,Dunalia tubulosa,LITTOX,Iochroma cyaneum,Iochroma cyaneum,815974-1,815974-1,Species
10149,Duranta,Duranta,LITTOX,Duranta,,,330601-2,Genus
10150,Duranta erecta,Duranta erecta,LITTOX,Duranta erecta,Duranta erecta,330606-2,330606-2,Species
10151,Duranta lineata,Duranta lineata,LITTOX,Duranta lineata,Duranta lineata,86074-2,86074-2,Species
10152,Duranta plumeiri,Duranta plumeiri,LITTOX,,,,,
10153,Duranta plumferi,Duranta plumferi,LITTOX,,,,,
10154,Duranta plumieri,Duranta plumieri,LITTOX,Duranta erecta,Duranta erecta,330606-2,330606-2,Species
10155,Duranta repens,Duranta repens,LITTOX,Duranta erecta,Duranta erecta,330606-2,330606-2,Species
10156,Duranta repens auct.,Duranta repens auct.,LITTOX,Duranta erecta,Duranta erecta,330606-2,330606-2,Species
10157,Durantia,Durantia,LITTOX,,,,,
10158,Duriala villosa,Duriala villosa,LITTOX,Maireana villosa,Maireana villosa,166140-1,166140-1,Species
10159,Durio,Durio,LITTOX,Durio,,,25864-1,Genus
10160,Durio zibethinus,Durio zibethinus,LITTOX,Durio zibethinus,Durio zibethinus,559531-1,559531-1,Species
10161,Duroia hirsuta,Duroia hirsuta,LITTOX,Duroia hirsuta,Duroia hirsuta,86135-2,86135-2,Species
10162,Durvillaea potatorum,Durvillaea potatorum,LITTOX,,,,,
10163,Durvillaeceae,Durvillaeceae,LITTOX,,,,,
10164,Durvillea potatorum,Durvillea potatorum,LITTOX,,,,,
10165,Dyera costulata,Dyera costulata,LITTOX,Dyera costulata,Dyera costulata,78323-1,78323-1,Species
10166,Dynophysis,Dynophysis,LITTOX,,,,,
10167,Dypsis decaryi,Dypsis decaryi,LITTOX,Dypsis decaryi,Dypsis decaryi,985350-1,985350-1,Species
10168,Dypsis lutescens,Dypsis lutescens,LITTOX,Dypsis lutescens,Dypsis lutescens,985360-1,985360-1,Species
10169,Dysodia,Dysodia,LITTOX,,,,,
10170,Dysosma,Dysosma,LITTOX,Podophyllum,,,327186-2,Genus
10171,Dysosma pleiantha,Dysosma pleiantha,LITTOX,Podophyllum pleianthum,Podophyllum pleianthum,107600-1,107600-1,Species
10172,Dysosma pleianthum,Dysosma pleianthum,LITTOX,Podophyllum pleianthum,Podophyllum pleianthum,107600-1,107600-1,Species
10173,Dysosma versipellis,Dysosma versipellis,LITTOX,Podophyllum versipelle,Podophyllum versipelle,107606-1,107606-1,Species
10174,Dysoxylon muelleri,Dysoxylon muelleri,LITTOX,Dysoxylum mollissimum subsp. molle,Dysoxylum mollissimum,578234-1,977532-1,Subspecies
10175,Dysoxylum,Dysoxylum,LITTOX,Dysoxylum,,,26722-1,Genus
10176,Dysoxylum acutangulum,Dysoxylum acutangulum,LITTOX,Dysoxylum acutangulum,Dysoxylum acutangulum,578040-1,578040-1,Species
10177,Dysoxylum alliaceum,Dysoxylum alliaceum,LITTOX,Dysoxylum alliaceum,Dysoxylum alliaceum,578046-1,578046-1,Species
10178,Dysoxylum decandrum,Dysoxylum decandrum,LITTOX,Dysoxylum gaudichaudianum,Dysoxylum gaudichaudianum,578141-1,578141-1,Species
10179,Dysoxylum fraseranum,Dysoxylum fraseranum,LITTOX,,,,,
10180,Dysoxylum gaudichaudianum,Dysoxylum gaudichaudianum,LITTOX,Dysoxylum gaudichaudianum,Dysoxylum gaudichaudianum,578141-1,578141-1,Species
10181,Dysoxylum malabaricum,Dysoxylum malabaricum,LITTOX,Dysoxylum malabaricum,Dysoxylum malabaricum,578224-1,578224-1,Species
10182,Dysoxylum mollissimum subsp. molle,Dysoxylum mollissimum subsp. molle,LITTOX,Dysoxylum mollissimum subsp. molle,Dysoxylum mollissimum,578234-1,977532-1,Subspecies
10183,Dysoxylum muelleri,Dysoxylum muelleri,LITTOX,Dysoxylum mollissimum subsp. molle,Dysoxylum mollissimum,578234-1,977532-1,Subspecies
10184,Dysoxylum rufum,Dysoxylum rufum,LITTOX,Dysoxylum rufum,Dysoxylum rufum,578303-1,578303-1,Species
10185,Dysoxylum spectabile,Dysoxylum spectabile,LITTOX,Dysoxylum spectabile,Dysoxylum spectabile,578324-1,578324-1,Species
10186,Dysphania,Dysphania,LITTOX,Dysphania,,,327071-2,Genus
10187,Dysphania carinata,Dysphania carinata,LITTOX,Dysphania carinata,Dysphania carinata,1132072-2,1132072-2,Species
10188,Dysphania cristata,Dysphania cristata,LITTOX,Dysphania cristata,Dysphania cristata,70029923-1,70029923-1,Species
10189,Dysphania glomulifera,Dysphania glomulifera,LITTOX,Dysphania glomulifera,Dysphania glomulifera,912413-1,912413-1,Species
10190,Dysphania littoralis,Dysphania littoralis,LITTOX,Dysphania littoralis,Dysphania littoralis,434741-1,434741-1,Species
10191,Dysphania myriocephala,Dysphania myriocephala,LITTOX,Dysphania glomulifera subsp. glomulifera,Dysphania glomulifera,912413-1,132642-3,Subspecies
10192,Dysphania rhadinostachya,Dysphania rhadinostachya,LITTOX,Dysphania rhadinostachya,Dysphania rhadinostachya,165536-1,165536-1,Species
10193,Dysphaniaceae,Dysphaniaceae,LITTOX,Dysphania,,,327071-2,Genus
10194,Dyssodia,Dyssodia,LITTOX,Dyssodia,,,30001584-2,Genus
10195,Dystocia,Dystocia,LITTOX,,,,,
10196,Ebenaceae,Ebenaceae,LITTOX,,,,,
10197,Ebenales,Ebenales,LITTOX,,,,,
10198,Ecbalium elaterium,Ecbalium elaterium,LITTOX,Ecballium elaterium,Ecballium elaterium,292573-1,292573-1,Species
10199,Ecballium,Ecballium,LITTOX,Ecballium,,,331580-2,Genus
10200,Ecballium elaterium,Ecballium elaterium,LITTOX,Ecballium elaterium,Ecballium elaterium,292573-1,292573-1,Species
10201,Eccilia,Eccilia,LITTOX,,,,,
10202,Echeveria,Echeveria,LITTOX,Echeveria,,,30004414-2,Genus
10203,Echeverria,Echeverria,LITTOX,Echeveria,,,30004414-2,Genus
10204,Echinacea,Echinacea,LITTOX,Echinacea,,,30035795-2,Genus
10205,Echinacea angustifolia,Echinacea angustifolia,LITTOX,Echinacea angustifolia,Echinacea angustifolia,87143-2,87143-2,Species
10206,Echinacea angustifolians,Echinacea angustifolians,LITTOX,Echinacea angustifolia,Echinacea angustifolia,87143-2,87143-2,Species
10207,Echinacea augustfolio,Echinacea augustfolio,LITTOX,,,,,
10208,Echinacea chinacea purpurea,Echinacea chinacea purpurea,LITTOX,,,,,
10209,Echinacea pallida,Echinacea pallida,LITTOX,Echinacea pallida,Echinacea pallida,202374-1,202374-1,Species
10210,Echinacea purpurea,Echinacea purpurea,LITTOX,Echinacea purpurea,Echinacea purpurea,1174497-2,1174497-2,Species
10211,Echinocactus,Echinocactus,LITTOX,Echinocactus,,,30000246-2,Genus
10212,Echinocactus horizonthalonius,Echinocactus horizonthalonius,LITTOX,Echinocactus horizonthalonius,Echinocactus horizonthalonius,131879-1,131879-1,Species
10213,Echinocactus lewinii,Echinocactus lewinii,LITTOX,,,,,
10214,Echinocactus williamsii,Echinocactus williamsii,LITTOX,,,,,
10215,Echinocactus williamsii anhaloninica,Echinocactus williamsii anhaloninica,LITTOX,Lophophora williamsii,Lophophora williamsii,143606-2,143606-2,Species
10216,Echinocactus williamsii pellotinica,Echinocactus williamsii pellotinica,LITTOX,Lophophora williamsii,Lophophora williamsii,143606-2,143606-2,Species
10217,Echinocarpus sigun,Echinocarpus sigun,LITTOX,Sloanea sigun,Sloanea sigun,324578-1,324578-1,Species
10218,Echinocereus,Echinocereus,LITTOX,Echinocereus,,,30000027-2,Genus
10219,Echinocereus engelmannii,Echinocereus engelmannii,LITTOX,Echinocereus engelmannii,Echinocereus engelmannii,132348-1,132348-1,Species
10220,Echinocereus merkeri,Echinocereus merkeri,LITTOX,,,,,
10221,Echinocereus triglochidiatus,Echinocereus triglochidiatus,LITTOX,Echinocereus triglochidiatus,Echinocereus triglochidiatus,30030656-2,30030656-2,Species
10222,Echinochloa,Echinochloa,LITTOX,Echinochloa,,,17976-1,Genus
10223,Echinochloa colona,Echinochloa colona,LITTOX,Echinochloa colonum,Echinochloa colonum,399655-1,399655-1,Species
10224,Echinochloa colona var.frumentacea,Echinochloa colona var.frumentacea,LITTOX,,,,,
10225,Echinochloa colonum,Echinochloa colonum,LITTOX,Echinochloa colonum,Echinochloa colonum,399655-1,399655-1,Species
10226,Echinochloa crees-galli,Echinochloa crees-galli,LITTOX,,,,,
10227,Echinochloa crusgalli,Echinochloa crusgalli,LITTOX,Echinochloa crus-galli,Echinochloa crus-galli,399660-1,399660-1,Species
10228,Echinochloa crus-galli,Echinochloa crus-galli,LITTOX,Echinochloa crus-galli,Echinochloa crus-galli,399660-1,399660-1,Species
10229,Echinochloa crusgalli var. frumentacea,Echinochloa crusgalli var. frumentacea,LITTOX,Echinochloa frumentacea,Echinochloa frumentacea,30158481-2,30158481-2,Species
10230,Echinochloa crus-galli var. frumentacea,Echinochloa crus-galli var. frumentacea,LITTOX,Echinochloa frumentacea,Echinochloa frumentacea,30158481-2,30158481-2,Species
10231,Echinochloa crus-gallii,Echinochloa crus-gallii,LITTOX,Echinochloa crus-galli,Echinochloa crus-galli,399660-1,399660-1,Species
10232,Echinochloa esculenta,Echinochloa esculenta,LITTOX,Echinochloa crus-galli subsp. utilis,Echinochloa crus-galli,399660-1,954136-1,Subspecies
10233,Echinochloa frumentacea,Echinochloa frumentacea,LITTOX,Echinochloa frumentacea,Echinochloa frumentacea,30158481-2,30158481-2,Species
10234,Echinochloa utilis,Echinochloa utilis,LITTOX,Echinochloa crus-galli subsp. utilis,Echinochloa crus-galli,399660-1,954136-1,Subspecies
10235,Echinocystis,Echinocystis,LITTOX,Echinocystis,,,331581-2,Genus
10236,Echinocystis fabacea,Echinocystis fabacea,LITTOX,Marah fabacea,Marah fabacea,152827-2,152827-2,Species
10237,Echinocystis lobata,Echinocystis lobata,LITTOX,Echinocystis lobata,Echinocystis lobata,292597-1,292597-1,Species
10238,Echinocystis oregana,Echinocystis oregana,LITTOX,Marah oregana,Marah oregana,152840-2,152840-2,Species
10239,Echinocystis wrightii,Echinocystis wrightii,LITTOX,Echinopepon wrightii,Echinopepon wrightii,88308-2,88308-2,Species
10240,Echinodorus grandiflorus,Echinodorus grandiflorus,LITTOX,Aquarius grandiflorus,Aquarius grandiflorus,77182824-1,77182824-1,Species
10241,Echinodorus macrophyllus,,LITTOX,Aquarius macrophyllus,Aquarius macrophyllus,77183178-1,77183178-1,Species
10242,Echinolaena inflexa,Echinolaena inflexa,LITTOX,Echinolaena inflexa,Echinolaena inflexa,88264-2,88264-2,Species
10243,Echinomastus intertextus,Echinomastus intertextus,LITTOX,Sclerocactus intertextus,Sclerocactus intertextus,944042-1,944042-1,Species
10244,Echinopanax horridum,Echinopanax horridum,LITTOX,,,,,
10245,Echinophora sibthorpiana,Echinophora sibthorpiana,LITTOX,Echinophora sibthorpiana,Echinophora sibthorpiana,841513-1,841513-1,Species
10246,Echinophora spinosa,Echinophora spinosa,LITTOX,Echinophora spinosa,Echinophora spinosa,841514-1,841514-1,Species
10247,Echinophoreae,Echinophoreae,LITTOX,,,,,
10248,Echinopogon,Echinopogon,LITTOX,Echinopogon,,,17979-1,Genus
10249,Echinopogon caespitosus,Echinopogon caespitosus,LITTOX,Echinopogon caespitosus,Echinopogon caespitosus,399775-1,399775-1,Species
10250,Echinopogon cheelii,Echinopogon cheelii,LITTOX,Echinopogon cheelii,Echinopogon cheelii,399776-1,399776-1,Species
10251,Echinopogon futans var. major,Echinopogon futans var. major,LITTOX,,,,,
10252,Echinopogon intermedius,Echinopogon intermedius,LITTOX,Echinopogon intermedius,Echinopogon intermedius,399778-1,399778-1,Species
10253,Echinopogon mckiei,Echinopogon mckiei,LITTOX,Echinopogon mckiei,Echinopogon mckiei,399779-1,399779-1,Species
10254,Echinopogon nutans var. major,Echinopogon nutans var. major,LITTOX,Echinopogon nutans,Echinopogon nutans,399781-1,399781-1,Species
10255,Echinopogon ovatus,Echinopogon ovatus,LITTOX,Echinopogon ovatus,Echinopogon ovatus,399782-1,399782-1,Species
10256,Echinopogon phleoides,Echinopogon phleoides,LITTOX,Echinopogon phleoides,Echinopogon phleoides,399783-1,399783-1,Species
10257,Echinops,Echinops,LITTOX,Echinops,,,8731-1,Genus
10258,Echinops bannaticus,Echinops bannaticus,LITTOX,Echinops bannaticus,Echinops bannaticus,202414-1,202414-1,Species
10259,Echinops champtavicus,Echinops champtavicus,LITTOX,,,,,
10260,Echinops commutatus,Echinops commutatus,LITTOX,Echinops exaltatus,Echinops exaltatus,202484-1,202484-1,Species
10261,Echinops cornigerus,Echinops cornigerus,LITTOX,Echinops corniger,Echinops corniger,202451-1,202451-1,Species
10262,Echinops dahuricus,Echinops dahuricus,LITTOX,Echinops humilis,Echinops humilis,202532-1,202532-1,Species
10263,Echinops echinatus,Echinops echinatus,LITTOX,Echinops echinatus,Echinops echinatus,202469-1,202469-1,Species
10264,Echinops exaltatus,Echinops exaltatus,LITTOX,Echinops exaltatus,Echinops exaltatus,202484-1,202484-1,Species
10265,Echinops exaltus,Echinops exaltus,LITTOX,,,,,
10266,Echinops giganteum,Echinops giganteum,LITTOX,,,,,
10267,Echinops giganteus,Echinops giganteus,LITTOX,Echinops giganteus,Echinops giganteus,202503-1,202503-1,Species
10268,Echinops gmelini,Echinops gmelini,LITTOX,,,,,
10269,Echinops horridus,Echinops horridus,LITTOX,Echinops orientalis,Echinops orientalis,202613-1,202613-1,Species
10270,Echinops humilis,Echinops humilis,LITTOX,Echinops humilis,Echinops humilis,202532-1,202532-1,Species
10271,Echinops latifolius,Echinops latifolius,LITTOX,Echinops davuricus,Echinops davuricus,77113475-1,77113475-1,Species
10272,Echinops leipolyceras,Echinops leipolyceras,LITTOX,,,,,
10273,Echinops longifolius,Echinops longifolius,LITTOX,Echinops longifolius,Echinops longifolius,202570-1,202570-1,Species
10274,Echinops microcephalus,Echinops microcephalus,LITTOX,Echinops microcephalus,Echinops microcephalus,202585-1,202585-1,Species
10275,Echinops niveus,Echinops niveus,LITTOX,Echinops niveus,Echinops niveus,77181194-1,77181194-1,Species
10276,Echinops orientalis,Echinops orientalis,LITTOX,Echinops orientalis,Echinops orientalis,202613-1,202613-1,Species
10277,Echinops persicus,Echinops persicus,LITTOX,Echinops pungens,Echinops pungens,202645-1,202645-1,Species
10278,Echinops ritro,Echinops ritro,LITTOX,Echinops ritro,Echinops ritro,202652-1,202652-1,Species
10279,Echinops sphaerocephalus,Echinops sphaerocephalus,LITTOX,Echinops sphaerocephalus,Echinops sphaerocephalus,202677-1,202677-1,Species
10280,Echinops spinosissimus,Echinops spinosissimus,LITTOX,Echinops spinosissimus,Echinops spinosissimus,202681-1,202681-1,Species
10281,Echinops spinosus,Echinops spinosus,LITTOX,Echinops spinosissimus subsp. spinosissimus,Echinops spinosissimus,202681-1,77180191-1,Subspecies
10282,Echinops strigosus,Echinops strigosus,LITTOX,Echinops strigosus,Echinops strigosus,202691-1,202691-1,Species
10283,Echinops tschimganicus,Echinops tschimganicus,LITTOX,Echinops tschimganicus,Echinops tschimganicus,202716-1,202716-1,Species
10284,Echinops viscosus,Echinops viscosus,LITTOX,Echinops spinosissimus subsp. spinosissimus,Echinops spinosissimus,202681-1,77180191-1,Subspecies
10285,Echinopsilon hyssopifolium,Echinopsilon hyssopifolium,LITTOX,Bassia hyssopifolia,Bassia hyssopifolia,29802-2,29802-2,Species
10286,Echinopsis pachanoi,Echinopsis pachanoi,LITTOX,Trichocereus macrogonus var. pachanoi,Trichocereus macrogonus,257107-2,77125731-1,Variety
10287,Echinosophora koreenis,Echinosophora koreenis,LITTOX,,,,,
10288,Echirospermum balthazarii,Echirospermum balthazarii,LITTOX,,,,,
10289,Echites,Echites,LITTOX,Echites,,,30002973-2,Genus
10290,Echites coulteri,Echites coulteri,LITTOX,Mandevilla torosa,Mandevilla torosa,152083-2,152083-2,Species
10291,Echites laxa,Echites laxa,LITTOX,Mandevilla laxa,Mandevilla laxa,151995-2,151995-2,Species
10292,Echites umbellata,Echites umbellata,LITTOX,Echites umbellatus,Echites umbellatus,78821-1,78821-1,Species
10293,Echites venenosa,Echites venenosa,LITTOX,Mandevilla illustris,Mandevilla illustris,151981-2,151981-2,Species
10294,Echitoideae,Echitoideae,LITTOX,,,,,
10295,Echium,Echium,LITTOX,Echium,,,30062099-2,Genus
10296,Echium angustifolium,Echium angustifolium,LITTOX,Echium angustifolium,Echium angustifolium,115553-1,115553-1,Species
10297,Echium candicans,Echium candicans,LITTOX,Echium candicans,Echium candicans,115594-1,115594-1,Species
10298,Echium creticum,Echium creticum,LITTOX,Echium creticum,Echium creticum,115618-1,115618-1,Species
10299,Echium fastuosum,Echium fastuosum,LITTOX,Echium strictum subsp. strictum,Echium strictum,115906-1,77229227-1,Subspecies
10300,Echium heliotropium,Echium heliotropium,LITTOX,,,,,
10301,Echium italicum,Echium italicum,LITTOX,Echium italicum,Echium italicum,115713-1,115713-1,Species
10302,Echium lusitanicum,Echium lusitanicum,LITTOX,Echium lusitanicum,Echium lusitanicum,115752-1,115752-1,Species
10303,Echium lycopis,Echium lycopis,LITTOX,,,,,
10304,Echium lycopsis,Echium lycopsis,LITTOX,Echium plantagineum,Echium plantagineum,115835-1,115835-1,Species
10305,Echium menziesii,Echium menziesii,LITTOX,Amsinckia menziesii,Amsinckia menziesii,11839-2,11839-2,Species
10306,Echium pantagineum,Echium pantagineum,LITTOX,,,,,
10307,Echium plantagineum,Echium plantagineum,LITTOX,Echium plantagineum,Echium plantagineum,115835-1,115835-1,Species
10308,Echium pustulatum,Echium pustulatum,LITTOX,Echium tuberculatum,Echium tuberculatum,115929-1,115929-1,Species
10309,Echium vulgare,Echium vulgare,LITTOX,Echium vulgare,Echium vulgare,115950-1,115950-1,Species
10310,Echium wildpretii,Echium wildpretii,LITTOX,Echium wildpretii,Echium wildpretii,115955-1,115955-1,Species
10311,Eclipta,Eclipta,LITTOX,Eclipta,,,326241-2,Genus
10312,Eclipta alba,Eclipta alba,LITTOX,Eclipta prostrata,Eclipta prostrata,1186403-2,1186403-2,Species
10313,Eclipta platyglossa,Eclipta platyglossa,LITTOX,Eclipta platyglossa,Eclipta platyglossa,202770-1,202770-1,Species
10314,Eclipta prostrata,Eclipta prostrata,LITTOX,Eclipta prostrata,Eclipta prostrata,1186403-2,1186403-2,Species
10315,Edera trifolia canadensis,Edera trifolia canadensis,LITTOX,,,,,
10316,Edgeworthia,Edgeworthia,LITTOX,Edgeworthia,,,39236-1,Genus
10317,Edgeworthia gardneri,Edgeworthia gardneri,LITTOX,Edgeworthia gardneri,Edgeworthia gardneri,831626-1,831626-1,Species
10318,Eeleusine tristachya,Eeleusine tristachya,LITTOX,Eleusine tristachya,Eleusine tristachya,30127333-2,30127333-2,Species
10319,Eglates viscosa,Eglates viscosa,LITTOX,,,,,
10320,Egletes viscosa,Egletes viscosa,LITTOX,Egletes viscosa,Egletes viscosa,1037395-2,1037395-2,Species
10321,Ehrendorferia ochroleuca,Ehrendorferia ochroleuca,LITTOX,Ehrendorferia ochroleuca,Ehrendorferia ochroleuca,995844-1,995844-1,Species
10322,Ehretia,Ehretia,LITTOX,Ehretia,,,30012300-2,Genus
10323,Ehretiaceae,Ehretiaceae,LITTOX,Ehretia,,,30012300-2,Genus
10324,Eichhornia,Eichhornia,LITTOX,Pontederia,,,30000881-2,Genus
10325,Eichhornia crassipes,Eichhornia crassipes,LITTOX,Pontederia crassipes,Pontederia crassipes,310928-2,310928-2,Species
10326,Eichornia,Eichornia,LITTOX,Pontederia,,,30000881-2,Genus
10327,Einadia hastata,Einadia hastata,LITTOX,Chenopodium robertianum,Chenopodium robertianum,77175873-1,77175873-1,Species
10328,Einadia nutans,Einadia nutans,LITTOX,Chenopodium nutans,Chenopodium nutans,77117818-1,77117818-1,Species
10329,Einadia trigonos,Einadia trigonos,LITTOX,Chenopodium trigonon,Chenopodium trigonon,165275-1,165275-1,Species
10330,Elaeagnaceae,Elaeagnaceae,LITTOX,,,,,
10331,Elaeagnus,Elaeagnus,LITTOX,Elaeagnus,,,30001965-2,Genus
10332,Elaeagnus angustifolia,Elaeagnus angustifolia,LITTOX,Elaeagnus angustifolia,Elaeagnus angustifolia,323646-1,323646-1,Species
10333,Elaeagnus angustifolius,Elaeagnus angustifolius,LITTOX,Elaeagnus angustifolia,Elaeagnus angustifolia,323646-1,323646-1,Species
10334,Elaeagnus augustifolia,Elaeagnus augustifolia,LITTOX,,,,,
10335,Elaeagnus commutata,Elaeagnus commutata,LITTOX,Elaeagnus commutata,Elaeagnus commutata,315523-2,315523-2,Species
10336,Elaeagnus multiflora,Elaeagnus multiflora,LITTOX,Elaeagnus multiflora,Elaeagnus multiflora,323763-1,323763-1,Species
10337,Elaeagnus orientalis,Elaeagnus orientalis,LITTOX,Elaeagnus angustifolia,Elaeagnus angustifolia,323646-1,323646-1,Species
10338,Elaeagnus umbellata,Elaeagnus umbellata,LITTOX,Elaeagnus umbellata,Elaeagnus umbellata,927281-1,927281-1,Species
10339,Elaegnaceae,Elaegnaceae,LITTOX,,,,,
10340,Elaeis,Elaeis,LITTOX,Elaeis,,,31227-1,Genus
10341,Elaeis guineensis,Elaeis guineensis,LITTOX,Elaeis guineensis,Elaeis guineensis,666802-1,666802-1,Species
10342,Elaeocarpaceae,Elaeocarpaceae,LITTOX,,,,,
10343,Elaeocarpus,Elaeocarpus,LITTOX,Elaeocarpus,,,326026-2,Genus
10344,Elaeocarpus ganitrus,Elaeocarpus ganitrus,LITTOX,Elaeocarpus angustifolius,Elaeocarpus angustifolius,833771-1,833771-1,Species
10345,Elaeocarpus madepolatus,Elaeocarpus madepolatus,LITTOX,,,,,
10346,Elaeocarpus oblongus,Elaeocarpus oblongus,LITTOX,,,,,
10347,Elaeocarpus photiniaefolia,Elaeocarpus photiniaefolia,LITTOX,,,,,
10348,Elaeocarpus sericopetalus,Elaeocarpus sericopetalus,LITTOX,Elaeocarpus sericopetalus,Elaeocarpus sericopetalus,833951-1,833951-1,Species
10349,Elaeocarpus serratus,Elaeocarpus serratus,LITTOX,Elaeocarpus serratus,Elaeocarpus serratus,833955-1,833955-1,Species
10350,Elaeocarpus tuberculatus,Elaeocarpus tuberculatus,LITTOX,Elaeocarpus tuberculatus,Elaeocarpus tuberculatus,833987-1,833987-1,Species
10351,Elaeodendron,Elaeodendron,LITTOX,Elaeodendron,,,6553-1,Genus
10352,Elaeodendron buchananii,Elaeodendron buchananii,LITTOX,Elaeodendron buchananii,Elaeodendron buchananii,160652-1,160652-1,Species
10353,Elaeodendron croceum,Elaeodendron croceum,LITTOX,Elaeodendron croceum,Elaeodendron croceum,160659-1,160659-1,Species
10354,Elaeodendron glaucum,Elaeodendron glaucum,LITTOX,Elaeodendron glaucum,Elaeodendron glaucum,160672-1,160672-1,Species
10355,Elaeodendron keniense,Elaeodendron keniense,LITTOX,Elaeodendron buchananii,Elaeodendron buchananii,160652-1,160652-1,Species
10356,Elaeodendron stuhlmannii,Elaeodendron stuhlmannii,LITTOX,Elaeodendron schlechterianum,Elaeodendron schlechterianum,160729-1,160729-1,Species
10357,Elaeophorbia,Elaeophorbia,LITTOX,Euphorbia,,,327729-2,Genus
10358,Elaeophorbia drupifera,Elaeophorbia drupifera,LITTOX,Euphorbia drupifera,Euphorbia drupifera,346326-1,346326-1,Species
10359,Elaeophorbia grandiflora,Elaeophorbia grandiflora,LITTOX,,,,,
10360,Elaeophorbia grandifolia,Elaeophorbia grandifolia,LITTOX,Euphorbia grandifolia,Euphorbia grandifolia,346678-1,346678-1,Species
10361,Elaphomyces,Elaphomyces,LITTOX,,,,,
10362,Elaphomyces granulatus,Elaphomyces granulatus,LITTOX,,,,,
10363,Elasomyces,Elasomyces,LITTOX,,,,,
10364,Elateriospermum,Elateriospermum,LITTOX,Elateriospermum,,,15360-1,Genus
10365,Elateriospermum tapos,Elateriospermum tapos,LITTOX,Elateriospermum tapos,Elateriospermum tapos,345259-1,345259-1,Species
10366,Eleagnaceae,,LITTOX,,,,,
10367,Eleagnus,Eleagnus,LITTOX,,,,,
10368,Eleagnus angustifolia,,LITTOX,,,,,
10369,Eleocarpaceae,Eleocarpaceae,LITTOX,,,,,
10370,Eleocharis,Eleocharis,LITTOX,Eleocharis,,,30003459-2,Genus
10371,Eleocharis limosa,Eleocharis limosa,LITTOX,Eleocharis limosa,Eleocharis limosa,306908-1,306908-1,Species
10372,Eleocharis microcarpa,Eleocharis microcarpa,LITTOX,Eleocharis microcarpa,Eleocharis microcarpa,306948-1,306948-1,Species
10373,Elephantopus,Elephantopus,LITTOX,Elephantopus,,,30020030-2,Genus
10374,Elephantopus carolinianus,Elephantopus carolinianus,LITTOX,Elephantopus carolinianus,Elephantopus carolinianus,202920-1,202920-1,Species
10375,Elephantopus elatus,Elephantopus elatus,LITTOX,Elephantopus elatus,Elephantopus elatus,202929-1,202929-1,Species
10376,Elephantopus mollis,Elephantopus mollis,LITTOX,Elephantopus mollis,Elephantopus mollis,202942-1,202942-1,Species
10377,Elephantopus scaber,Elephantopus scaber,LITTOX,Elephantopus scaber,Elephantopus scaber,202958-1,202958-1,Species
10378,Elephantorrhiza,Elephantorrhiza,LITTOX,Elephantorrhiza,,,22352-1,Genus
10379,Elephantorrhiza burchellii,Elephantorrhiza burchellii,LITTOX,Elephantorrhiza elephantina,Elephantorrhiza elephantina,493740-1,493740-1,Species
10380,Elephantorrhiza elephantina,Elephantorrhiza elephantina,LITTOX,Elephantorrhiza elephantina,Elephantorrhiza elephantina,493740-1,493740-1,Species
10381,Elephantorrhiza suffruticosa,Elephantorrhiza suffruticosa,LITTOX,Elephantorrhiza suffruticosa,Elephantorrhiza suffruticosa,493749-1,493749-1,Species
10382,Elettaria,Elettaria,LITTOX,Elettaria,,,328390-2,Genus
10383,Elettaria cardamomum,Elettaria cardamomum,LITTOX,Elettaria cardamomum,Elettaria cardamomum,796556-1,796556-1,Species
10384,Elettaria cardamonum as 'cardamom',Elettaria cardamonum as 'cardamom',LITTOX,,,,,
10385,Eleusine,Eleusine,LITTOX,Eleusine,,,30007287-2,Genus
10386,Eleusine aegyptiaca,Eleusine aegyptiaca,LITTOX,Dactyloctenium aegyptium,Dactyloctenium aegyptium,397387-1,397387-1,Species
10387,Eleusine coracana,Eleusine coracana,LITTOX,Eleusine coracana,Eleusine coracana,399945-1,399945-1,Species
10388,Eleusine indica,Eleusine indica,LITTOX,Eleusine indica,Eleusine indica,74675-3,74675-3,Species
10389,Eleusine tristachya,Eleusine tristachya,LITTOX,Eleusine tristachya,Eleusine tristachya,30127333-2,30127333-2,Species
