,CPCS_Snippet,Common name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
562,Kalanchoe spp,Good luck leaf,Kalanchoe,,,30060186-2,Genus,CPCS
563,Kalanchoe spp,Kalanchoe,Kalanchoe,,,30060186-2,Genus,CPCS
564,Kalanchoe spp,Living plant,Kalanchoe,,,30060186-2,Genus,CPCS
565,Kalanchoe spp,Maternity plant,Kalanchoe,,,30060186-2,Genus,CPCS
566,Kalanchoe spp,Mexican love plant,Kalanchoe,,,30060186-2,Genus,CPCS
567,Kalanchoe spp,Miracle leaf,Kalanchoe,,,30060186-2,Genus,CPCS
568,Kalanchoe spp,Multiplication plant,Kalanchoe,,,30060186-2,Genus,CPCS
569,Kalanchoe spp,Plush plant,Kalanchoe,,,30060186-2,Genus,CPCS
570,Kalanchoe tomentosa,Panda plant,Kalanchoe tomentosa,Kalanchoe tomentosa,274502-1,274502-1,Species,CPCS
571,Kalanchoe tomentosa,Panda bear plant,Kalanchoe tomentosa,Kalanchoe tomentosa,274502-1,274502-1,Species,CPCS
572,Kalanchoe uniflora,Coral bells,Kalanchoe uniflora,Kalanchoe uniflora,274508-1,274508-1,Species,CPCS
573,Kniphofia spp,"Lily, torch",Kniphofia,,,331220-2,Genus,CPCS
574,Kniphofia spp,Poker plant,Kniphofia,,,331220-2,Genus,CPCS
575,Kniphofia spp,Red hot poker,Kniphofia,,,331220-2,Genus,CPCS
576,Kohleria lindeniana,Kohleria,Gloxinella lindeniana,Gloxinella lindeniana,60441798-2,60441798-2,Species,CPCS
577,Kolkwitzia amabilis,Beauty bush,Kolkwitzia amabilis,Kolkwitzia amabilis,148523-1,148523-1,Species,CPCS
579,Lachenalia lilacina,Leopard lily,Lachenalia orchioides subsp. glaucina,Lachenalia orchioides,537209-1,77122819-1,Subspecies,CPCS
580,Lagenaria siceraria,Bottle gourd,Lagenaria siceraria,Lagenaria siceraria,134809-2,134809-2,Species,CPCS
581,Lagenaria siceraria,Dipper gourd,Lagenaria siceraria,Lagenaria siceraria,134809-2,134809-2,Species,CPCS
582,Lagerstroemia indica,Crape myrtle or crepe myrtle,Lagerstroemia indica,Lagerstroemia indica,553576-1,553576-1,Species,CPCS
583,Lagurus ovatus,Rabbitâs tail grass,Lagurus ovatus,Lagurus ovatus,406799-1,406799-1,Species,CPCS
584,Lagurus ovatus,Hare's tail,Lagurus ovatus,Lagurus ovatus,406799-1,406799-1,Species,CPCS
585,Lampranthus spp,Ice plant,Lampranthus,,,326333-2,Genus,CPCS
586,Lavandula officinalis,Lavender,Lavandula angustifolia subsp. angustifolia,Lavandula angustifolia,449008-1,77171433-1,Subspecies,CPCS
587,Lavandula spp,English lavender,Lavandula,,,20960-1,Genus,CPCS
588,Lavandula spp,French lavender,Lavandula,,,20960-1,Genus,CPCS
589,Leea spp,China doll,Leea,,,331705-2,Genus,CPCS
590,Leucocrinum montanum,May flowers,Leucocrinum montanum,Leucocrinum montanum,321823-2,321823-2,Species,CPCS
591,Liatris spp,Blazing star,Liatris,,,325929-2,Genus,CPCS
592,Liatris spp,Deer's tongue,Liatris,,,325929-2,Genus,CPCS
593,Liatris spp,Liatris,Liatris,,,325929-2,Genus,CPCS
594,Ligustrum japonica,Japanese privet,Ligustrum japonicum,Ligustrum japonicum,610001-1,610001-1,Species,CPCS
595,Ligustrum japonicum,Wax-leaf privet,Ligustrum japonicum,Ligustrum japonicum,610001-1,610001-1,Species,CPCS
596,Ligustrum lucidium,White wax tree,,,,,,CPCS
597,Ligustrum lucidum,"Privet, Chinese",Ligustrum lucidum,Ligustrum lucidum,610017-1,610017-1,Species,CPCS
598,Ligustrum lucidum,"Privet, glossy",Ligustrum lucidum,Ligustrum lucidum,610017-1,610017-1,Species,CPCS
599,Ligustrum lucidum,"Privet, tree",Ligustrum lucidum,Ligustrum lucidum,610017-1,610017-1,Species,CPCS
600,Ligustrum lucidum,"Privet, wax-leaf",Ligustrum lucidum,Ligustrum lucidum,610017-1,610017-1,Species,CPCS
601,Lilium longiflorum,Easter lily,Lilium longiflorum,Lilium longiflorum,537642-1,537642-1,Species,CPCS
602,Lilium longiflorum,"Lily, Easter",Lilium longiflorum,Lilium longiflorum,537642-1,537642-1,Species,CPCS
603,Lilium asiatic,"Lily, asiatic",,,,,,CPCS
604,Lilium spp,"Lily, casa blanca",Lilium,,,30009317-2,Genus,CPCS
605,Lilium spp,Casa blanca lily,Lilium,,,30009317-2,Genus,CPCS
606,Lilium spp,"Lily, cascade",Lilium,,,30009317-2,Genus,CPCS
607,Lilium spp,"Lily, Japanese",Lilium,,,30009317-2,Genus,CPCS
608,Lilium spp,"Lily, Japanese showy",Lilium,,,30009317-2,Genus,CPCS
609,Lilium spp,"Lily, Marco Polo",Lilium,,,30009317-2,Genus,CPCS
610,Lilium spp,"Lily, Oriental",Lilium,,,30009317-2,Genus,CPCS
611,Lilium spp,Stargazer lily,Lilium,,,30009317-2,Genus,CPCS
612,Lilium spp,"Lily, stargazer",Lilium,,,30009317-2,Genus,CPCS
613,Lilium spp,"Lily, tiger",Lilium,,,30009317-2,Genus,CPCS
614,Lilium spp,Tiger lily,Lilium,,,30009317-2,Genus,CPCS
615,Lilium spp,"Lily, regal",Lilium,,,30009317-2,Genus,CPCS
616,Lilium spp,"Lily, Formosa",Lilium,,,30009317-2,Genus,CPCS
617,Lilium spp,"Lily, coral",Lilium,,,30009317-2,Genus,CPCS
618,Lilium spp,Orange cup,Lilium,,,30009317-2,Genus,CPCS
619,Lilium spp,"Lily, western",Lilium,,,30009317-2,Genus,CPCS
620,Lilium spp,"Lily, wood",Lilium,,,30009317-2,Genus,CPCS
621,Limonium spp,Statice,Limonium,,,331722-2,Genus,CPCS
622,Linum grandiflorum,Flowering flax,Linum grandiflorum,Linum grandiflorum,140834-2,140834-2,Species,CPCS
623,Liquidambar styraciflua,Liquidambar tree,Liquidambar styraciflua,Liquidambar styraciflua,430718-1,430718-1,Species,CPCS
624,Liquidambar styraciflua,Sweet gum,Liquidambar styraciflua,Liquidambar styraciflua,430718-1,430718-1,Species,CPCS
625,Liquidambar styraciflua,American sweet gum,Liquidambar styraciflua,Liquidambar styraciflua,430718-1,430718-1,Species,CPCS
626,Liquidambar styraciflua,Red gum,Liquidambar styraciflua,Liquidambar styraciflua,430718-1,430718-1,Species,CPCS
627,Liriodendron chinense,Chinese tulip tree,Liriodendron chinense,Liriodendron chinense,554609-1,554609-1,Species,CPCS
628,Liriodendron tulipifera,Tulip tree,Liriodendron tulipifera,Liriodendron tulipifera,30197364-2,30197364-2,Species,CPCS
629,Liriope japonica,Mondo grass,,,,,,CPCS
630,Liriope muscari,Border grass,Liriope muscari,Liriope muscari,537868-1,537868-1,Species,CPCS
631,Lithops spp,Living stone,Lithops,,,16237-1,Genus,CPCS
632,Lithops spp,Lithops,Lithops,,,16237-1,Genus,CPCS
633,Lithops spp,Stone face or Stone plant,Lithops,,,16237-1,Genus,CPCS
634,Lithops spp,Marble plant,Lithops,,,16237-1,Genus,CPCS
635,Livistonia chinesis,Fan palm,,,,,,CPCS
636,Lobularia maritima,"Alyssum, sweet",Lobularia maritima,Lobularia maritima,1085072-2,1085072-2,Species,CPCS
637,Lonicera fragrantissima,Honeysuckle,Lonicera fragrantissima,Lonicera fragrantissima,148772-1,148772-1,Species,CPCS
638,Lonicera fragrantissima,Breath of spring,Lonicera fragrantissima,Lonicera fragrantissima,148772-1,148772-1,Species,CPCS
639,Lunaria annua,Honesty plant,Lunaria annua,Lunaria annua,286647-1,286647-1,Species,CPCS
640,Lunaria annua,Money plant,Lunaria annua,Lunaria annua,286647-1,286647-1,Species,CPCS
641,Lychis chalcedonica,London pride,,,,,,CPCS
642,Lycopodium spp,"Moss, club",Lycopodium,,,30000138-2,Genus,CPCS
643,Lynchnis coronaria,Dusty miller,,,,,,CPCS
644,Lysimachia nummularia,Creeping Jenny or Creeping Joan,Lysimachia nummularia,Lysimachia nummularia,701260-1,701260-1,Species,CPCS
645,Lysimachia nummularia,Wandering Jenny,Lysimachia nummularia,Lysimachia nummularia,701260-1,701260-1,Species,CPCS
647,Macadamia spp,Australian nut,Macadamia,,,32953-1,Genus,CPCS
648,Macadamia spp,Macadamia nut,Macadamia,,,32953-1,Genus,CPCS
649,Macademia spp,Queensland nut,,,,,,CPCS
650,Magnolia spp,Magnolia,Magnolia,,,30000709-2,Genus,CPCS
651,Magnolia stellata,Star magnolia,Magnolia stellata,Magnolia stellata,554855-1,554855-1,Species,CPCS
652,Magnolia stellata,Magnolia bush,Magnolia stellata,Magnolia stellata,554855-1,554855-1,Species,CPCS
653,Magnolia tripetala,Umbrella tree,Magnolia tripetala,Magnolia tripetala,554866-1,554866-1,Species,CPCS
654,Magnolia x soulangiana,Saucer magnolia,,,,,,CPCS
655,Mahonia aquifolium,Oregon grape or Oregon holly,Berberis aquifolium,Berberis aquifolium,31334-2,31334-2,Species,CPCS
656,Mahonia spp,Mahonia,Berberis,,,328526-2,Genus,CPCS
657,Maianthemum kamtschaticum,False lily of the valley,Maianthemum dilatatum,Maianthemum dilatatum,149429-2,149429-2,Species,CPCS
658,Mammillaria elongata,Golden stars,Mammillaria elongata,Mammillaria elongata,134532-1,134532-1,Species,CPCS
659,Mammillaria compressa,Mexican pincushion cactus,Mammillaria compressa,Mammillaria compressa,134432-1,134432-1,Species,CPCS
660,Mammillaria compressa,Mother of hundreds,Mammillaria compressa,Mammillaria compressa,134432-1,134432-1,Species,CPCS
661,Mammillaria fissurata,Living rock,Ariocarpus fissuratus,Ariocarpus fissuratus,19054-2,19054-2,Species,CPCS
662,Mammillaria fissurata,Star rock,Ariocarpus fissuratus,Ariocarpus fissuratus,19054-2,19054-2,Species,CPCS
663,Mandevilla spp,Mandevilla vine,Mandevilla,,,328998-2,Genus,CPCS
664,Manettia bicolor,Firecracker plant or vine,Manettia luteorubra,Manettia luteorubra,755707-1,755707-1,Species,CPCS
665,Maranta leuconeura,Prayer plant,Maranta leuconeura,Maranta leuconeura,797361-1,797361-1,Species,CPCS
666,Maranta leuconeura,Rabbitâs foot,Maranta leuconeura,Maranta leuconeura,797361-1,797361-1,Species,CPCS
667,Maranta spp,Amylum,Maranta,,,30019537-2,Genus,CPCS
668,Maranta spp,Arrowroot,Maranta,,,30019537-2,Genus,CPCS
669,Maranta spp,Maranta,Maranta,,,30019537-2,Genus,CPCS
670,Matteuccia struthiopteris,Ostrich fern,Onoclea struthiopteris,Onoclea struthiopteris,17275510-1,17275510-1,Species,CPCS
671,Matthiola incana,Stock,Matthiola incana,Matthiola incana,286910-1,286910-1,Species,CPCS
672,Matthiola longipetala,Perfume plant,Matthiola longipetala,Matthiola longipetala,147284-3,147284-3,Species,CPCS
673,Maurandia spp,Creeping gloxinia,Maurandya,,,37807-1,Genus,CPCS
674,Melissa offinalis,Common balm,,,,,,CPCS
675,Melissa offinalis,Lemon balm,,,,,,CPCS
676,Mesembryanthemum cordifolium,Baby sun rose,Mesembryanthemum cordifolium,Mesembryanthemum cordifolium,322566-2,322566-2,Species,CPCS
677,Mesembryanthemum cordifolium,Ice plant,Mesembryanthemum cordifolium,Mesembryanthemum cordifolium,322566-2,322566-2,Species,CPCS
678,Mikania apiifolia,Plush vine,Mikania ternata,Mikania ternata,161289-2,161289-2,Species,CPCS
679,Mimosa pudica,Sensitive plant,Mimosa pudica,Mimosa pudica,313242-2,313242-2,Species,CPCS
680,Mimosa pudica,Touch-me-not,Mimosa pudica,Mimosa pudica,313242-2,313242-2,Species,CPCS
681,Moluccella spp,Bells of Ireland,Moluccella,,,21047-1,Genus,CPCS
682,Molucella spp,Balm,Moluccella,,,21047-1,Genus,CPCS
683,Molucella spp,Shell flower,Moluccella,,,21047-1,Genus,CPCS
684,Montia perfoliata,Miner's lettuce,Claytonia perfoliata,Claytonia perfoliata,60021-2,60021-2,Species,CPCS
685,Morus spp,Fruitless mulberry,Morus,,,30004492-2,Genus,CPCS
686,Morus spp,Mulberry tree or bush,Morus,,,30004492-2,Genus,CPCS
687,Morus spp,"Mulberry, fruitless",Morus,,,30004492-2,Genus,CPCS
688,Muehlenbeckia complexa,Maidenhair vine,Muehlenbeckia complexa,Muehlenbeckia complexa,694744-1,694744-1,Species,CPCS
689,Muehlenbeckia complexa,Necklace vine,Muehlenbeckia complexa,Muehlenbeckia complexa,694744-1,694744-1,Species,CPCS
690,Musa acuminata,Plantain,Musa acuminata,Musa acuminata,797527-1,797527-1,Species,CPCS
691,Muscari spp,Grape hyacinth,Muscari,,,330271-2,Genus,CPCS
692,Muscari spp,Muscari,Muscari,,,330271-2,Genus,CPCS
693,Myosotis spp,Forget-me-not,Myosotis,,,30010296-2,Genus,CPCS
694,Myrrhis odorata,Anise,Myrrhis odorata,Myrrhis odorata,845120-1,845120-1,Species,CPCS
695,Myrica californica,California bayberry,Myrica californica,Myrica californica,303885-2,303885-2,Species,CPCS
696,Myrica californica,California wax myrtle,Myrica californica,Myrica californica,303885-2,303885-2,Species,CPCS
697,Myrica pensylvanica,Bayberry,Myrica pensylvanica,Myrica pensylvanica,166255-2,166255-2,Species,CPCS
698,Myrica pensylvanica,Candleberry,Myrica pensylvanica,Myrica pensylvanica,166255-2,166255-2,Species,CPCS
699,Myrtus communis,Common myrtle,Myrtus communis,Myrtus communis,599719-1,599719-1,Species,CPCS
701,Nandina domestica,Bamboo bush,Nandina domestica,Nandina domestica,107544-1,107544-1,Species,CPCS
702,Nandina domestica,Heavenly bamboo,Nandina domestica,Nandina domestica,107544-1,107544-1,Species,CPCS
703,Nandina domestica,Nandina bush,Nandina domestica,Nandina domestica,107544-1,107544-1,Species,CPCS
704,Nandina domestica,Sacred bamboo,Nandina domestica,Nandina domestica,107544-1,107544-1,Species,CPCS
705,Neoragelia spp,Aregelia,,,,,,CPCS
706,Neoregelia spp,Blushing bromeliad,Neoregelia,,,328327-2,Genus,CPCS
707,Neoregelia spp,Crimson cup,Neoregelia,,,328327-2,Genus,CPCS
708,Neoregelia spp,Fingernail plant,Neoregelia,,,328327-2,Genus,CPCS
709,Nephrolepis spp,Boston fern,Nephrolepis,,,17160590-1,Genus,CPCS
710,Nothofagus spp,Black beech,Nothofagus,,,330346-2,Genus,CPCS
711,Nymphaea odorata,Pond lily,Nymphaea odorata,Nymphaea odorata,171201-2,171201-2,Species,CPCS
712,Nyctanthes arbortristis,Night jasmine,Nyctanthes arbor-tristis,Nyctanthes arbor-tristis,610599-1,610599-1,Species,CPCS
713,Nymphaea spp,Water lily,Nymphaea,,,330032-2,Genus,CPCS
714,Nyssa aquatica,Cottongum tree,Nyssa aquatica,Nyssa aquatica,302695-2,302695-2,Species,CPCS
715,Nyssa aquatica,Wild olive,Nyssa aquatica,Nyssa aquatica,302695-2,302695-2,Species,CPCS
717,Oenothera spp,Evening primrose,Oenothera,,,60437227-2,Genus,CPCS
718,Oenothera spp,Mexican evening primrose,Oenothera,,,60437227-2,Genus,CPCS
719,Oenothera spp,Rock rose,Oenothera,,,60437227-2,Genus,CPCS
720,Oenothera spp,Yellow evening primrose,Oenothera,,,60437227-2,Genus,CPCS
721,Oenothera spp,Rose of Mexico,Oenothera,,,60437227-2,Genus,CPCS
722,Oncidium spp,Orchid,Oncidium,,,331250-2,Genus,CPCS
723,Onoclea sensibilis,Sensitive fern,Onoclea sensibilis,Onoclea sensibilis,281589-2,281589-2,Species,CPCS
724,Onopordum acanthium,Scotch thistle,Onopordum acanthium,Onopordum acanthium,235234-1,235234-1,Species,CPCS
725,Onopordum acanthium,Silver thistle,Onopordum acanthium,Onopordum acanthium,235234-1,235234-1,Species,CPCS
726,Oryzopsis hymenoides,Silk grass,Eriocoma hymenoides,Eriocoma hymenoides,94498-2,94498-2,Species,CPCS
727,Osmanthus americanus,Wild olive,Cartrema americana,Cartrema americana,77128534-1,77128534-1,Species,CPCS
728,Osmanthus americanus,American olive,Cartrema americana,Cartrema americana,77128534-1,77128534-1,Species,CPCS
729,Osmanthus heterophyllus,Chinese holly,Osmanthus heterophyllus,Osmanthus heterophyllus,610885-1,610885-1,Species,CPCS
730,Osmanthus heterophyllus,False holly,Osmanthus heterophyllus,Osmanthus heterophyllus,610885-1,610885-1,Species,CPCS
731,Osmorhiza longistylis,Anise root,Osmorhiza longistylis,Osmorhiza longistylis,845559-1,845559-1,Species,CPCS
733,Pelargonium citrosum,Mosquito plant,Pelargonium cucullatum subsp. cucullatum,Pelargonium cucullatum,164626-3,77226592-1,Subspecies,CPCS
734,Pelargonium spp,Geranium,Pelargonium,,,30302759-2,Genus,CPCS
735,Pellaea rotundifolia,Button fern,Hemionitis rotundifolia,Hemionitis rotundifolia,77182722-1,77182722-1,Species,CPCS
736,Peperomia spp,Peperomia,Peperomia,,,329746-2,Genus,CPCS
737,Petunia spp,Petunia,Petunia,,,331845-2,Genus,CPCS
738,Phacelia sericea,California bluebell,Phacelia sericea,Phacelia sericea,432774-1,432774-1,Species,CPCS
739,Phacelia sericea,Scorpion weed,Phacelia sericea,Phacelia sericea,432774-1,432774-1,Species,CPCS
740,Philadelphus spp,Mock orange,Philadelphus,,,30007321-2,Genus,CPCS
741,Phlox diuaricata,Sweet William phlox,,,,,,CPCS
742,Phlox spp,Flocks,Phlox,,,328376-2,Genus,CPCS
743,Phlox spp,Flox,Phlox,,,328376-2,Genus,CPCS
744,Phlox spp,Phlox,Phlox,,,328376-2,Genus,CPCS
745,Phoenix canariensis,Canary date palm,Phoenix canariensis,Phoenix canariensis,668909-1,668909-1,Species,CPCS
746,Phoenix spp,"Palm, date (except for thorns)",Phoenix,,,31428-1,Genus,CPCS
747,Photina spp (except arbutifolia),Photina (except arbutifolia which is toxic),,,,,,CPCS
748,Photinia glabra,Japanese photina,Photinia glabra,Photinia glabra,727386-1,727386-1,Species,CPCS
749,Photinia glabra,"Photinia, Japanese",Photinia glabra,Photinia glabra,727386-1,727386-1,Species,CPCS
750,Phyllostachys aurea,"Bamboo, common",Phyllostachys aurea,Phyllostachys aurea,415983-1,415983-1,Species,CPCS
751,Picea spp,Spruce tree,Picea,,,30005648-2,Genus,CPCS
752,Pilea spp,Artillery plant,Pilea,,,331855-2,Genus,CPCS
753,Pilea cadierei,Aluminum plant,Pilea cadierei,Pilea cadierei,855275-1,855275-1,Species,CPCS
754,Pilea involucrate,Friendship plant,,,,,,CPCS
755,Pilea nummulariifolia,Creeping charlie,Pilea nummulariifolia,Pilea nummulariifolia,30268074-2,30268074-2,Species,CPCS
756,Pilea spp,Pilea,Pilea,,,331855-2,Genus,CPCS
757,Pinus spp,Pine tree,Pinus,,,328247-2,Genus,CPCS
758,Pinus glabra,Cedar pine,Pinus glabra,Pinus glabra,262965-1,262965-1,Species,CPCS
759,Pinus glabra,Spruce pine,Pinus glabra,Pinus glabra,262965-1,262965-1,Species,CPCS
760,Pittosporum spp,Pittosporum,Pittosporum,,,326028-2,Genus,CPCS
761,Pittosporum tobira,Australian laurel,Pittosporum tobira,Pittosporum tobira,684716-1,684716-1,Species,CPCS
762,Pittosporum tobira,Mock orange,Pittosporum tobira,Pittosporum tobira,684716-1,684716-1,Species,CPCS
763,Plantago major,Plantago,Plantago major,Plantago major,321286-2,321286-2,Species,CPCS
764,Plantago major,"Plantain, broad-leaved",Plantago major,Plantago major,321286-2,321286-2,Species,CPCS
765,Platanus occidentalis,Plane tree,Platanus occidentalis,Platanus occidentalis,685871-1,685871-1,Species,CPCS
766,Platanus acerifolia,London plane tree,Platanus × hispanica,Platanus × hispanica,685854-1,685854-1,Species,CPCS
767,Platanus spp,Sycamore tree,Platanus,,,32120-1,Genus,CPCS
768,Platycerium angolense,Elephantâs ear fern,Platycerium elephantotis,Platycerium elephantotis,17177470-1,17177470-1,Species,CPCS
769,Platycerium spp,Elk's horn,Platycerium,,,17177370-1,Genus,CPCS
770,Platycerium spp,Queen elkhorn,Platycerium,,,17177370-1,Genus,CPCS
771,Platycerium spp,Staghorn fern,Platycerium,,,17177370-1,Genus,CPCS
772,Platycodon grandiflorus,Balloon flower,Platycodon grandiflorus,Platycodon grandiflorus,144523-1,144523-1,Species,CPCS
773,Platycodon grandiflorus,Bell flower,Platycodon grandiflorus,Platycodon grandiflorus,144523-1,144523-1,Species,CPCS
774,Plectranthus australis,Creeping charlie,Coleus australis,Coleus australis,77201016-1,77201016-1,Species,CPCS
775,Plectranthus australis,Swedish ivy,Coleus australis,Coleus australis,77201016-1,77201016-1,Species,CPCS
776,Plectranthus oetendahlii,Candle plant,,,,,,CPCS
777,Plectranthus oetendahlii,Plectranthus,,,,,,CPCS
778,Pleiospilos spp,Living stone,Pleiospilos,,,16301-1,Genus,CPCS
779,Pleiospilos spp,Mimicry plant,Pleiospilos,,,16301-1,Genus,CPCS
780,Pleomele reflexa,"Dracaena, Malaysian",Dracaena reflexa,Dracaena reflexa,534338-1,534338-1,Species,CPCS
781,Pleomele thaliodes,"Dracaena, lance",,,,,,CPCS
782,Pleroma spp,Glory bush,Pleroma,,,26540-1,Genus,CPCS
783,Pleroma spp,Lasiandra,Pleroma,,,26540-1,Genus,CPCS
784,Poa pratensis,June grass,Poa pratensis,Poa pratensis,417792-1,417792-1,Species,CPCS
785,Poa pratensis,Kentucky bluegrass,Poa pratensis,Poa pratensis,417792-1,417792-1,Species,CPCS
786,Poa pratensis,Speargrass,Poa pratensis,Poa pratensis,417792-1,417792-1,Species,CPCS
787,Polystichum munitum,Sword fern,Polystichum munitum,Polystichum munitum,17207740-1,17207740-1,Species,CPCS
788,Polystichum spp,Christmas dagger fern,Polystichum,,,327121-2,Genus,CPCS
789,Populus spp,Cottonwood,Populus,,,328417-2,Genus,CPCS
790,Populus spp,Aspen,Populus,,,328417-2,Genus,CPCS
791,Portulaca grandiflora,Moss rose,Portulaca grandiflora,Portulaca grandiflora,208592-2,208592-2,Species,CPCS
792,Portulaca oleracea,Portulaca,Portulaca oleracea,Portulaca oleracea,323270-2,323270-2,Species,CPCS
793,Portulaca oleracea,Purslane,Portulaca oleracea,Portulaca oleracea,323270-2,323270-2,Species,CPCS
794,Portulacaria afra,Jade plant,Portulacaria afra,Portulacaria afra,699417-1,699417-1,Species,CPCS
795,Potentilla spp,Cinquefoil,Potentilla,,,30000237-2,Genus,CPCS
796,Potentilla spp,Potentilla,Potentilla,,,30000237-2,Genus,CPCS
797,Potentilla spp,Silver weed,Potentilla,,,30000237-2,Genus,CPCS
798,Protea mellifera,Honey flower,Protea repens,Protea repens,706086-1,706086-1,Species,CPCS
799,Protea spp,Protea,Protea,,,331879-2,Genus,CPCS
800,Pseudotsuga spp,Fir tree,Pseudotsuga,,,30005513-2,Genus,CPCS
801,Pterospora andromedea,Giant bird's nest,Pterospora andromedea,Pterospora andromedea,582569-1,582569-1,Species,CPCS
802,Pyracantha spp,Firethorn (except for thorns),Pyracantha,,,30154448-2,Genus,CPCS
803,Pyracantha spp,Pyracantha (except for thorns),Pyracantha,,,30154448-2,Genus,CPCS
805,Quesnelia spp,Billbergia,Quesnelia,,,5008-1,Genus,CPCS
807,Radermachera sinica,China doll,Radermachera sinica,Radermachera sinica,110522-1,110522-1,Species,CPCS
808,Radermachera sinica,Evergreen plant,Radermachera sinica,Radermachera sinica,110522-1,110522-1,Species,CPCS
809,Raphia farinifera,Raffia,Raphia farinifera,Raphia farinifera,669503-1,669503-1,Species,CPCS
810,Raphia farinifera,Sago,Raphia farinifera,Raphia farinifera,669503-1,669503-1,Species,CPCS
811,Raphiolepsis indica,Indian hawthorn,,,,,,CPCS
812,Raphiolepsis indica,Raphiolepsis,,,,,,CPCS
813,Ratibida columnaris,Mexican hat,Ratibida columnifera,Ratibida columnifera,217868-2,217868-2,Species,CPCS
814,Rechsteineria cardinalis,Cardinal flower,Sinningia cardinalis,Sinningia cardinalis,236686-2,236686-2,Species,CPCS
815,Rhapis spp,Lady palm,Rhapis,,,31476-1,Genus,CPCS
816,Rhapis spp,"Palm, tufted fan",Rhapis,,,31476-1,Genus,CPCS
817,Rhus cotinoides,"Smoke tree, American",Cotinus obovatus,Cotinus obovatus,69506-1,69506-1,Species,CPCS
818,Romneya coulteri,Matilija poppy,Romneya coulteri,Romneya coulteri,673954-1,673954-1,Species,CPCS
819,Rosa spp (except for Rosa rugose),Rose (except for thorns),Rosa,,,30002432-2,Genus,CPCS
820,Rosa spp (except for Rosa rugose),Rosehips (berries),Rosa,,,30002432-2,Genus,CPCS
821,Rosa spp (except for Rosa rugose),Hip berries,Rosa,,,30002432-2,Genus,CPCS
822,Rubus spp,June berry,Rubus,,,30000199-2,Genus,CPCS
823,Rudbeckia spp,Rudbeckia,Rudbeckia,,,329766-2,Genus,CPCS
824,Rudbeckia purpurea,"Cone flower, purple",Echinacea purpurea,Echinacea purpurea,1174497-2,1174497-2,Species,CPCS
825,Rudbergia grandiflora,Mountain sunflower,,,,,,CPCS
826,Rumohra adiantiformis,"Fern, iron",Rumohra adiantiformis,Rumohra adiantiformis,224543-2,224543-2,Species,CPCS
827,Rumohra adiantiformis,"Fern, leather",Rumohra adiantiformis,Rumohra adiantiformis,224543-2,224543-2,Species,CPCS
828,Rumohra adiantiformis,"Fern, leatherleaf",Rumohra adiantiformis,Rumohra adiantiformis,224543-2,224543-2,Species,CPCS
830,Saintpaulia ionantha,African violet,Streptocarpus ionanthus,Streptocarpus ionanthus,77117375-1,77117375-1,Species,CPCS
831,Salix discolor,Pussy willow,Salix discolor,Salix discolor,284528-2,284528-2,Species,CPCS
832,Salix spp,Willow,Salix,,,325916-2,Genus,CPCS
833,Salvia columbariae,Chia,Salvia columbariae,Salvia columbariae,455999-1,455999-1,Species,CPCS
834,Salvia spp,Salvia,Salvia,,,30000096-2,Genus,CPCS
835,Salvia spp,Sage,Salvia,,,30000096-2,Genus,CPCS
836,Sanvitalia spp,Creeping zinnia,Sanvitalia,,,30204763-2,Genus,CPCS
837,Saxifraga cordifolia,Elephant's ear,Bergenia crassifolia var. crassifolia,Bergenia crassifolia,790361-1,77228835-1,Variety,CPCS
838,Saxifraga spp,Saxifraga,Saxifraga,,,30002955-2,Genus,CPCS
839,Saxifraga spp,Strawberry begonia,Saxifraga,,,30002955-2,Genus,CPCS
840,Saxifraga spp,Strawberry geranium,Saxifraga,,,30002955-2,Genus,CPCS
841,Saxifraga ciliata,Winter begonia,Saxifraga pulvinaria,Saxifraga pulvinaria,794357-1,794357-1,Species,CPCS
842,Saxifraga stolonifera,Mother of thousands,Saxifraga stolonifera,Saxifraga stolonifera,794584-1,794584-1,Species,CPCS
843,Scabiosa spp,Pincushion flower,Scabiosa,,,14326-1,Genus,CPCS
844,Scabiosa spp,Scabiosa,Scabiosa,,,14326-1,Genus,CPCS
845,Schefflera arboricola,Dwarf schefflera,Heptapleurum arboricola,Heptapleurum arboricola,90845-1,90845-1,Species,CPCS
846,Schefflera spp,Schefflera,Schefflera,,,3093-1,Genus,CPCS
847,Schefflera actinophylla,Australian umbrella tree,Heptapleurum actinophyllum,Heptapleurum actinophyllum,77213393-1,77213393-1,Species,CPCS
848,Schefflera actinophylla,Octopus tree,Heptapleurum actinophyllum,Heptapleurum actinophyllum,77213393-1,77213393-1,Species,CPCS
849,Schefflera actinophylla,Umbrella tree,Heptapleurum actinophyllum,Heptapleurum actinophyllum,77213393-1,77213393-1,Species,CPCS
850,Schefflera actinophylla,Queensland umbrella tree,Heptapleurum actinophyllum,Heptapleurum actinophyllum,77213393-1,77213393-1,Species,CPCS
851,Schefflera actinophylla,Queen's umbrella tree,Heptapleurum actinophyllum,Heptapleurum actinophyllum,77213393-1,77213393-1,Species,CPCS
852,Schizanthus spp,Butterfly flower,Schizanthus,,,38531-1,Genus,CPCS
853,Schlumbergera bridgesii,Christmas cactus,Schlumbergera russelliana,Schlumbergera russelliana,229596-2,229596-2,Species,CPCS
