,Common name,UCANR_Snippet,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
86,Lithops; Living stones,Lithops spp.,Lithops,,,16237-1,Genus,UCANR
87,Chinese fountain palm,Livistona chinensis,Livistona chinensis,Livistona chinensis,668021-1,668021-1,Species,UCANR
88,Money plant,Lunaria annua,Lunaria annua,Lunaria annua,286647-1,286647-1,Species,UCANR
89,Crown-pink,Lychnis coronaria,Silene coronaria,Silene coronaria,60461121-2,60461121-2,Species,UCANR
90,Creeping Jenny; Moneywort,Lysimachia nummularia,Lysimachia nummularia,Lysimachia nummularia,701260-1,701260-1,Species,UCANR
91,Star magnolia,Magnolia stellata,Magnolia stellata,Magnolia stellata,554855-1,554855-1,Species,UCANR
92,Prayer plant,Maranta leuconeura,Maranta leuconeura,Maranta leuconeura,797361-1,797361-1,Species,UCANR
93,Sensitive plant,Mimosa pudica,Mimosa pudica,Mimosa pudica,313242-2,313242-2,Species,UCANR
94,Bee balm; Monarda,Monarda spp.,Monarda,,,21049-1,Genus,UCANR
95,Mulberry,Morus spp.,Morus,,,30004492-2,Genus,UCANR
96,Grape hyacinth,Muscari spp.,Muscari,,,330271-2,Genus,UCANR
97,Forget-me-not,Myosotis sylvatica,Myosotis sylvatica,Myosotis sylvatica,119282-1,119282-1,Species,UCANR
98,Neoregelia bromeliad,Neoregelia spp.,Neoregelia,,,328327-2,Genus,UCANR
99,Boston fern; Sword fern,Nephrolepis exaltata,Nephrolepis exaltata,Nephrolepis exaltata,17160830-1,17160830-1,Species,UCANR
100,Evening primrose,Oenothera caespitosa,,,,,,UCANR
101,Oncidium orchid,Oncidium spp.,Oncidium,,,331250-2,Genus,UCANR
102,Fragrant olive; Osmanthus,Osmanthus spp.,Osmanthus,,,328107-2,Genus,UCANR
103,Japanese spurge; Pachysandra,Pachysandra terminalis,Pachysandra terminalis,Pachysandra terminalis,353208-1,353208-1,Species,UCANR
104,Paphiopedilum orchid,Paphiopedilum spp.,Paphiopedilum,,,327473-2,Genus,UCANR
105,Passion vine,Passiflora spp.,Passiflora,,,328300-2,Genus,UCANR
106,Roundleaf fern,Pellaea rotundifolia,Hemionitis rotundifolia,Hemionitis rotundifolia,77182722-1,77182722-1,Species,UCANR
107,Peperomia,Peperomia spp.,Peperomia,,,329746-2,Genus,UCANR
108,Petunia,Petunia hybrida,Petunia × atkinsiana,Petunia × atkinsiana,817227-1,817227-1,Species,UCANR
109,Phlox,Phlox paniculata,Phlox paniculata,Phlox paniculata,193615-2,193615-2,Species,UCANR
110,Pigmy date palm,Phoenix roebelenii,Phoenix roebelenii,Phoenix roebelenii,668945-1,668945-1,Species,UCANR
111,Photinia,Photinia spp.,Photinia,,,30014031-2,Genus,UCANR
112,Golden bamboo,Phyllostachys aurea,Phyllostachys aurea,Phyllostachys aurea,415983-1,415983-1,Species,UCANR
113,Spruce,Picea pungens,Picea pungens,Picea pungens,30095300-2,30095300-2,Species,UCANR
