,Plants with Activity Synergy,Chemical Count,Total PPM,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
243,Quercus alba,1,3.04,Quercus alba,Quercus alba,295763-1,295763-1,Species,USDA(Duke)
244,Ranunculus bulbosus,1,,Ranunculus bulbosus,Ranunculus bulbosus,712367-1,712367-1,Species,USDA(Duke)
245,Rheum palmatum,1,,Rheum palmatum,Rheum palmatum,696772-1,696772-1,Species,USDA(Duke)
246,Rheum officinale,1,100000.0,Rheum officinale,Rheum officinale,696768-1,696768-1,Species,USDA(Duke)
247,Rhus copallina,1,13.26,Rhus copallinum,Rhus copallinum,219750-2,219750-2,Species,USDA(Duke)
248,Ribes uva-crispa,1,,Ribes uva-crispa,Ribes uva-crispa,793052-1,793052-1,Species,USDA(Duke)
249,Ribes nigrum,1,,Ribes nigrum,Ribes nigrum,792873-1,792873-1,Species,USDA(Duke)
250,Robinia pseudoacacia,1,,Robinia pseudoacacia,Robinia pseudoacacia,30034699-2,30034699-2,Species,USDA(Duke)
251,Rosmarinus officinalis,2,,Salvia rosmarinus,Salvia rosmarinus,457138-1,457138-1,Species,USDA(Duke)
252,Rubia cordifolia,1,,Rubia cordifolia,Rubia cordifolia,765218-1,765218-1,Species,USDA(Duke)
253,Rubus sp.,1,,Rubus,,,30000199-2,Genus,USDA(Duke)
254,Rubus idaeus,1,,Rubus idaeus,Rubus idaeus,298089-2,298089-2,Species,USDA(Duke)
255,Rumex crispus,1,,Rumex crispus,Rumex crispus,224413-2,224413-2,Species,USDA(Duke)
256,Rumex acetosella,1,,Rumex acetosella,Rumex acetosella,224391-2,224391-2,Species,USDA(Duke)
257,Salvia triloba,1,3240.0,Salvia fruticosa,Salvia fruticosa,456249-1,456249-1,Species,USDA(Duke)
258,Salvia officinalis,2,52224.0,Salvia officinalis,Salvia officinalis,456833-1,456833-1,Species,USDA(Duke)
259,Sassafras albidum,2,11.98,Sassafras albidum,Sassafras albidum,468624-1,468624-1,Species,USDA(Duke)
260,Satureja montana,1,,Satureja montana,Satureja montana,457736-1,457736-1,Species,USDA(Duke)
261,Satureja hortensis,1,,Satureja hortensis,Satureja hortensis,457680-1,457680-1,Species,USDA(Duke)
262,Satureja douglasii,1,754.0,Micromeria douglasii,Micromeria douglasii,160336-2,160336-2,Species,USDA(Duke)
263,Scopolia carniolica,3,,Scopolia carniolica,Scopolia carniolica,817996-1,817996-1,Species,USDA(Duke)
264,Senna occidentalis,1,38000.0,Senna occidentalis,Senna occidentalis,1117728-2,1117728-2,Species,USDA(Duke)
265,Senna obtusifolia,1,40000.0,Senna obtusifolia,Senna obtusifolia,234560-2,234560-2,Species,USDA(Duke)
266,Sideritis scardica,1,,Sideritis scardica,Sideritis scardica,459087-1,459087-1,Species,USDA(Duke)
267,Sinomenium acutum,1,,Sinomenium acutum,Sinomenium acutum,581373-1,581373-1,Species,USDA(Duke)
268,Solanum tuberosum,3,,Solanum tuberosum,Solanum tuberosum,821337-1,821337-1,Species,USDA(Duke)
269,Solanum melongena,1,,Solanum melongena,Solanum melongena,820053-1,820053-1,Species,USDA(Duke)
270,Solanum mammosum,1,,Solanum mammosum,Solanum mammosum,285235-2,285235-2,Species,USDA(Duke)
271,Solanum dulcamara,1,,Solanum dulcamara,Solanum dulcamara,285213-2,285213-2,Species,USDA(Duke)
272,Sophora secundiflora,1,,Dermatophyllum secundiflorum,Dermatophyllum secundiflorum,77116898-1,77116898-1,Species,USDA(Duke)
273,Sophora japonica,1,,Styphnolobium japonicum,Styphnolobium japonicum,1119529-2,1119529-2,Species,USDA(Duke)
274,Sophora angustifolia,1,,Sophora flavescens var. flavescens,Sophora flavescens,518831-1,77213933-1,Variety,USDA(Duke)
275,Sorbus aucubaria,1,1234.0,,,,,,USDA(Duke)
276,Spartium junceum,1,12600.0,Spartium junceum,Spartium junceum,519057-1,519057-1,Species,USDA(Duke)
277,Spinacia oleracea,1,,Spinacia oleracea,Spinacia oleracea,167384-1,167384-1,Species,USDA(Duke)
278,Stellaria media,1,,Stellaria media,Stellaria media,159330-1,159330-1,Species,USDA(Duke)
279,Stephania glabra,1,,Stephania rotunda,Stephania rotunda,581482-1,581482-1,Species,USDA(Duke)
280,Stevia rebaudiana,1,,Stevia rebaudiana,Stevia rebaudiana,245468-2,245468-2,Species,USDA(Duke)
281,Strophanthus kombe,1,200000.0,Strophanthus kombe,Strophanthus kombe,81909-1,81909-1,Species,USDA(Duke)
282,Strophanthus gratus,2,,Strophanthus gratus,Strophanthus gratus,81895-1,81895-1,Species,USDA(Duke)
283,Strophanthus divaricatus,2,,Strophanthus divaricatus,Strophanthus divaricatus,81877-1,81877-1,Species,USDA(Duke)
284,Symphoricarpos orbiculatus,1,8.8,Symphoricarpos orbiculatus,Symphoricarpos orbiculatus,149465-1,149465-1,Species,USDA(Duke)
285,Tagetes lucida,1,,Tagetes lucida,Tagetes lucida,252121-1,252121-1,Species,USDA(Duke)
286,Tanacetum vulgare,1,,Tanacetum vulgare,Tanacetum vulgare,252568-1,252568-1,Species,USDA(Duke)
287,Taxus baccata,1,,Taxus baccata,Taxus baccata,306036-2,306036-2,Species,USDA(Duke)
288,Terminalia chebula,2,,Terminalia chebula,Terminalia chebula,171037-1,171037-1,Species,USDA(Duke)
289,Terminalia catappa,2,,Terminalia catappa,Terminalia catappa,171034-1,171034-1,Species,USDA(Duke)
290,Terminalia arjuna,2,,Terminalia arjuna,Terminalia arjuna,170962-1,170962-1,Species,USDA(Duke)
291,Teucrium polium,1,,Teucrium polium,Teucrium polium,460631-1,460631-1,Species,USDA(Duke)
292,Teucrium gnaphalodes,1,,Teucrium gnaphalodes,Teucrium gnaphalodes,460432-1,460432-1,Species,USDA(Duke)
293,Theobroma cacao,2,,Theobroma cacao,Theobroma cacao,320783-2,320783-2,Species,USDA(Duke)
294,Thespesia populnea,1,,Thespesia populnea,Thespesia populnea,564713-1,564713-1,Species,USDA(Duke)
295,Thevetia peruviana,2,,Cascabela thevetia,Cascabela thevetia,47927-2,47927-2,Species,USDA(Duke)
296,Thevetia neriifolia,2,,Cascabela thevetia,Cascabela thevetia,47927-2,47927-2,Species,USDA(Duke)
297,Thuja occidentalis,1,,Thuja occidentalis,Thuja occidentalis,263956-1,263956-1,Species,USDA(Duke)
298,Thymus orospedanus,1,2.0,Thymus orospedanus,Thymus orospedanus,461482-1,461482-1,Species,USDA(Duke)
299,Trifolium pratense,1,,Trifolium pratense,Trifolium pratense,523575-1,523575-1,Species,USDA(Duke)
300,Triticum aestivum,1,,Triticum aestivum,Triticum aestivum,332110-2,332110-2,Species,USDA(Duke)
301,Tsuga canadensis,1,,Tsuga canadensis,Tsuga canadensis,264005-1,264005-1,Species,USDA(Duke)
302,Ulex europaeus,1,,Ulex europaeus,Ulex europaeus,524298-1,524298-1,Species,USDA(Duke)
303,Umbellularia californica,2,31200.0,Umbellularia californica,Umbellularia californica,30189264-2,30189264-2,Species,USDA(Duke)
304,Uncaria tomentosa,1,,Uncaria tomentosa,Uncaria tomentosa,768322-1,768322-1,Species,USDA(Duke)
305,Uncaria guianensis,1,,Uncaria guianensis,Uncaria guianensis,768250-1,768250-1,Species,USDA(Duke)
306,Urtica dioica,1,,Urtica dioica,Urtica dioica,260630-2,260630-2,Species,USDA(Duke)
307,Vaccinium myrtillus,1,,Vaccinium myrtillus,Vaccinium myrtillus,30006039-2,30006039-2,Species,USDA(Duke)
308,Vaccinium macrocarpon,1,,Vaccinium macrocarpon,Vaccinium macrocarpon,261912-2,261912-2,Species,USDA(Duke)
309,Vaccinium corymbosum,1,330.0,Vaccinium corymbosum,Vaccinium corymbosum,261823-2,261823-2,Species,USDA(Duke)
310,Valeriana officinalis,1,,Valeriana officinalis,Valeriana officinalis,860012-1,860012-1,Species,USDA(Duke)
311,Valeriana jatamansi,1,,Valeriana jatamansi,Valeriana jatamansi,60458931-2,60458931-2,Species,USDA(Duke)
312,Vanilla planifolia,1,,Vanilla planifolia,Vanilla planifolia,262578-2,262578-2,Species,USDA(Duke)
313,Veratrum album,1,,Veratrum album,Veratrum album,30192264-2,30192264-2,Species,USDA(Duke)
314,Viburnum prunifolium,1,,Viburnum prunifolium,Viburnum prunifolium,326270-2,326270-2,Species,USDA(Duke)
315,Viburnum opulus,1,,Viburnum opulus,Viburnum opulus,326268-2,326268-2,Species,USDA(Duke)
316,Vicia faba,1,,Vicia faba,Vicia faba,524737-1,524737-1,Species,USDA(Duke)
317,Vigna unguiculata,1,4.8,Vigna unguiculata,Vigna unguiculata,1127257-2,1127257-2,Species,USDA(Duke)
318,Vitis vinifera,2,,Vitis vinifera,Vitis vinifera,30478388-2,30478388-2,Species,USDA(Duke)
319,Withania somnifera,1,,Withania somnifera,Withania somnifera,821709-1,821709-1,Species,USDA(Duke)
320,Xanthorhiza simplicissima,1,,Xanthorhiza simplicissima,Xanthorhiza simplicissima,715221-1,715221-1,Species,USDA(Duke)
321,Zanthoxylum clava-herculis,1,,Zanthoxylum clava-herculis,Zanthoxylum clava-herculis,775655-1,775655-1,Species,USDA(Duke)
322,Zanthoxylum americanum,1,,Zanthoxylum americanum,Zanthoxylum americanum,775568-1,775568-1,Species,USDA(Duke)
323,Zea mays,4,2.7,Zea mays,Zea mays,426810-1,426810-1,Species,USDA(Duke)
