,genus,Habit,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
853,Stylosiphonia,sh/subsh,Stylosiphonia,,,35416-1,Genus
854,Suberanthus,sh/subsh/tr,Suberanthus,,,893242-1,Genus
855,Synaptantha,hb,Synaptantha,,,35422-1,Genus
856,Syringantha,sh/subsh,Syringantha,,,297636-2,Genus
857,Tabernaemontana,tr,Tabernaemontana,,,328993-2,Genus
858,Tabernanthe,sh/subsh,Tabernanthe,,,983-1,Genus
859,Tacazzea,li,Tacazzea,,,3745-1,Genus
860,Tainus,sh/subsh/tr,Tainus,,,77175144-1,Genus
861,Tamilnadia,tr,Tamilnadia,,,35428-1,Genus
862,Tammsia,sh/subsh/tr,Tammsia,,,331997-2,Genus
863,Tamridaea,sh/subsh,Tamridaea,,,1001591-1,Genus
864,Tarenna,sh/tr,Tarenna,,,327893-2,Genus
865,Tarennoidea,tr/sh,Tarennoidea,,,327894-2,Genus
866,Tassadia,li,Tassadia,,,30040639-2,Genus
867,Tavaresia,sc,Tavaresia,,,3751-1,Genus
868,Telectadium,sh/subsh,Telectadium,,,3752-1,Genus
869,Telosma,li/sh/subsh,Telosma,,,3755-1,Genus
870,Temnadenia,li,Temnadenia,,,329004-2,Genus
871,Temnocalyx,sh/subsh/tr,Temnocalyx,,,35442-1,Genus
872,Tennantia,sh/subsh,Tennantia,,,893109-1,Genus
873,Tessiera,subsh,Tessiera,,,35448-1,Genus
874,Thamnoldenlandia,sh/subsh,Thamnoldenlandia,,,77107063-1,Genus
875,Theligonum,subsh,Theligonum,,,41017-1,Genus
876,Thenardia,li,Thenardia,,,2594-1,Genus
877,Thevetia,sh/subsh,Thevetia,,,332011-2,Genus
878,Thiollierea,sh/subsh,Thiollierea,,,35459-1,Genus
879,Thogsennia,tr/sh,Thogsennia,,,298615-2,Genus
880,Thoreauea,li,Thoreauea,,,326443-2,Genus
881,Thyrsanthella,li,Thyrsanthella,,,2599-1,Genus
882,Timonius,sh,Timonius,,,332019-2,Genus
883,Tinadendron,tr,Tinadendron,,,77075408-1,Genus
884,Tintinnabularia,li,Tintinnabularia,,,289330-2,Genus
885,Tobagoa,subsh/sh,Tobagoa,,,289333-2,Genus
886,Tocoyena,sh/subsh/tr,Tocoyena,,,35467-1,Genus
887,Tortuella,subsh,Tortuella,,,289340-2,Genus
888,Toxocarpus,li,Toxocarpus,,,3761-1,Genus
889,Trachelospermum,li,Trachelospermum,,,2604-1,Genus
890,Trailliaedoxa,subsh,Trailliaedoxa,,,35472-1,Genus
891,Treutlera,li/sh/subsh,Treutlera,,,3764-1,Genus
892,Triainolepis,sh/subsh,Triainolepis,,,35475-1,Genus
893,Tricalysia,sh/subsh/tr,Tricalysia,,,325987-2,Genus
894,Trichosandra,li,Trichosandra,,,3768-1,Genus
895,Trichostachys,subsh,Trichostachys,,,332030-2,Genus
896,Tridentapelia,sc,× Tridentapelia,,,60435744-2,Genus
897,Tridentea,sc,Tridentea,,,3770-1,Genus
898,Triflorensia,sh/subsh/tr,Triflorensia,,,60442357-2,Genus
899,Tromotriche,sc,Tromotriche,,,3774-1,Genus
900,Tulearia,subsh/sh,Tulearia,,,77178890-1,Genus
901,Tweedia,subsh,Tweedia,,,3777-1,Genus
902,Tylodontia,li/sh/subsh,Tylodontia,,,3778-1,Genus
903,Uncaria,li,Uncaria,,,327895-2,Genus
904,Urceola,li,Urceola,,,332043-2,Genus
905,Urophyllum,sh,Urophyllum,,,327899-2,Genus
906,Vahadenia,li,Vahadenia,,,2613-1,Genus
907,Vailia,li,Vailia,,,3785-1,Genus
908,Valantia,hb,Valantia,,,30049225-2,Genus
909,Vallaris,li,Vallaris,,,2616-1,Genus
910,Vallesia,sh,Vallesia,,,2617-1,Genus
911,Vangueria,sh/subsh/tr,Vangueria,,,35502-1,Genus
912,Vangueriella,sh/subsh/tr,Vangueriella,,,925313-1,Genus
913,Vangueriopsis,sh/subsh/tr,Vangueriopsis,,,35503-1,Genus
914,Vidalasia,tr/sh,Vidalasia,,,1004946-1,Genus
915,Villaria,sh/subsh/tr,Villaria,,,332050-2,Genus
916,Vinca,hb/subsh,Vinca,,,2619-1,Genus
917,Vincetoxicum,li,Vincetoxicum,,,30010004-2,Genus
918,Virectaria,hb/subsh,Virectaria,,,35514-1,Genus
919,Voacanga,tr,Voacanga,,,2620-1,Genus
920,Wandersong,sh/subsh/tr,Wandersong,,,77148157-1,Genus
921,Warszewiczia,tr/sh,Warszewiczia,,,35525-1,Genus
922,Wattakaka,li,Wattakaka,,,3796-1,Genus
923,Wendlandia,sh/tr,Wendlandia,,,327901-2,Genus
924,White-sloanea,sc,White-sloanea,,,3797-1,Genus
925,Willughbeia,li,Willughbeia,,,332064-2,Genus
926,Wittmackanthus,sh,Wittmackanthus,,,289055-2,Genus
927,Woodia,hb,Woodia,,,3799-1,Genus
928,Wrightia,tr,Wrightia,,,60443770-2,Genus
929,Xanthophytum,subsh,Xanthophytum,,,35539-1,Genus
930,Xantonneopsis,sh/subsh/tr,Xantonneopsis,,,35541-1,Genus
931,Xysmalobium,hb,Xysmalobium,,,3801-1,Genus
932,Zuccarinia,tr/sh,Zuccarinia,,,332077-2,Genus
933,Zygostelma,li,Zygostelma,,,3808-1,Genus
