,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,knapsack_snippet,powo_Snippet,Sources
157,79672-1,Landolphia owariensis,Landolphia owariensis,79672-1,Species,,,:Manual::
158,79721-1,Landolphia uniflora,Landolphia uniflora,79721-1,Species,,,:Manual::
159,324863-2,Laubertia boissieri,Laubertia boissieri,324863-2,Species,,,:Manual::
160,77143808-1,Leptadenia lanceolata,Leptadenia lanceolata,77143808-1,Species,,,:Manual::
161,98980-1,Leptadenia pyrotechnica,Leptadenia pyrotechnica,98980-1,Species,,,:Manual::
162,20009712-1,Leptadenia reticulata,Leptadenia reticulata,20009712-1,Species,,,:Manual::
163,77177343-1,Leuconotis eugeniifolia,Leuconotis eugeniifolia,77177343-1,Species,,,:Manual::
164,79773-1,Leuconotis griffithii,Leuconotis griffithii,79773-1,Species,"""['(-)-Eburnamine', '(-)-O-Methyleburnamine', '(+)-O-methylisoeburnamine']""",,:Manual:KNApSAcK:
165,79852-1,Macoubea guianensis,Macoubea guianensis,79852-1,Species,,,:Manual::
166,77165026-1,Macropharynx isthmica,Macropharynx isthmica,77165026-1,Species,,,:Manual::
167,77165028-1,Macropharynx peltata,Macropharynx peltata,77165028-1,Species,,,:Manual::
168,79888-1,Malouetia arborea,Malouetia arborea,79888-1,Species,,,:Manual::
169,79890-1,Malouetia bequaertiana,Malouetia bequaertiana,79890-1,Species,,,:Manual::
170,79898-1,Malouetia glandulifera,Malouetia glandulifera,79898-1,Species,,,:Manual::
171,79926-1,Malouetia tamaquarina,Malouetia tamaquarina,79926-1,Species,,,:Manual::
172,151935-2,Mandevilla boliviensis,Mandevilla boliviensis,151935-2,Species,,,:Manual::
173,99126-1,Marsdenia cundurango,Marsdenia cundurango,99126-1,Species,,,:Manual::
174,153556-2,Marsdenia edulis,Marsdenia edulis,153556-2,Species,,,:Manual::
175,99160-1,Marsdenia glabra,Marsdenia glabra,99160-1,Species,,,:Manual::
176,99198-1,Marsdenia latifolia,Marsdenia latifolia,99198-1,Species,,,:Manual::
177,99275-1,Marsdenia rostrata,Marsdenia rostrata,99275-1,Species,"""['Rostratamine']""",,:Manual:KNApSAcK:
178,99319-1,Marsdenia tenacissima,Marsdenia tenacissima,99319-1,Species,,,:Manual::
179,99325-1,Marsdenia tinctoria,Marsdenia tinctoria,99325-1,Species,,,:Manual::
180,80158-1,Melodinus acutiflorus,Melodinus acutiflorus,80158-1,Species,,,:Manual::
181,80160-1,Melodinus aeneus,Melodinus aeneus,80160-1,Species,"""['Lochnericine', '(-)-Hazuntine', '11-Methoxytabersonine', '(+)-14,15-Dehydro-16-epivincamine', '14,15-Dehydro-16-epi-vincine']""",,:Manual:KNApSAcK:
182,80164-1,Melodinus australis,Melodinus australis,80164-1,Species,,,:Manual::
183,80166-1,Melodinus axillaris,Melodinus axillaris,80166-1,Species,,,:Manual::
184,80169-1,Melodinus balansae,Melodinus balansae,80169-1,Species,"""['(-)-Venalstonidine', '(-)-Venalstonine', '(+)-Ajmaline', 'Paucivenine']""",,:Manual:KNApSAcK:
185,80183-1,Melodinus cochinchinensis,Melodinus cochinchinensis,80183-1,Species,,,:Manual::
186,80201-1,Melodinus fusiformis,Melodinus fusiformis,80201-1,Species,"""['(-)-Kopsinine', '11-Methoxytabersonine', 'Vindoline', '(-)-Venalstonine', '11-Hydroxytabersonine', '(+)-Scandine', '10-Hydroxyscandine', '11,19R-Dihydroxytabersonine', '11-Hydroxy-14,15-epoxytabersonine', 'Scandine N-oxide']""",,:Manual:KNApSAcK:
187,80246-1,Melodinus philliraeoides,Melodinus philliraeoides,80246-1,Species,,,:Manual::
188,80249-1,Melodinus reticulatus,Melodinus reticulatus,80249-1,Species,"""['(-)-Kopsinine', '11-Methoxytabersonine', '(-)-Venalstonidine', '(-)-Venalstonine', '19beta-Hydroxyvenalstonidine', '19beta-Hydroxyvenalstonine', '3-Oxovenalstonidine']""",,:Manual:KNApSAcK:
189,80253-1,Melodinus scandens,Melodinus scandens,80253-1,Species,"""['Lochnericine', '3-Oxotabersonine', '(+)-14,15-Dehydro-16-epivincamine', '(-)-Venalstonidine', '(-)-Venalstonine', '19R-Hydroxytabersonine', '(-)-Vincadifformine', '(+)-Scandine', '19S-Acetoxy-3-oxotabersonine', '19S-Acetoxytabersonine', 'Meloscandonine', 'Meloscine']""",,:Manual:KNApSAcK:
190,80259-1,Melodinus tenuicaudatus,Melodinus tenuicaudatus,80259-1,Species,"""['(-)-Hazuntine', '11-Methoxytabersonine', 'Vindolinine', '11-Hydroxytabersonine', '19-Epivindolinine N-oxide', 'Vindolinine N-oxide', '(+)-Scandine', '10-Hydroxyscandine', '(+)-Tenuicausine']""",,:Manual:KNApSAcK:
191,280817-2,Metastelma harleyi,Metastelma harleyi,280817-2,Species,,,:Manual::
192,80344-1,Microplumeria anomala,Microplumeria anomala,80344-1,Species,"""['12-O-Methylanomaline', 'Demethoxyanomaline']""",,:Manual:KNApSAcK:
193,77074595-1,Minaria magisteriana,Minaria magisteriana,77074595-1,Species,,,:Manual::
194,80460-1,Nerium oleander,Nerium oleander,80460-1,Species,,,:Manual::
195,80488-1,Ochrosia alyxioides,Ochrosia alyxioides,80488-1,Species,,,:Manual::
196,80497-1,Ochrosia compta,Ochrosia compta,80497-1,Species,,,:Manual::
197,80524-1,Ochrosia miana,Ochrosia miana,80524-1,Species,"""['Ochrolifuanine A']""",,:Manual:KNApSAcK:
198,80527-1,Ochrosia moorei,Ochrosia moorei,80527-1,Species,"""['(-)-Apparicine', 'Ellipticine', '9-Methoxyellipticine', 'Desoxycordifoline', 'Ochrosamine A', 'Ochrosamine B']""",,:Manual:KNApSAcK:
199,80530-1,Ochrosia nakaiana,Ochrosia nakaiana,80530-1,Species,,,:Manual::
200,80538-1,Ochrosia poweri,Ochrosia poweri,80538-1,Species,"""['Reserpiline', 'Poweridine', 'Powerine']""",,:Manual:KNApSAcK:
201,80487-1,Ochrosia acuminata,Ochrosia acuminata,80487-1,Species,"""['(+)-Quebrachidine', 'Isoreserpiline', 'Ellipticine', 'Reserpiline', 'Polyneuridine-N-oxide', 'Strictosamide', '9-Methoxyellipticine', 'Voachalotine']""",,:Manual:KNApSAcK:
202,80491-1,Ochrosia borbonica,Ochrosia borbonica,80491-1,Species,,,:Manual::
203,80500-1,Ochrosia elliptica,Ochrosia elliptica,80500-1,Species,"""['Norfluorocurarine', 'Tetrahydroalstonine', '(-)-Apparicine', 'Ellipticine', 'Pleiocarpamine']""",,:Manual:KNApSAcK:
204,80528-1,Ochrosia mulsantii,Ochrosia mulsantii,80528-1,Species,,,:Manual::
205,80534-1,Ochrosia oppositifolia,Ochrosia oppositifolia,80534-1,Species,,,:Manual::
206,80545-1,Ochrosia silvatica,Ochrosia silvatica,80545-1,Species,,,:Manual::
207,80635-1,Oncinotis nitida,Oncinotis nitida,80635-1,Species,,,:Manual::
208,80641-1,Oncinotis tenuiloba,Oncinotis tenuiloba,80641-1,Species,,,:Manual::
209,179274-2,Oxypetalum banksii,Oxypetalum banksii,179274-2,Species,,,:Manual::
210,80705-1,Pachypodium lamerei,Pachypodium lamerei,80705-1,Species,,,:Manual::
211,182946-2,Parahancornia fasciculata,Parahancornia fasciculata,182946-2,Species,,,:Manual::
212,80868-1,Parsonsia alboflavescens,Parsonsia alboflavescens,80868-1,Species,"""['Homospermidine']""",,:Manual:KNApSAcK:
213,80910-1,Parsonsia eucalyptophylla,Parsonsia eucalyptophylla,80910-1,Species,"""['Lycopsamine']""",,:Manual:KNApSAcK:
214,80926-1,Parsonsia heterophylla,Parsonsia heterophylla,80926-1,Species,"""['Parsonsine']""",,:Manual:KNApSAcK:
215,995742-1,Parsonsia oligantha,Parsonsia oligantha,995742-1,Species,,,:Manual::
216,50061-3,Parsonsia straminea,Parsonsia straminea,50061-3,Species,"""['Lycopsamine']""",,:Manual:KNApSAcK:
217,77174448-1,Pattalias palustris,Pattalias palustris,77174448-1,Species,,,:Manual::
218,100315-1,Pentatropis capensis,Pentatropis capensis,100315-1,Species,,,:Manual::
219,77130384-1,Peplonia adnata,Peplonia adnata,77130384-1,Species,,,:Manual::
220,77064982-1,Peplonia axillaris,Peplonia axillaris,77064982-1,Species,,,:Manual::
221,100371-1,Pergularia daemia,Pergularia daemia,100371-1,Species,,,:Manual::
222,77172919-1,Pergularia daemia subsp. daemia,Pergularia daemia,100371-1,Subspecies,,,:Manual::
223,100411-1,Pergularia tomentosa,Pergularia tomentosa,100411-1,Species,,,:Manual::
224,100463-1,Periploca hydaspidis,Periploca hydaspidis,100463-1,Species,,,:Manual::
225,81104-1,Petchia ceylanica,Petchia ceylanica,81104-1,Species,"""['Lochnericine', '19R-Hydroxypachysiphine', 'Petchicine']""",,:Manual:KNApSAcK:
226,997251-1,Petchia cryptophlebia,Petchia cryptophlebia,997251-1,Species,,,279.0:Manual::
227,81115-1,Picralima nitida,Picralima nitida,81115-1,Species,,,:Manual::
228,81143-1,Pleiocarpa mutica,Pleiocarpa mutica,81143-1,Species,"""['(-)-Kopsinine', '(+)-Eburnamenine', 'Pleiocarpamine', 'Pleiocarpine', 'Kopsinoline', '(-)-Pleiomutine']""",,:Manual:KNApSAcK:
229,81144-1,Pleiocarpa pycnantha,Pleiocarpa pycnantha,81144-1,Species,"""['(-)-Eburnamine']""",,:Manual:KNApSAcK:
230,81145-1,Pleiocarpa rostrata,Pleiocarpa rostrata,81145-1,Species,,,:Manual::
231,81155-1,Pleioceras barteri,Pleioceras barteri,81155-1,Species,,,:Manual::
232,81256-1,Plumeria obtusa,Plumeria obtusa,81256-1,Species,,,:Manual::
233,81268-1,Plumeria pudica,Plumeria pudica,81268-1,Species,,,:Manual::
234,81275-1,Plumeria rubra,Plumeria rubra,81275-1,Species,,,:Manual::
235,204004-2,Plumeria sericifolia,Plumeria sericifolia,204004-2,Species,,,:Manual::
236,60436267-2,Prestonia amabilis,Prestonia amabilis,60436267-2,Species,,,:Manual::
237,81326-1,Prestonia amazonica,Prestonia amazonica,81326-1,Species,"""['N,N-Dimethyltryptamine']""",,:Manual:KNApSAcK:
238,1006675-1,Prestonia erecta,Prestonia erecta,1006675-1,Species,,,:Manual::
239,210135-2,Prestonia portobellensis,Prestonia portobellensis,210135-2,Species,,,:Manual::
240,81405-1,Prestonia quinquangularis,Prestonia quinquangularis,81405-1,Species,,,:Manual::
241,210124-2,Prestonia megagros,Prestonia megagros,210124-2,Species,,,:Manual::
242,1007058-1,Pteralyxia laurifolia,Pteralyxia laurifolia,1007058-1,Species,,,:Manual::
243,81591-1,Rauvolfia mombasiana,Rauvolfia mombasiana,81591-1,Species,"""['(+)-Ajmaline', '(+)-Purpeline', '(+/-)-Norpurpeline', 'Endolobine', 'Nortetraphyllicine', '(+)-Vomalidine']""",,:Manual:KNApSAcK:
244,217935-2,Rauvolfia pentaphylla,Rauvolfia pentaphylla,217935-2,Species,,,:Manual::
245,81642-1,Rauvolfia sandwicensis,Rauvolfia sandwicensis,81642-1,Species,"""['(+)-Sandwicine']""",,:Manual:KNApSAcK:
246,81652-1,Rauvolfia sprucei,Rauvolfia sprucei,81652-1,Species,"""['(+)-Perakine']""",,:Manual:KNApSAcK:
247,81660-1,Rauvolfia sumatrana,Rauvolfia sumatrana,81660-1,Species,"""['(+)-Perakine', '(+)-Norseredamine', '(-)-Flexicorine']""",,:Manual:KNApSAcK:
248,81663-1,Rauvolfia tetraphylla,Rauvolfia tetraphylla,81663-1,Species,"""['(+)-Ajmaline']""",,:Manual:KNApSAcK:
249,81667-1,Rauvolfia verticillata,Rauvolfia verticillata,81667-1,Species,"""['Reserpine', 'Vellosimine', '(+)-Ajmaline', 'Raucaffricine', 'Macrospegatrine', '7-Hydroxynoracronycine']""",,:Manual:KNApSAcK:
250,81673-1,Rauvolfia vomitoria,Rauvolfia vomitoria,81673-1,Species,"""['(+)-Quebrachidine', 'Alstonine', 'Quaternine', 'Sarpagine', 'Tetrahydroalstonine', '(+)-Raucaffrinoline', 'Reserpine', '(+)-Perakine', 'Yohimbine', '(+)-Ajmaline', '(+)-Purpeline', '(+/-)-Norpurpeline', '(+)-Seredamine', 'Vomilenine', '17-O-Acetylajmaline', '(+)-Sandwicine', 'Endolobine', 'Nortetraphyllicine', '(+)-Vomalidine', 'Rescinnamine', '(+)-Norajmaline', '(+)-Isoajmaline', '(+)-Isosandwicine', 'Ajmalimine', '(+)-Norseredamine', '(+)-Mitoridine', 'Vincamajoreine', '10-Hydroxynortetraphyllicine', 'Norrauvomitine', '(-)-Rauvomitine']""",,:Manual:KNApSAcK:
251,81712-1,Rhazya stricta,Rhazya stricta,81712-1,Species,"""['Strictamine', 'Strictosidine', 'Akuammidine', 'Deacetylakuammiline', '(-)-Quebrachamine', '(+)-Eburnamenine', 'Antirhine', 'Rhazidine', 'Rhazinaline', '(+)-Vincadifformine', '5alpha-Carboxystrictosidine']""",,:Manual:KNApSAcK:
252,81764-1,Schizozygia coffeoides,Schizozygia coffeoides,81764-1,Species,,,:Manual::
253,77079518-1,Secamone afzelii,Secamone afzelii,77079518-1,Species,,,:Manual::
254,101298-1,Secamone alpini,Secamone alpini,101298-1,Species,,,:Manual::
255,81785-1,Skytanthus acutus,Skytanthus acutus,81785-1,Species,"""['beta-Skytanthine']""",,:Manual:KNApSAcK:
256,101435-1,Solenostemma oleifolium,Solenostemma oleifolium,101435-1,Species,,,:Manual::
257,101613-1,Stapelia hirsuta,Stapelia hirsuta,101613-1,Species,"""['Hordenine', 'Tyramine']""",,:Manual:KNApSAcK:
258,81849-1,Strempeliopsis strempelioides,Strempeliopsis strempelioides,81849-1,Species,"""['Condylocarpine', 'Stemmadenine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine', '(-)-Aspidospermine', 'Pleiocarpamine', '(+)-Eburnamonine', 'Aspidosine', 'Vallesine', '(-)-Strempeliopine', '(-)-Vallesamidine', '(+)-Strempeliopidine']""",,:Manual:KNApSAcK:
259,81900-1,Strophanthus hispidus,Strophanthus hispidus,81900-1,Species,,,:Manual::
260,81964-1,Strophanthus wallichii,Strophanthus wallichii,81964-1,Species,,,:Manual::
261,81992-1,Tabernaemontana alternifolia,Tabernaemontana alternifolia,81992-1,Species,,,:Manual::
262,248839-2,Tabernaemontana arborea,Tabernaemontana arborea,248839-2,Species,"""['Voacangine', 'Isovoacangine', 'Voacamine', '19-Epivoacorine']""",,:Manual:KNApSAcK:
263,82026-1,Tabernaemontana bovina,Tabernaemontana bovina,82026-1,Species,"""['Ibogaine', 'Ibogaline', 'Isovoacristine', '(-)-Mehranine', 'Tabernaebovine', '20-Hydroxyconopharyngine', '3-Oxomehranine', 'Hecubine', 'Pedunculine']""",,:Manual:KNApSAcK:
264,82034-1,Tabernaemontana bufalina,Tabernaemontana bufalina,82034-1,Species,"""['Perivine', 'Heyneanine', 'Coronaridine hydroxyindolenine', '10-Hydroxyheyneanine', '3-Oxocoronaridine', 'Ervahanine A', 'Ervahanine B', 'Ervahanine C']""",,:Manual:KNApSAcK:
265,82043-1,Tabernaemontana catharinensis,Tabernaemontana catharinensis,82043-1,Species,"""['(-)-Coronaridine', 'Voacangine', 'Heyneanine']""",,:Manual:KNApSAcK:
266,248849-2,Tabernaemontana coriacea,Tabernaemontana coriacea,248849-2,Species,,,:Manual::
267,60466167-2,Tabernaemontana corymbosa,Tabernaemontana corymbosa,60466167-2,Species,"""['Ervahanine A', 'Jerantinine A', 'Jerantinine B', 'Jerantinine C', 'Jerantinine D', 'Jerantinine E', 'Jerantinine F', 'Jerantinine G', '19(S)-Hydroxyibogamine', '19-epi-Isovoacristine', 'Isovoacryptine', 'Jerantinine H', 'Jerantiphylline A', 'Jerantiphylline B']""",,:Manual:KNApSAcK:
268,82084-1,Tabernaemontana cymosa,Tabernaemontana cymosa,82084-1,Species,,,:Manual::
269,82097-1,Tabernaemontana divaricata,Tabernaemontana divaricata,82097-1,Species,"""['Lochnericine', '(-)-Apparicine', 'Voacangine', 'Dregamine', 'Tabernaemontanine', 'Voacristine', 'Isovoacangine', 'Coronaridine hydroxyindolenine', 'Isovoacristine', '3-Oxocoronaridine', 'Voaphylline', '5-Oxocoronaridine', 'Voaphylline hydroxyindolenine', 'Pachysiphine', 'Voaharine', '5-Hydroxy-6-oxocoronaridine', '6-Oxocoronaridine', 'Voafinine']""",,:Manual:KNApSAcK:
270,248857-2,Tabernaemontana donnell-smithii,Tabernaemontana donnell-smithii,248857-2,Species,,,:Manual::
271,82109-1,Tabernaemontana elegans,Tabernaemontana elegans,82109-1,Species,"""['Tubotaiwine', '(-)-Apparicine', 'Vobasine', 'Dregamine', 'Isovoacangine', 'Tabernaelegantine A', 'Tabernine A', 'Tabernine B', 'Tabernine C']""",,:Manual:KNApSAcK:
272,82146-1,Tabernaemontana heterophylla,Tabernaemontana heterophylla,82146-1,Species,,,:Manual::
273,82157-1,Tabernaemontana hystrix,Tabernaemontana hystrix,82157-1,Species,,,:Manual::
274,82175-1,Tabernaemontana laeta,Tabernaemontana laeta,82175-1,Species,"""['Normacusine B']""",,:Manual:KNApSAcK:
275,288916-2,Tabernaemontana markgrafiana,Tabernaemontana markgrafiana,288916-2,Species,"""['(-)-Coronaridine', 'Ibogamine', 'Voacangine']""",,:Manual:KNApSAcK:
276,82263-1,Tabernaemontana pachysiphon,Tabernaemontana pachysiphon,82263-1,Species,"""['Normacusine B', '16R,19E-Isositsirikine', 'Lochnericine', 'Tubotaiwine', '(-)-Apparicine', 'Voacangine', 'Pericyclivine', 'Perivine', 'Isovoacangine', 'Voacamine', 'Conopharyngine', 'Conopharyngine hydroxyindolenine', 'Ibogaline', '3-Oxocoronaridine', 'Conoduramine', 'Pachysiphine', '11-Demethylconoduramine', '16-Epiaffinine', '16-Epiisositsirikine', 'Conopharyngine pseudoindoxyl', '19S-Hydroxyconopharyngine']""",,:Manual:KNApSAcK:
277,82269-1,Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,82269-1,Species,"""['Tabernaemontanine', 'Isovoacangine', 'Isovoacristine', 'Pandine', 'Tacamine', '20-Epilochneridine', '3-Epiervafolidine', 'Ervafolidine', 'Ervafoline']""",,:Manual:KNApSAcK:
278,82327-1,Tabernaemontana sananho,Tabernaemontana sananho,82327-1,Species,"""['Voacangine', 'Heyneanine', '3-Hydroxycoronaridine']""",,:Manual:KNApSAcK:
279,82330-1,Tabernaemontana sessilifolia,Tabernaemontana sessilifolia,82330-1,Species,"""['(-)-Apparicine', 'Dregamine', 'Tabernaemontanine', 'Isovoacangine', '6-Hydroxy-3-oxoisovoacangine']""",,:Manual:KNApSAcK:
280,20001045-1,Tabernaemontana siphilitica,Tabernaemontana siphilitica,20001045-1,Species,"""['Tetrahydroalstonine', 'Tubotaiwine', '(-)-Apparicine', '(-)-Vincadifformine', 'Voacangine', 'Pleiocarpamine', 'Isovoacangine', '(-)-12-Hydroxyvincadifformine', 'Bonafousine', 'Isobonafousine', 'Tetrastachynine']""",,:Manual:KNApSAcK:
281,82334-1,Tabernaemontana solanifolia,Tabernaemontana solanifolia,82334-1,Species,,,:Manual::
282,82342-1,Tabernaemontana stapfiana,Tabernaemontana stapfiana,82342-1,Species,,,:Manual::
283,81985-1,Tabernaemontana alba,Tabernaemontana alba,81985-1,Species,,,:Manual::
284,81996-1,Tabernaemontana amygdalifolia,Tabernaemontana amygdalifolia,81996-1,Species,"""['Cylindrocarpidine', 'Homocylindrocarpidine', 'O-Demethylpalosine']""",,:Manual:KNApSAcK:
285,82002-1,Tabernaemontana angulata,Tabernaemontana angulata,82002-1,Species,,,:Manual::
286,82055-1,Tabernaemontana citrifolia,Tabernaemontana citrifolia,82055-1,Species,"""['Lochnericine', 'Vallesamine', '(-)-Apparicine', 'Voacangine', 'Voacangine hydroxyindolenine', 'Voacristine', '20-Epipandoline', 'Pandine', 'Pandoline', '3-Oxovoacangine']""",,:Manual:KNApSAcK:
287,82322-1,Tabernaemontana rupicola,Tabernaemontana rupicola,82322-1,Species,"""['Voacangine pseudoindoxyl', 'Montanine']""",,:Manual:KNApSAcK:
288,82325-1,Tabernaemontana salzmannii,Tabernaemontana salzmannii,82325-1,Species,,,:Manual::
289,56090-1,Tabernanthe iboga,Tabernanthe iboga,56090-1,Species,"""['(-)-Coronaridine', 'Ibogamine', 'Ibophyllidine', 'Ibogaine', 'Tabernanthine']""",,:Manual:KNApSAcK:
290,102161-1,Telosma pallida,Telosma pallida,102161-1,Species,,,:Manual::
291,1007869-1,Temnadenia odorifera,Temnadenia odorifera,1007869-1,Species,,,:Manual::
292,1039841-2,Temnadenia violacea,Temnadenia violacea,1039841-2,Species,,,:Manual::
293,82553-1,Trachelospermum jasminoides,Trachelospermum jasminoides,82553-1,Species,"""['Voacangine', 'Vobasine', 'Ibogaine']""",,:Manual:KNApSAcK:
294,77186121-1,Urceola polymorpha,Urceola polymorpha,77186121-1,Species,,,:Manual::
295,82646-1,Vallaris glabra,Vallaris glabra,82646-1,Species,,,:Manual::
296,82660-1,Vallaris solanacea,Vallaris solanacea,82660-1,Species,,,:Manual::
297,82668-1,Vallesia glabra,Vallesia glabra,82668-1,Species,"""['(-)-Aspidospermine', '(-)-Vincadifformine', 'Haplocidine', 'Vallesine', '1-Acetylaspidoalbidine', '18-Oxohaplocidine']""",,:Manual:KNApSAcK:
298,82686-1,Vinca erecta,Vinca erecta,82686-1,Species,"""['Normacusine B', 'Norfluorocurarine', 'Skimmianine', '(-)-Akuammicine:Akuammicine', 'Picrinine', '(-)-Kopsinine', '(-)-Eburnamine', 'Isoreserpiline', '(-)-Quebrachamine', 'Vincamine', '(+)-Minovincinine', 'Rauniticine', 'Vincanidine', 'Akuammine', 'Apovincamine', '(+)-Vincarine', '(-)-Majoridine', '(+)-10-Methoxyvinorine', 'Dihydrovindolinine']""",,:Manual:KNApSAcK:
299,82691-1,Vinca herbacea,Vinca herbacea,82691-1,Species,"""['(-)-Vincamajine', 'Skimmianine', '(-)-Akuammicine:Akuammicine', '(-)-Kopsinine', 'Tabersonine', 'Serpentine', 'Vincamine', 'Akuammine', '(+)-Vincarine', '11-Methoxyvincadifformine', 'Isomajdine']""",,:Manual:KNApSAcK:
300,82697-1,Vinca major,Vinca major,82697-1,Species,"""['(-)-Vincamajine', '(-)-Vincamedine', 'Serpentine', 'Vincamine', 'Vincamajoreine', 'Akuammine', '(+)-Vincarine', '(-)-Majoridine', '(+)-10-Methoxyvinorine', 'Isomajdine', '10-Methoxyvomilenine', '(-)-Vincamajinine', '(-)-10-Methoxyperakine', '(-)-Vincawajine', 'Majdine']""",,:Manual:KNApSAcK:
301,82701-1,Vinca minor,Vinca minor,82701-1,Species,"""['Vincorine', 'Strictamine', 'Vincoridine', '(-)-Vinorine', 'Vincadine', '(+)-Eburnamenine', 'Vincamine', 'Vincristine', '(+)-Minovincinine', '(+)-Isoeburnamine', '11-Methoxyvincadifformine', 'Eburnamonine', '(-)-11-Methoxyeburnamonine', '(-)-16-Epivincamine', '(+)-Vincaminine', '(+)-Vincinine', 'Minovincine']""",,:Manual:KNApSAcK:
302,102680-1,Vincetoxicum auriculatum,Vincetoxicum auriculatum,102680-1,Species,,,:Manual::
303,102744-1,Vincetoxicum dalzellii,Vincetoxicum dalzellii,102744-1,Species,,,:Manual::
304,946558-1,Vincetoxicum forrestii,Vincetoxicum forrestii,946558-1,Species,,,:Manual::
305,102810-1,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,102810-1,Species,,,:Manual::
306,102881-1,Vincetoxicum mongolicum,Vincetoxicum mongolicum,102881-1,Species,,,:Manual::
307,102886-1,Vincetoxicum mukdenense,Vincetoxicum mukdenense,102886-1,Species,,,:Manual::
308,1088174-2,Vincetoxicum nigrum,Vincetoxicum nigrum,1088174-2,Species,,,:Manual::
309,102946-1,Vincetoxicum pumilum,Vincetoxicum pumilum,102946-1,Species,,,:Manual::
310,60456000-2,Vincetoxicum rossicum,Vincetoxicum rossicum,60456000-2,Species,,,:Manual::
311,946571-1,Vincetoxicum spirale,Vincetoxicum spirale,946571-1,Species,,,:Manual::
312,103006-1,Vincetoxicum tanakae,Vincetoxicum tanakae,103006-1,Species,,,:Manual::
313,82719-1,Voacanga africana,Voacanga africana,82719-1,Species,"""['Lochnericine', 'Tabersonine', '(+)-Perakine', '(+)-Minovincinine', 'Voacangine', 'Vobasine', 'Voacangine hydroxyindolenine', 'Voacangine pseudoindoxyl', 'Voacristine', 'Voacristine hydroxyindolenine', 'Voacamine', 'Voacorine', 'Voaphylline', 'Vobtusine', 'Voacamidine']""",,:Manual:KNApSAcK:
314,82725-1,Voacanga bracteata,Voacanga bracteata,82725-1,Species,,,:Manual::
315,82727-1,Voacanga chalotiana,Voacanga chalotiana,82727-1,Species,"""['Voachalotine', 'Voacarpine', '(-)-Cuanzine', '(-)-Decarbomethoxycuanzine', '(+)-Dehydrovoachalotine']""",,:Manual:KNApSAcK:
316,82734-1,Voacanga foetida,Voacanga foetida,82734-1,Species,,,:Manual::
317,82738-1,Voacanga globosa,Voacanga globosa,82738-1,Species,"""['Voacamine']""",,:Manual:KNApSAcK:
318,82740-1,Voacanga grandifolia,Voacanga grandifolia,82740-1,Species,,,:Manual::
319,82748-1,Voacanga megacarpa,Voacanga megacarpa,82748-1,Species,,,:Manual::
320,82760-1,Voacanga thouarsii,Voacanga thouarsii,82760-1,Species,"""['Voacamine', 'Ibogaine']""",,:Manual:KNApSAcK:
321,103061-1,Wattakaka volubilis,Wattakaka volubilis,103061-1,Species,,,:Manual::
322,82830-1,Wrightia antidysenterica,Wrightia antidysenterica,82830-1,Species,,,:Manual::
323,82831-1,Wrightia arborea,Wrightia arborea,82831-1,Species,,,:Manual::
324,82847-1,Wrightia dubia,Wrightia dubia,82847-1,Species,,,:Manual::
325,77105152-1,Wrightia karaketii,Wrightia karaketii,77105152-1,Species,,,:Manual::
326,60452495-2,Wrightia pubescens subsp. laniti,Wrightia pubescens,82875-1,Subspecies,,,:Manual::
327,60452497-2,Wrightia pubescens subsp. penicillata,Wrightia pubescens,82875-1,Subspecies,,,:Manual::
328,82890-1,Wrightia tinctoria,Wrightia tinctoria,82890-1,Species,"""['Tryptanthrin']""",,:Manual:KNApSAcK:
329,742903-1,Adina cordifolia,Adina cordifolia,742903-1,Species,"""['Adifoline', 'Cadambine', 'Cordifoline']""",,:Manual:KNApSAcK:
330,77142551-1,Adina eurhyncha,Adina eurhyncha,77142551-1,Species,,,:Manual::
331,742920-1,Adina multifolia,Adina multifolia,742920-1,Species,,,:Manual::
332,742927-1,Adina pilulifera,Adina pilulifera,742927-1,Species,,,:Manual::
333,742932-1,Adina rubella,Adina rubella,742932-1,Species,,,:Manual::
334,742939-1,Adina trichotoma,Adina trichotoma,742939-1,Species,,,:Manual::
335,743001-1,Alibertia edulis,Alibertia edulis,743001-1,Species,,,:Manual::
336,743041-1,Alseis blackiana,Alseis blackiana,743041-1,Species,,,:Manual::
337,77124830-1,Amaioua glomerulata,Amaioua glomerulata,77124830-1,Species,,,:Manual::
338,743074-1,Amaioua guianensis,Amaioua guianensis,743074-1,Species,,,:Manual::
339,10564-2,Amaioua magnicarpa,Amaioua magnicarpa,10564-2,Species,,,:Manual::
340,10566-2,Amaioua pedicellata,Amaioua pedicellata,10566-2,Species,,,:Manual::
341,752116-1,Guettardella putaminosa,Guettardella putaminosa,752116-1,Species,,,:Manual::
342,17333-2,Arachnothryx bertieroides,Arachnothryx bertieroides,17333-2,Species,,,:Manual::
343,743548-1,Arachnothryx buddleioides,Arachnothryx buddleioides,743548-1,Species,,,:Manual::
344,17383-2,Arachnothryx secunda,Arachnothryx secunda,17383-2,Species,,,:Manual::
345,743605-1,Arcytophyllum lavarum,Arcytophyllum lavarum,743605-1,Species,,,:Manual::
