,alks,Reason,Source
382,Kopsimaline A,Contains Nitrogen and ine at end of word,KNApSAcK
383,Kopsimaline B,Contains Nitrogen and ine at end of word,KNApSAcK
384,Kopsimaline C,Contains Nitrogen and ine at end of word,KNApSAcK
385,Kopsimaline D,Contains Nitrogen and ine at end of word,KNApSAcK
386,Kopsimaline E,Contains Nitrogen and ine at end of word,KNApSAcK
387,Kopsinicine,Contains Nitrogen and ine at end of word,KNApSAcK
388,Vincophylline,Contains Nitrogen and ine at end of word,KNApSAcK
389,Lundurine A,Contains Nitrogen and ine at end of word,KNApSAcK
390,Lundurine B,Contains Nitrogen and ine at end of word,KNApSAcK
391,Lundurine C,Contains Nitrogen and ine at end of word,KNApSAcK
392,Tenuisine A,Contains Nitrogen and ine at end of word,KNApSAcK
393,Tenuisine B,Contains Nitrogen and ine at end of word,KNApSAcK
394,Tenuisine C,Contains Nitrogen and ine at end of word,KNApSAcK
395,Kopsaporine,Contains Nitrogen and ine at end of word,KNApSAcK
396,Kopsidine A,Contains Nitrogen and ine at end of word,KNApSAcK
397,Kopsidine B,Contains Nitrogen and ine at end of word,KNApSAcK
398,Kopsidine C,Contains Nitrogen and ine at end of word,KNApSAcK
399,Kopsinginine,Contains Nitrogen and ine at end of word,KNApSAcK
400,Kopsinitarine A,Contains Nitrogen and ine at end of word,KNApSAcK
401,Kopsinitarine B,Contains Nitrogen and ine at end of word,KNApSAcK
402,Kopsinitarine C,Contains Nitrogen and ine at end of word,KNApSAcK
403,Kopsinitarine D,Contains Nitrogen and ine at end of word,KNApSAcK
404,Mersingine A,Contains Nitrogen and ine at end of word,KNApSAcK
405,Mersingine B,Contains Nitrogen and ine at end of word,KNApSAcK
406,(+)-O-methylisoeburnamine,Contains Nitrogen and ine at end of word,KNApSAcK
407,(+)-Ajmaline,Contains Nitrogen and ine at end of word,KNApSAcK
408,Paucivenine,Contains Nitrogen and ine at end of word,KNApSAcK
409,(+)-Scandine,Contains Nitrogen and ine at end of word,KNApSAcK
410,10-Hydroxyscandine,Contains Nitrogen and ine at end of word,KNApSAcK
411,"11,19R-Dihydroxytabersonine",Contains Nitrogen and ine at end of word,KNApSAcK
412,"11-Hydroxy-14,15-epoxytabersonine",Contains Nitrogen and ine at end of word,KNApSAcK
413,Scandine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
414,19beta-Hydroxyvenalstonidine,Contains Nitrogen and ine at end of word,KNApSAcK
415,19beta-Hydroxyvenalstonine,Contains Nitrogen and ine at end of word,KNApSAcK
416,3-Oxovenalstonidine,Contains Nitrogen and ine at end of word,KNApSAcK
417,19S-Acetoxy-3-oxotabersonine,Contains Nitrogen and ine at end of word,KNApSAcK
418,19S-Acetoxytabersonine,Contains Nitrogen and ine at end of word,KNApSAcK
419,Meloscandonine,Contains Nitrogen and ine at end of word,KNApSAcK
420,Meloscine,Contains Nitrogen and ine at end of word,KNApSAcK
421,(+)-Tenuicausine,Contains Nitrogen and ine at end of word,KNApSAcK
422,12-O-Methylanomaline,Contains Nitrogen and ine at end of word,KNApSAcK
423,Demethoxyanomaline,Contains Nitrogen and ine at end of word,KNApSAcK
424,Reserpiline,Contains Nitrogen and ine at end of word,KNApSAcK
425,Polyneuridine-N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
426,Strictosamide,Kegg Brite,KNApSAcK
427,9-Methoxyellipticine,Contains Nitrogen and ine at end of word,KNApSAcK
428,Voachalotine,Contains Nitrogen and ine at end of word,KNApSAcK
429,Desoxycordifoline,Contains Nitrogen and ine at end of word,KNApSAcK
430,Ochrosamine A,Contains Nitrogen and ine at end of word,KNApSAcK
431,Ochrosamine B,Contains Nitrogen and ine at end of word,KNApSAcK
432,Poweridine,Contains Nitrogen and ine at end of word,KNApSAcK
433,Powerine,Contains Nitrogen and ine at end of word,KNApSAcK
434,Homospermidine,Contains Nitrogen and ine at end of word,KNApSAcK
435,Lycopsamine,Kegg Brite,KNApSAcK
436,Parsonsine,Kegg Brite,KNApSAcK
437,19R-Hydroxypachysiphine,Contains Nitrogen and ine at end of word,KNApSAcK
438,Petchicine,Contains Nitrogen and ine at end of word,KNApSAcK
439,(-)-Pleiomutine,Contains Nitrogen and ine at end of word,KNApSAcK
440,"N,N-Dimethyltryptamine",Kegg Brite,KNApSAcK
441,(+)-Purpeline,Contains Nitrogen and ine at end of word,KNApSAcK
442,(+/-)-Norpurpeline,Contains Nitrogen and ine at end of word,KNApSAcK
443,(+)-Seredamine,Contains Nitrogen and ine at end of word,KNApSAcK
444,(+)-12-methoxyaffinisine,Contains Nitrogen and ine at end of word,KNApSAcK
445,12-Methoxy-Na-methylvellosimine,Contains Nitrogen and ine at end of word,KNApSAcK
446,12-Methoxy-vellosimine,Contains Nitrogen and ine at end of word,KNApSAcK
447,Demethoxypurpeline,Contains Nitrogen and ine at end of word,KNApSAcK
448,"19,20-Dihydrovomilenine",Contains Nitrogen and ine at end of word,KNApSAcK
449,Vomilenine,Kegg Brite,KNApSAcK
450,"17,21-O,O-Diacetylajmaline",Contains Nitrogen and ine at end of word,KNApSAcK
451,17-O-Acetylajmaline,Contains Nitrogen and ine at end of word,KNApSAcK
452,Raucaffricine,Kegg Brite,KNApSAcK
453,Raucaffriline,Contains Nitrogen and ine at end of word,KNApSAcK
454,Deserpidine,Kegg Brite,KNApSAcK
455,(+)-Sandwicine,Contains Nitrogen and ine at end of word,KNApSAcK
456,Darcyribeirine,Contains Nitrogen and ine at end of word,KNApSAcK
457,(+)-Mauiensine,Contains Nitrogen and ine at end of word,KNApSAcK
458,(+)-12-Hydroxymauiensine,Contains Nitrogen and ine at end of word,KNApSAcK
459,Endolobine,Contains Nitrogen and ine at end of word,KNApSAcK
460,Nortetraphyllicine,Contains Nitrogen and ine at end of word,KNApSAcK
461,(+)-Vomalidine,Contains Nitrogen and ine at end of word,KNApSAcK
462,Rescinnamine,Kegg Brite,KNApSAcK
463,(+)-Norajmaline,Contains Nitrogen and ine at end of word,KNApSAcK
464,(+)-17-O-Acetylnortetraphyllicine,Contains Nitrogen and ine at end of word,KNApSAcK
465,Rauniticine,Contains Nitrogen and ine at end of word,KNApSAcK
466,(+)-Isoajmaline,Contains Nitrogen and ine at end of word,KNApSAcK
467,(+)-Isosandwicine,Contains Nitrogen and ine at end of word,KNApSAcK
468,Papaverine,Kegg Brite,KNApSAcK
469,Ajmalimine,Contains Nitrogen and ine at end of word,KNApSAcK
470,(+)-Sandwicolidine,Contains Nitrogen and ine at end of word,KNApSAcK
471,Ajmalinimine,Contains Nitrogen and ine at end of word,KNApSAcK
472,Rescinnamidine,Contains Nitrogen and ine at end of word,KNApSAcK
473,"3,4,5,6-Tetradehydroyohimbine",Contains Nitrogen and ine at end of word,KNApSAcK
474,12-Hydroxyajmaline,Contains Nitrogen and ine at end of word,KNApSAcK
475,Acetylnorajmaline,Kegg Brite,KNApSAcK
476,16-Epivellosimine,Kegg Brite,KNApSAcK
477,Polyneuridine aldehyde,Kegg Brite,KNApSAcK
478,Norajamaline,Contains Nitrogen and ine at end of word,KNApSAcK
479,(+)-Norseredamine,Contains Nitrogen and ine at end of word,KNApSAcK
480,(-)-Flexicorine,Contains Nitrogen and ine at end of word,KNApSAcK
481,Macrospegatrine,Contains Nitrogen and ine at end of word,KNApSAcK
482,7-Hydroxynoracronycine,Contains Nitrogen and ine at end of word,KNApSAcK
483,17-O-Acetyltetraphyllicine,Contains Nitrogen and ine at end of word,KNApSAcK
484,(+)-Mitoridine,Contains Nitrogen and ine at end of word,KNApSAcK
485,Vincamajoreine,Contains Nitrogen and ine at end of word,KNApSAcK
486,10-Hydroxynortetraphyllicine,Contains Nitrogen and ine at end of word,KNApSAcK
487,Norrauvomitine,Contains Nitrogen and ine at end of word,KNApSAcK
488,(-)-Rauvomitine,Contains Nitrogen and ine at end of word,KNApSAcK
489,(+)-Vincadifformine,Contains Nitrogen and ine at end of word,KNApSAcK
490,5alpha-Carboxystrictosidine,Contains Nitrogen and ine at end of word,KNApSAcK
491,beta-Skytanthine,Contains Nitrogen and ine at end of word,KNApSAcK
492,Hordenine,Kegg Brite,KNApSAcK
493,Tyramine,Kegg Brite,KNApSAcK
494,Aspidosine,Contains Nitrogen and ine at end of word,KNApSAcK
495,Vallesine,Contains Nitrogen and ine at end of word,KNApSAcK
496,(-)-Strempeliopine,Contains Nitrogen and ine at end of word,KNApSAcK
497,(-)-Vallesamidine,Contains Nitrogen and ine at end of word,KNApSAcK
498,(+)-Strempeliopidine,Contains Nitrogen and ine at end of word,KNApSAcK
499,Homocylindrocarpidine,Contains Nitrogen and ine at end of word,KNApSAcK
500,O-Demethylpalosine,Contains Nitrogen and ine at end of word,KNApSAcK
501,Apodine,Kegg Brite,KNApSAcK
502,Apodinine,Contains Nitrogen and ine at end of word,KNApSAcK
503,Heyneanine,Contains Nitrogen and ine at end of word,KNApSAcK
504,Voacangine hydroxyindolenine,Contains Nitrogen and ine at end of word,KNApSAcK
505,Voacangine pseudoindoxyl,Contains Nitrogen and ine at end of word,KNApSAcK
506,Voacristine,Contains Nitrogen and ine at end of word,KNApSAcK
507,Voacristine hydroxyindolenine,Contains Nitrogen and ine at end of word,KNApSAcK
508,Montanine,Contains Nitrogen and ine at end of word,KNApSAcK
509,Ibogaine hydroxyindolenine,Contains Nitrogen and ine at end of word,KNApSAcK
510,Isovoacangine,Contains Nitrogen and ine at end of word,KNApSAcK
511,Voacamine,Contains Nitrogen and ine at end of word,KNApSAcK
512,19-Epivoacorine,Contains Nitrogen and ine at end of word,KNApSAcK
513,Coronaridine hydroxyindolenine,Contains Nitrogen and ine at end of word,KNApSAcK
514,10-Hydroxyheyneanine,Contains Nitrogen and ine at end of word,KNApSAcK
515,11-Hydroxycoronaridine,Contains Nitrogen and ine at end of word,KNApSAcK
516,11-Hydroxyheyneanine,Contains Nitrogen and ine at end of word,KNApSAcK
517,19-Epiheyneanine,Contains Nitrogen and ine at end of word,KNApSAcK
518,Conopharyngine,Contains Nitrogen and ine at end of word,KNApSAcK
519,Conopharyngine hydroxyindolenine,Contains Nitrogen and ine at end of word,KNApSAcK
520,Ibophyllidine,Contains Nitrogen and ine at end of word,KNApSAcK
521,Ibogaine,Kegg Brite,KNApSAcK
522,Ibogaline,Contains Nitrogen and ine at end of word,KNApSAcK
523,Isovoacristine,Contains Nitrogen and ine at end of word,KNApSAcK
524,(-)-Mehranine,Contains Nitrogen and ine at end of word,KNApSAcK
525,Tabernaebovine,Contains Nitrogen and ine at end of word,KNApSAcK
526,20-Hydroxyconopharyngine,Contains Nitrogen and ine at end of word,KNApSAcK
527,3-Oxomehranine,Contains Nitrogen and ine at end of word,KNApSAcK
528,Hecubine,Contains Nitrogen and ine at end of word,KNApSAcK
529,Pedunculine,Contains Nitrogen and ine at end of word,KNApSAcK
530,Voacorine,Contains Nitrogen and ine at end of word,KNApSAcK
531,3-Oxocoronaridine,Contains Nitrogen and ine at end of word,KNApSAcK
532,Ervahanine A,Contains Nitrogen and ine at end of word,KNApSAcK
533,Ervahanine B,Contains Nitrogen and ine at end of word,KNApSAcK
534,Ervahanine C,Contains Nitrogen and ine at end of word,KNApSAcK
535,20-Epipandoline,Contains Nitrogen and ine at end of word,KNApSAcK
536,Pandine,Contains Nitrogen and ine at end of word,KNApSAcK
537,Pandoline,Contains Nitrogen and ine at end of word,KNApSAcK
538,(20R)-Pseudovincadifformine,Contains Nitrogen and ine at end of word,KNApSAcK
539,19-Epivoacristine,Contains Nitrogen and ine at end of word,KNApSAcK
540,Silicine,Contains Nitrogen and ine at end of word,KNApSAcK
541,19-epi-Heyneanine,Contains Nitrogen and ine at end of word,KNApSAcK
542,"14,15-Anhydrocapuronidine",Contains Nitrogen and ine at end of word,KNApSAcK
543,Capuronidine,Contains Nitrogen and ine at end of word,KNApSAcK
544,Capuronine,Contains Nitrogen and ine at end of word,KNApSAcK
545,Capuvosine,Contains Nitrogen and ine at end of word,KNApSAcK
546,3-Oxovoacangine,Contains Nitrogen and ine at end of word,KNApSAcK
547,"14,15-Dihydroxyvincadifformine",Contains Nitrogen and ine at end of word,KNApSAcK
548,Voaphylline,Contains Nitrogen and ine at end of word,KNApSAcK
549,Voacarpine,Contains Nitrogen and ine at end of word,KNApSAcK
550,(19R)-19-Hydroxytabernaelegantine A,Contains Nitrogen and ine at end of word,KNApSAcK
551,"(20'S)-19',20'-Dihydrotabernamine",Contains Nitrogen and ine at end of word,KNApSAcK
552,20-Episilicine,Contains Nitrogen and ine at end of word,KNApSAcK
553,"3,14-Dihydroellipticine",Contains Nitrogen and ine at end of word,KNApSAcK
554,6-Oxo-16-episilicine,Contains Nitrogen and ine at end of word,KNApSAcK
555,6-Oxomethuenine,Contains Nitrogen and ine at end of word,KNApSAcK
556,6-Oxosilicine,Contains Nitrogen and ine at end of word,KNApSAcK
557,Hazuntinine,Contains Nitrogen and ine at end of word,KNApSAcK
558,Isomethuenine,Contains Nitrogen and ine at end of word,KNApSAcK
559,Methuenine,Contains Nitrogen and ine at end of word,KNApSAcK
560,Tabernaelegantine A,Contains Nitrogen and ine at end of word,KNApSAcK
561,(+)-Tetraphyllicine,Contains Nitrogen and ine at end of word,KNApSAcK
562,Vincanidine,Contains Nitrogen and ine at end of word,KNApSAcK
563,Jerantinine A,Contains Nitrogen and ine at end of word,KNApSAcK
564,Jerantinine B,Contains Nitrogen and ine at end of word,KNApSAcK
565,Jerantinine C,Contains Nitrogen and ine at end of word,KNApSAcK
566,Jerantinine D,Contains Nitrogen and ine at end of word,KNApSAcK
567,Jerantinine E,Contains Nitrogen and ine at end of word,KNApSAcK
568,Jerantinine F,Contains Nitrogen and ine at end of word,KNApSAcK
569,Jerantinine G,Contains Nitrogen and ine at end of word,KNApSAcK
570,19(S)-Hydroxyibogamine,Contains Nitrogen and ine at end of word,KNApSAcK
571,19-epi-Isovoacristine,Contains Nitrogen and ine at end of word,KNApSAcK
572,Isovoacryptine,Contains Nitrogen and ine at end of word,KNApSAcK
573,Jerantinine H,Contains Nitrogen and ine at end of word,KNApSAcK
574,Jerantiphylline A,Contains Nitrogen and ine at end of word,KNApSAcK
575,Jerantiphylline B,Contains Nitrogen and ine at end of word,KNApSAcK
576,19-Hydroxyconopharyngine,Contains Nitrogen and ine at end of word,KNApSAcK
577,5-Oxocoronaridine,Contains Nitrogen and ine at end of word,KNApSAcK
578,Conoduramine,Contains Nitrogen and ine at end of word,KNApSAcK
579,Crassanine,Contains Nitrogen and ine at end of word,KNApSAcK
580,12-Methoxyvoaphylline,Contains Nitrogen and ine at end of word,KNApSAcK
581,Voaphylline hydroxyindolenine,Contains Nitrogen and ine at end of word,KNApSAcK
582,Dichomine,Contains Nitrogen and ine at end of word,KNApSAcK
583,19-Epiiboxygaine,Contains Nitrogen and ine at end of word,KNApSAcK
584,O-Acetylvallesamine,Contains Nitrogen and ine at end of word,KNApSAcK
585,Pachysiphine,Contains Nitrogen and ine at end of word,KNApSAcK
586,Voaharine,Contains Nitrogen and ine at end of word,KNApSAcK
587,5-Hydroxy-6-oxocoronaridine,Contains Nitrogen and ine at end of word,KNApSAcK
588,6-Oxocoronaridine,Contains Nitrogen and ine at end of word,KNApSAcK
589,Voafinine,Contains Nitrogen and ine at end of word,KNApSAcK
590,(16R)-Descarbomethoxytacamine,Contains Nitrogen and ine at end of word,KNApSAcK
591,(16S)-Descarbomethoxytacamine,Contains Nitrogen and ine at end of word,KNApSAcK
592,(19S)-Hydroxytacamine,Contains Nitrogen and ine at end of word,KNApSAcK
593,"16,17-Anhydrotacamine",Contains Nitrogen and ine at end of word,KNApSAcK
594,16-Epitacamine,Contains Nitrogen and ine at end of word,KNApSAcK
595,Tacamine,Contains Nitrogen and ine at end of word,KNApSAcK
596,Tacamonine,Contains Nitrogen and ine at end of word,KNApSAcK
597,(+)-20R-Pseudovincadifformine,Contains Nitrogen and ine at end of word,KNApSAcK
598,20S-Pseudovincadifformine,Contains Nitrogen and ine at end of word,KNApSAcK
599,"(20R)-15,20-Dihydrocleavamine",Contains Nitrogen and ine at end of word,KNApSAcK
600,"(20S)-Hydroxy-1,2-dehydropseudoaspidospermidine",Contains Nitrogen and ine at end of word,KNApSAcK
601,"(20S)-15,20-Dihydrocleavamine",Contains Nitrogen and ine at end of word,KNApSAcK
602,17-Hydroxytacamonine,Contains Nitrogen and ine at end of word,KNApSAcK
603,3-Hydroxycoronaridine,Contains Nitrogen and ine at end of word,KNApSAcK
604,Tabernine A,Contains Nitrogen and ine at end of word,KNApSAcK
605,Tabernine B,Contains Nitrogen and ine at end of word,KNApSAcK
606,Tabernine C,Contains Nitrogen and ine at end of word,KNApSAcK
607,Ibophyllidine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
608,12-Demethoxytabernulosine,Contains Nitrogen and ine at end of word,KNApSAcK
609,Iboluteine,Contains Nitrogen and ine at end of word,KNApSAcK
610,Ervitsine,Contains Nitrogen and ine at end of word,KNApSAcK
611,Gabunine,Contains Nitrogen and ine at end of word,KNApSAcK
612,11-Demethylconoduramine,Contains Nitrogen and ine at end of word,KNApSAcK
613,16-Epiaffinine,Contains Nitrogen and ine at end of word,KNApSAcK
614,16-Epiisositsirikine,Contains Nitrogen and ine at end of word,KNApSAcK
615,Conopharyngine pseudoindoxyl,Contains Nitrogen and ine at end of word,KNApSAcK
616,19S-Hydroxyconopharyngine,Contains Nitrogen and ine at end of word,KNApSAcK
617,20-Epilochneridine,Contains Nitrogen and ine at end of word,KNApSAcK
618,3-Epiervafolidine,Contains Nitrogen and ine at end of word,KNApSAcK
619,Ervafolidine,Contains Nitrogen and ine at end of word,KNApSAcK
620,Ervafoline,Contains Nitrogen and ine at end of word,KNApSAcK
621,Isovallesiachotamine,Contains Nitrogen and ine at end of word,KNApSAcK
622,6-Hydroxy-3-oxoisovoacangine,Contains Nitrogen and ine at end of word,KNApSAcK
623,(-)-12-Hydroxyvincadifformine,Contains Nitrogen and ine at end of word,KNApSAcK
624,Bonafousine,Contains Nitrogen and ine at end of word,KNApSAcK
625,Isobonafousine,Contains Nitrogen and ine at end of word,KNApSAcK
626,Tetrastachynine,Contains Nitrogen and ine at end of word,KNApSAcK
627,Tabernanthine,Kegg Brite,KNApSAcK
628,1-Acetylaspidoalbidine,Kegg Brite,KNApSAcK
629,18-Oxohaplocidine,Contains Nitrogen and ine at end of word,KNApSAcK
630,Akuammine,Contains Nitrogen and ine at end of word,KNApSAcK
631,Apovincamine,Kegg Brite,KNApSAcK
632,(+)-Vincarine,Contains Nitrogen and ine at end of word,KNApSAcK
633,(-)-Majoridine,Contains Nitrogen and ine at end of word,KNApSAcK
634,(+)-10-Methoxyvinorine,Contains Nitrogen and ine at end of word,KNApSAcK
635,Dihydrovindolinine,Contains Nitrogen and ine at end of word,KNApSAcK
636,11-Methoxyvincadifformine,Contains Nitrogen and ine at end of word,KNApSAcK
637,Isomajdine,Contains Nitrogen and ine at end of word,KNApSAcK
638,10-Methoxyvomilenine,Contains Nitrogen and ine at end of word,KNApSAcK
639,(-)-Vincamajinine,Contains Nitrogen and ine at end of word,KNApSAcK
640,(-)-10-Methoxyperakine,Contains Nitrogen and ine at end of word,KNApSAcK
641,(-)-Vincawajine,Contains Nitrogen and ine at end of word,KNApSAcK
642,Majdine,Contains Nitrogen and ine at end of word,KNApSAcK
643,Eburnamonine,Kegg Brite,KNApSAcK
644,(-)-11-Methoxyeburnamonine,Contains Nitrogen and ine at end of word,KNApSAcK
645,(-)-16-Epivincamine,Contains Nitrogen and ine at end of word,KNApSAcK
646,(+)-Vincaminine,Contains Nitrogen and ine at end of word,KNApSAcK
647,(+)-Vincinine,Contains Nitrogen and ine at end of word,KNApSAcK
648,Minovincine,Contains Nitrogen and ine at end of word,KNApSAcK
649,Vobtusine,Contains Nitrogen and ine at end of word,KNApSAcK
650,Voacamidine,Contains Nitrogen and ine at end of word,KNApSAcK
651,(-)-Cuanzine,Contains Nitrogen and ine at end of word,KNApSAcK
652,(-)-Decarbomethoxycuanzine,Contains Nitrogen and ine at end of word,KNApSAcK
653,(+)-Dehydrovoachalotine,Contains Nitrogen and ine at end of word,KNApSAcK
654,Tryptanthrin,Kegg Brite,KNApSAcK
655,Adifoline,Contains Nitrogen and ine at end of word,KNApSAcK
656,Cadambine,Contains Nitrogen and ine at end of word,KNApSAcK
657,Cordifoline,Contains Nitrogen and ine at end of word,KNApSAcK
658,Dopamine,Kegg Brite,KNApSAcK
659,Cephaeline,Kegg Brite,KNApSAcK
660,Emetine,Kegg Brite,KNApSAcK
661,Ipecoside,Kegg Brite,KNApSAcK
662,Protoemetine,Kegg Brite,KNApSAcK
663,7'-O-Demethylcephaeline,Contains Nitrogen and ine at end of word,KNApSAcK
664,Turbinatine,Contains Nitrogen and ine at end of word,KNApSAcK
665,Cinchonidine,Kegg Brite,KNApSAcK
666,Hydroquinidine,Kegg Brite,KNApSAcK
667,Quinine,Contains Nitrogen and ine at end of word,KNApSAcK
668,Quinidine,Kegg Brite,KNApSAcK
669,Cinchonine,Kegg Brite,KNApSAcK
670,10-Methoxycinchonamine,Contains Nitrogen and ine at end of word,KNApSAcK
671,Adenine,Contains Nitrogen and ine at end of word,KNApSAcK
672,Caffeine,Kegg Brite,KNApSAcK
673,Theophylline,Kegg Brite,KNApSAcK
674,Xanthosine,Kegg Brite,KNApSAcK
675,7-Methylxanthine,Kegg Brite,KNApSAcK
676,Xanthosine 5'-monophosphate,Contains Nitrogen and ine at end of word,KNApSAcK
677,Adenosine,Contains Nitrogen and ine at end of word,KNApSAcK
678,7-Methylxanthosine,Kegg Brite,KNApSAcK
679,Paraxanthine,Contains Nitrogen and ine at end of word,KNApSAcK
680,3-Methylxanthine,Kegg Brite,KNApSAcK
681,Melatonin,Kegg Brite,KNApSAcK
682,"2,3-Dimethylpyrazine",Contains Nitrogen and ine at end of word,KNApSAcK
683,"2,5-Dimethylpyrazine",Contains Nitrogen and ine at end of word,KNApSAcK
684,"2,6-Dimethylpyrazine",Contains Nitrogen and ine at end of word,KNApSAcK
685,2-Acetylpyridine,Contains Nitrogen and ine at end of word,KNApSAcK
686,2-Ethyl-6-methylpyrazine,Contains Nitrogen and ine at end of word,KNApSAcK
687,2-Methoxy-3-isobutylpyrazine,Contains Nitrogen and ine at end of word,KNApSAcK
688,2-Methoxypyridine,Contains Nitrogen and ine at end of word,KNApSAcK
689,2-Methylpyrazine,Contains Nitrogen and ine at end of word,KNApSAcK
690,Pyridine,Contains Nitrogen and ine at end of word,KNApSAcK
691,Theobromine,Kegg Brite,KNApSAcK
692,Theacrine,Contains Nitrogen and ine at end of word,KNApSAcK
693,Methylliberine,Contains Nitrogen and ine at end of word,KNApSAcK
694,"1,3,7-Trimethyluric acid",Kegg Brite,KNApSAcK
695,Liberine,Contains Nitrogen and ine at end of word,KNApSAcK
696,Vasicinone,Kegg Brite,KNApSAcK
697,Guettardine,Contains Nitrogen and ine at end of word,KNApSAcK
698,L-Ephedrine,Contains Nitrogen and ine at end of word,KNApSAcK
699,Apodihydrocinchonamine,Contains Nitrogen and ine at end of word,KNApSAcK
700,Dihydroquinamine,Contains Nitrogen and ine at end of word,KNApSAcK
701,Tetrahydroharmine,Kegg Brite,KNApSAcK
702,Rhynchophylline,Contains Nitrogen and ine at end of word,KNApSAcK
703,Angustoline,Contains Nitrogen and ine at end of word,KNApSAcK
704,Hirsuteine,Contains Nitrogen and ine at end of word,KNApSAcK
705,Hirsutine,Contains Nitrogen and ine at end of word,KNApSAcK
706,Isomitraphylline,Contains Nitrogen and ine at end of word,KNApSAcK
707,Isorhynchophylline,Contains Nitrogen and ine at end of word,KNApSAcK
708,Mitrajavine,Contains Nitrogen and ine at end of word,KNApSAcK
709,Uncarine C,Contains Nitrogen and ine at end of word,KNApSAcK
710,Speciophylline,Contains Nitrogen and ine at end of word,KNApSAcK
711,Isopteropodine,Contains Nitrogen and ine at end of word,KNApSAcK
712,Uncarine F,Contains Nitrogen and ine at end of word,KNApSAcK
713,Isomitraphylline N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
714,"16,17-Dihydro-17beta-hydroxymitraphylline",Contains Nitrogen and ine at end of word,KNApSAcK
715,Mitrafoline,Contains Nitrogen and ine at end of word,KNApSAcK
716,Mitragynine,Contains Nitrogen and ine at end of word,KNApSAcK
717,3-Isoajmalicine,Contains Nitrogen and ine at end of word,KNApSAcK
718,Ciliaphylline,Contains Nitrogen and ine at end of word,KNApSAcK
719,Corynantheidine,Contains Nitrogen and ine at end of word,KNApSAcK
720,Corynoxeine,Contains Nitrogen and ine at end of word,KNApSAcK
721,Corynoxine,Contains Nitrogen and ine at end of word,KNApSAcK
722,Corynoxine B,Contains Nitrogen and ine at end of word,KNApSAcK
723,Isocorynantheidine,Contains Nitrogen and ine at end of word,KNApSAcK
724,Isomitrafoline,Contains Nitrogen and ine at end of word,KNApSAcK
725,Isopaynantheine,Contains Nitrogen and ine at end of word,KNApSAcK
726,Javaphylline,Contains Nitrogen and ine at end of word,KNApSAcK
727,Mitragynine oxindole A,Contains Nitrogen and ine at end of word,KNApSAcK
728,Mitragynine oxindole B,Contains Nitrogen and ine at end of word,KNApSAcK
729,Paynantheine,Contains Nitrogen and ine at end of word,KNApSAcK
730,Rhynchociline,Contains Nitrogen and ine at end of word,KNApSAcK
731,Speciociliatine,Contains Nitrogen and ine at end of word,KNApSAcK
732,Speciofoline,Contains Nitrogen and ine at end of word,KNApSAcK
733,Speciogynine,Contains Nitrogen and ine at end of word,KNApSAcK
734,Specionoxeine,Contains Nitrogen and ine at end of word,KNApSAcK
735,Corynantheidaline,Contains Nitrogen and ine at end of word,KNApSAcK
736,Isocorynoxeine,Contains Nitrogen and ine at end of word,KNApSAcK
737,Mitragynaline,Contains Nitrogen and ine at end of word,KNApSAcK
738,Mitralactonine,Contains Nitrogen and ine at end of word,KNApSAcK
739,Mitrasulgynine,Contains Nitrogen and ine at end of word,KNApSAcK
740,7alpha-Hydroxy-7H-mitragynine,Contains Nitrogen and ine at end of word,KNApSAcK
741,9-Methoxymitralactonine,Contains Nitrogen and ine at end of word,KNApSAcK
742,Cytidine,Contains Nitrogen and ine at end of word,KNApSAcK
743,Methyl beta-Carboline-1-carboxylate,Contains Nitrogen and ine at end of word,KNApSAcK
744,"18,19-Dihydroangustine",Contains Nitrogen and ine at end of word,KNApSAcK
745,Decarbomethoxy naucl echine,Contains Nitrogen and ine at end of word,KNApSAcK
746,Naucleofficine A,Contains Nitrogen and ine at end of word,KNApSAcK
747,Naucleofficine B,Contains Nitrogen and ine at end of word,KNApSAcK
748,Naucleofficine C,Contains Nitrogen and ine at end of word,KNApSAcK
749,Naucleofficine D,Contains Nitrogen and ine at end of word,KNApSAcK
750,Naucleofficine E,Contains Nitrogen and ine at end of word,KNApSAcK
751,Nauclealine A,Contains Nitrogen and ine at end of word,KNApSAcK
752,Nauclealine B,Contains Nitrogen and ine at end of word,KNApSAcK
753,Blumeanine,Contains Nitrogen and ine at end of word,KNApSAcK
754,Ophiorrhizine-12-carboxylate,Contains Nitrogen and ine at end of word,KNApSAcK
755,Camptothecin,Kegg Brite,KNApSAcK
756,Ophiorine A,Contains Nitrogen and ine at end of word,KNApSAcK
757,Ophiorine A methyl ester,Contains Nitrogen and ine at end of word,KNApSAcK
758,Ophiorine B,Contains Nitrogen and ine at end of word,KNApSAcK
759,Ophiorine B methyl ester,Contains Nitrogen and ine at end of word,KNApSAcK
760,(+)-Calycanthine,Contains Nitrogen and ine at end of word,KNApSAcK
761,Croceaine A,Contains Nitrogen and ine at end of word,KNApSAcK
762,Croceaine B,Contains Nitrogen and ine at end of word,KNApSAcK
763,Tubulosine,Kegg Brite,KNApSAcK
764,Psychotrine,Kegg Brite,KNApSAcK
