,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,CPCS_Snippet,UCANR_Snippet,CliniTox_Snippet,Compiled_Sources
186,30176564-2,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,Species,Euphorbia pulcherrima,,,['CPCS']
187,30197364-2,Liriodendron tulipifera,Liriodendron tulipifera,30197364-2,Species,Liriodendron tulipifera,,,['CPCS']
188,30204763-2,Sanvitalia,nan,nan,Genus,Sanvitalia spp,,,['CPCS']
189,30268074-2,Pilea nummulariifolia,Pilea nummulariifolia,30268074-2,Species,Pilea nummulariifolia,,,['CPCS']
190,302695-2,Nyssa aquatica,Nyssa aquatica,302695-2,Species,Nyssa aquatica,,,['CPCS']
191,30302759-2,Pelargonium,nan,nan,Genus,Pelargonium spp,,,['CPCS']
192,30310531-2,Coccothrinax argentea,Coccothrinax argentea,30310531-2,Species,Coccothrinax argentea,,,['CPCS']
193,303885-2,Myrica californica,Myrica californica,303885-2,Species,Myrica californica,,,['CPCS']
194,30401855-2,Cynanchum,nan,nan,Genus,Cynanchum spp,,,['CPCS']
195,306169-2,Solanum betaceum,Solanum betaceum,306169-2,Species,Cyphomandra betacea,,,['CPCS']
196,3093-1,Schefflera,nan,nan,Genus,Schefflera spp,,,['CPCS']
197,310928-2,Pontederia crassipes,Pontederia crassipes,310928-2,Species,Eichhornia crassipes,,,['CPCS']
198,313242-2,Mimosa pudica,Mimosa pudica,313242-2,Species,Mimosa pudica,Mimosa pudica,,"['CPCS', 'UCANR']"
199,31334-2,Berberis aquifolium,Berberis aquifolium,31334-2,Species,Mahonia aquifolium,,,['CPCS']
200,31428-1,Phoenix,nan,nan,Genus,Phoenix spp,,,['CPCS']
201,31476-1,Rhapis,nan,nan,Genus,Rhapis spp,,,['CPCS']
202,315544-2,Aphelandra squarrosa,Aphelandra squarrosa,315544-2,Species,Aphelandra squarrosa,Aphelandra squarrosa,Aphelandra squarrosa Nees ,"['CPCS', 'UCANR', 'CliniTox']"
203,315561-2,Begonia coccinea,Begonia coccinea,315561-2,Species,Begonia coccinea,,,['CPCS']
204,316243-2,Cercis canadensis,Cercis canadensis,316243-2,Species,Cercis canadensis,,,['CPCS']
205,317936-1,Dioscorea elephantipes,Dioscorea elephantipes,317936-1,Species,Dioscorea elephantipes,,,['CPCS']
206,319128-2,Callicarpa americana,Callicarpa americana,319128-2,Species,Callicarpa americana,,,['CPCS']
207,320317-2,Gilia,nan,nan,Genus,Gilia spp,,,['CPCS']
208,32120-1,Platanus,nan,nan,Genus,Platanus spp,,,['CPCS']
209,321286-2,Plantago major,Plantago major,321286-2,Species,Plantago major,,,['CPCS']
210,321823-2,Leucocrinum montanum,Leucocrinum montanum,321823-2,Species,Leucocrinum montanum,,,['CPCS']
211,322566-2,Mesembryanthemum cordifolium,Mesembryanthemum cordifolium,322566-2,Species,"Aptenia cordifolia,Mesembryanthemum cordifolium",Aptenia cordifolia,Aptenia cordifolia (L.f.) Schwantes ,"['CPCS', 'UCANR', 'CliniTox']"
212,323270-2,Portulaca oleracea,Portulaca oleracea,323270-2,Species,Portulaca oleracea,,,['CPCS']
213,324467-2,Carthamus tinctorius,Carthamus tinctorius,324467-2,Species,Carthamus tinctorius,,,['CPCS']
214,325030-2,Adiantum capillus-veneris,Adiantum capillus-veneris,325030-2,Species,Adiantum capillus,,Adiantum capillus-veneris L. ,"['CPCS', 'CliniTox']"
215,325655-2,Abies,nan,nan,Genus,Abies spp,,,['CPCS']
216,325874-2,Spiraea,nan,nan,Genus,Spirea spp,Spiraea spp.,,"['CPCS', 'UCANR']"
217,325875-2,Cissus,nan,nan,Genus,Cissus spp,,,['CPCS']
218,325881-2,Castilleja,nan,nan,Genus,Castilleja spp,,,['CPCS']
219,325916-2,Salix,nan,nan,Genus,Salix spp,Salix spp.,,"['CPCS', 'UCANR']"
220,325929-2,Liatris,nan,nan,Genus,Liatris spp,,,['CPCS']
221,325940-2,Dahlia,nan,nan,Genus,Dahlia spp,Dahlia hybrids,,"['CPCS', 'UCANR']"
222,325954-2,Aquilegia,nan,nan,Genus,Aquilegia spp,,,['CPCS']
223,325983-2,Impatiens,nan,nan,Genus,Impatiens spp,Impatiens spp.,,"['CPCS', 'UCANR']"
224,326028-2,Pittosporum,nan,nan,Genus,Pittosporum spp,,,['CPCS']
225,326266-2,Viburnum lentago,Viburnum lentago,326266-2,Species,Viburnum lentago,,,['CPCS']
226,326333-2,Lampranthus,nan,nan,Genus,Lampranthus spp,Lampranthus spp.,,"['CPCS', 'UCANR']"
227,326388-2,Hibiscus sabdariffa,Hibiscus sabdariffa,326388-2,Species,Hibiscus sabdariffa,,,['CPCS']
228,326435-2,Epidendrum,nan,nan,Genus,Epidendrum spp,Epidendrum spp.,,"['CPCS', 'UCANR']"
229,326526-1,Arbutus unedo,Arbutus unedo,326526-1,Species,Arbutus unedo,Arbutus unedo,,"['CPCS', 'UCANR']"
230,326868-2,Abronia,nan,nan,Genus,Abronia spp,,,['CPCS']
231,326889-2,Abronia fragrans,Abronia fragrans,326889-2,Species,Abronia fragrans,,,['CPCS']
232,327121-2,Polystichum,nan,nan,Genus,Polystichum spp,,,['CPCS']
233,327196-2,Alternanthera,nan,nan,Genus,Alternanthera spp,,,['CPCS']
234,327328-2,Iresine,nan,nan,Genus,Iresine spp,,,['CPCS']
235,327360-2,Celosia,nan,nan,Genus,Celosia spp,Celosia spp.,,"['CPCS', 'UCANR']"
236,327477-2,Ardisia,nan,nan,Genus,Ardisia spp,,,['CPCS']
237,327905-2,Ficus,nan,nan,Genus,Ficus spp,,,['CPCS']
238,328109-2,Syringa,nan,nan,Genus,Syringa spp,,,['CPCS']
239,328182-2,Hibiscus,nan,nan,Genus,Hibiscus spp,Hibiscus spp.,,"['CPCS', 'UCANR']"
240,328226-2,Asplenium,nan,nan,Genus,Asplenium spp,,,['CPCS']
241,328242-2,Watsonia,nan,nan,Genus,Watsonia spp,,,['CPCS']
242,328247-2,Pinus,nan,nan,Genus,Pinus spp,Pinus spp.,,"['CPCS', 'UCANR']"
243,328248-2,Acer,nan,nan,Genus,Acer spp,,,['CPCS']
244,328327-2,Neoregelia,nan,nan,Genus,Neoregelia spp,Neoregelia spp.,,"['CPCS', 'UCANR']"
245,328329-2,Nidularium,nan,nan,Genus,Aregelia spp,,,['CPCS']
246,328345-2,Aechmea,nan,nan,Genus,Aechmea spp,Aechmea spp.,,"['CPCS', 'UCANR']"
247,328376-2,Phlox,nan,nan,Genus,Phlox spp,,,['CPCS']
248,328387-2,Betula,nan,nan,Genus,Betula spp,,,['CPCS']
249,328405-2,Carpobrotus,nan,nan,Genus,Carpobrotus spp,Carpobrotus spp.,,"['CPCS', 'UCANR']"
250,328417-2,Populus,nan,nan,Genus,Populus spp,,,['CPCS']
